"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia NAZCA (000)",23355,6244,6533,8730,408,902,538
"Sin nivel (001)",459,21,153,226,6,36,17
"Educación inicial (002)",14,1,4,8,,1,
"Primaria (003)",3458,261,1095,1672,55,268,107
"Secundaria (004)",10562,1826,3637,4219,154,414,312
"Superior no univ. incompleta (005)",1925,624,469,703,34,50,45
"Superior no univ. completa (006)",3397,1569,753,923,53,62,37
"Superior univ. incompleta (007)",1100,403,207,406,40,31,13
"Superior univ. completa (008)",2440,1539,215,573,66,40,7
"Hombres (010)",15689,3501,5712,5706,270,421,79
"Sin nivel (011)",167,2,74,79,2,9,1
"Educación inicial (012)",7,1,2,3,,1,
"Primaria (013)",2219,158,853,1030,40,126,12
"Secundaria (014)",7691,1154,3269,2913,103,205,47
"Superior no univ. incompleta (015)",1272,340,414,459,24,29,6
"Superior no univ. completa (016)",2027,728,704,538,28,21,8
"Superior univ. incompleta (017)",807,252,195,311,30,14,5
"Superior univ. completa (018)",1499,866,201,373,43,16,
"Mujeres (020)",7666,2743,821,3024,138,481,459
"Sin nivel (021)",292,19,79,147,4,27,16
"Educación inicial (022)",7,,2,5,,,
"Primaria (023)",1239,103,242,642,15,142,95
"Secundaria (024)",2871,672,368,1306,51,209,265
"Superior no univ. incompleta (025)",653,284,55,244,10,21,39
"Superior no univ. completa (026)",1370,841,49,385,25,41,29
"Superior univ. incompleta (027)",293,151,12,95,10,17,8
"Superior univ. completa (028)",941,673,14,200,23,24,7
,,,,,,,
"URBANA (030)",20586,6030,5159,7796,383,711,507
"Sin nivel (031)",289,19,57,173,4,20,16
"Educación inicial (032)",13,1,3,8,,1,
"Primaria (033)",2628,239,691,1358,50,196,94
"Secundaria (034)",9230,1746,2898,3809,147,331,299
"Superior no univ. incompleta (035)",1798,608,416,659,31,41,43
"Superior no univ. completa (036)",3209,1519,698,849,51,56,36
"Superior univ. incompleta (037)",1060,397,192,389,40,29,13
"Superior univ. completa (038)",2359,1501,204,551,60,37,6
"Hombres (040)",13615,3372,4650,4959,248,312,74
"Sin nivel (041)",89,2,30,49,1,6,1
"Educación inicial (042)",6,1,1,3,,1,
"Primaria (043)",1621,144,557,780,35,94,11
"Secundaria (044)",6616,1102,2656,2571,96,148,43
"Superior no univ. incompleta (045)",1180,333,374,424,21,22,6
"Superior no univ. completa (046)",1892,703,657,482,27,15,8
"Superior univ. incompleta (047)",772,247,182,295,30,13,5
"Superior univ. completa (048)",1439,840,193,355,38,13,
"Mujeres (050)",6971,2658,509,2837,135,399,433
"Sin nivel (051)",200,17,27,124,3,14,15
"Educación inicial (052)",7,,2,5,,,
"Primaria (053)",1007,95,134,578,15,102,83
"Secundaria (054)",2614,644,242,1238,51,183,256
"Superior no univ. incompleta (055)",618,275,42,235,10,19,37
"Superior no univ. completa (056)",1317,816,41,367,24,41,28
"Superior univ. incompleta (057)",288,150,10,94,10,16,8
"Superior univ. completa (058)",920,661,11,196,22,24,6
,,,,,,,
"RURAL (060)",2769,214,1374,934,25,191,31
"Sin nivel (061)",170,2,96,53,2,16,1
"Educación inicial (062)",1,,1,,,,
"Primaria (063)",830,22,404,314,5,72,13
"Secundaria (064)",1332,80,739,410,7,83,13
"Superior no univ. incompleta (065)",127,16,53,44,3,9,2
"Superior no univ. completa (066)",188,50,55,74,2,6,1
"Superior univ. incompleta (067)",40,6,15,17,,2,
"Superior univ. completa (068)",81,38,11,22,6,3,1
"Hombres (070)",2074,129,1062,747,22,109,5
"Sin nivel (071)",78,,44,30,1,3,
"Educación inicial (072)",1,,1,,,,
"Primaria (073)",598,14,296,250,5,32,1
"Secundaria (074)",1075,52,613,342,7,57,4
"Superior no univ. incompleta (075)",92,7,40,35,3,7,
"Superior no univ. completa (076)",135,25,47,56,1,6,
"Superior univ. incompleta (077)",35,5,13,16,,1,
"Superior univ. completa (078)",60,26,8,18,5,3,
"Mujeres (080)",695,85,312,187,3,82,26
"Sin nivel (081)",92,2,52,23,1,13,1
"Primaria (083)",232,8,108,64,,40,12
"Secundaria (084)",257,28,126,68,,26,9
"Superior no univ. incompleta (085)",35,9,13,9,,2,2
"Superior no univ. completa (086)",53,25,8,18,1,,1
"Superior univ. incompleta (087)",5,1,2,1,,1,
"Superior univ. completa (088)",21,12,3,4,1,,1
