"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYABACA (000)",35768,32579,1596,554,1039
"Sin nivel (001)",5165,4991,146,12,16
"Educación inicial (002)",26,23,1,,2
"Primaria (003)",20350,19589,591,66,104
"Secundaria (004)",6452,5853,292,77,230
"Superior no univ. incompleta (005)",746,549,75,40,82
"Superior no univ. completa (006)",1799,939,283,217,360
"Superior univ. incompleta (007)",315,198,35,32,50
"Superior univ. completa (008)",915,437,173,110,195
"De 06 a 14 años (010)",880,854,24,2,
"Sin nivel (011)",104,103,1,,
"Educación inicial (012)",5,5,,,
"Primaria (013)",672,651,20,1,
"Secundaria (014)",99,95,3,1,
"De 15 a 29 años (020)",11667,10673,519,138,337
"Sin nivel (021)",715,694,17,1,3
"Educación inicial (022)",18,15,1,,2
"Primaria (023)",6164,5885,210,30,39
"Secundaria (024)",3629,3349,145,32,103
"Superior no univ. incompleta (025)",322,253,33,10,26
"Superior no univ. completa (026)",499,295,69,43,92
"Superior univ. incompleta (027)",109,79,9,11,10
"Superior univ. completa (028)",211,103,35,11,62
"De 30 a 44 años (030)",10790,9436,625,251,478
"Sin nivel (031)",1214,1154,53,4,3
"Educación inicial (032)",3,3,,,
"Primaria (033)",5910,5679,182,17,32
"Secundaria (034)",1886,1697,90,21,78
"Superior no univ. incompleta (035)",273,181,32,16,44
"Superior no univ. completa (036)",886,437,144,115,190
"Superior univ. incompleta (037)",140,77,22,14,27
"Superior univ. completa (038)",478,208,102,64,104
"De 45 a 64 años (040)",8905,8158,375,158,214
"Sin nivel (041)",1798,1734,50,6,8
"Primaria (043)",5562,5355,161,17,29
"Secundaria (044)",768,647,51,23,47
"Superior no univ. incompleta (045)",127,96,6,13,12
"Superior no univ. completa (046)",382,178,69,57,78
"Superior univ. incompleta (047)",64,40,4,7,13
"Superior univ. completa (048)",204,108,34,35,27
"De 65 y más años (050)",3526,3458,53,5,10
"Sin nivel (051)",1334,1306,25,1,2
"Primaria (053)",2042,2019,18,1,4
"Secundaria (054)",70,65,3,,2
"Superior no univ. incompleta (055)",24,19,4,1,
"Superior no univ. completa (056)",32,29,1,2,
"Superior univ. incompleta (057)",2,2,,,
"Superior univ. completa (058)",22,18,2,,2
,,,,,
