"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANUCO (000)",90485,70791,6773,5788,7133
"Hombres (001)",61447,49137,4642,3406,4262
"Mujeres (002)",29038,21654,2131,2382,2871
"De 06 a 14 años (003)",1737,1623,94,19,1
"Hombres (004)",1206,1122,69,14,1
"Mujeres (005)",531,501,25,5,
"De 15 a 29 años (006)",30599,24410,2766,1800,1623
"Hombres (007)",21138,17237,1890,1098,913
"Mujeres (008)",9461,7173,876,702,710
"De 30 a 44 años (009)",31417,23242,2428,2497,3250
"Hombres (010)",20521,15591,1615,1409,1906
"Mujeres (011)",10896,7651,813,1088,1344
"De 45 a 64 años (012)",21879,16999,1321,1394,2165
"Hombres (013)",14861,11750,930,818,1363
"Mujeres (014)",7018,5249,391,576,802
"De 65 y más años (015)",4853,4517,164,78,94
"Hombres (016)",3721,3437,138,67,79
"Mujeres (017)",1132,1080,26,11,15
,,,,,
"URBANA (018)",58112,40276,5526,5460,6850
"Hombres (019)",35067,24197,3635,3157,4078
"Mujeres (020)",23045,16079,1891,2303,2772
"De 06 a 14 años (021)",864,788,61,15,
"Hombres (022)",548,488,48,12,
"Mujeres (023)",316,300,13,3,
"De 15 a 29 años (024)",18907,13472,2247,1658,1530
"Hombres (025)",11616,8304,1468,982,862
"Mujeres (026)",7291,5168,779,676,668
"De 30 a 44 años (027)",21511,13985,2019,2393,3114
"Hombres (028)",12522,8082,1285,1336,1819
"Mujeres (029)",8989,5903,734,1057,1295
"De 45 a 64 años (030)",14473,9949,1088,1321,2115
"Hombres (031)",8768,5944,740,763,1321
"Mujeres (032)",5705,4005,348,558,794
"De 65 y más años (033)",2357,2082,111,73,91
"Hombres (034)",1613,1379,94,64,76
"Mujeres (035)",744,703,17,9,15
,,,,,
"RURAL (036)",32373,30515,1247,328,283
"Hombres (037)",26380,24940,1007,249,184
"Mujeres (038)",5993,5575,240,79,99
"De 06 a 14 años (039)",873,835,33,4,1
"Hombres (040)",658,634,21,2,1
"Mujeres (041)",215,201,12,2,
"De 15 a 29 años (042)",11692,10938,519,142,93
"Hombres (043)",9522,8933,422,116,51
"Mujeres (044)",2170,2005,97,26,42
"De 30 a 44 años (045)",9906,9257,409,104,136
"Hombres (046)",7999,7509,330,73,87
"Mujeres (047)",1907,1748,79,31,49
"De 45 a 64 años (048)",7406,7050,233,73,50
"Hombres (049)",6093,5806,190,55,42
"Mujeres (050)",1313,1244,43,18,8
"De 65 y más años (051)",2496,2435,53,5,3
"Hombres (052)",2108,2058,44,3,3
"Mujeres (053)",388,377,9,2,
