"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHURCAMPA (000)",13112,2222,20,5528,3742,251,583,146,620
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",39,1,,4,12,1,9,1,11
"Profes., científicos e intelectuales (002)",741,,,,35,29,205,33,439
"Técnicos de nivel medio ytrab.asimilados (003)",191,,,6,20,26,87,16,36
"Jefes y empleados de oficina (004)",173,,,2,49,17,47,10,48
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",578,29,1,182,275,29,33,15,14
"Agricult.trabaj. calif.agrop. y pesquros (006)",5493,1093,9,2894,1402,32,31,12,20
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",558,21,,122,248,43,81,19,24
"Obreros. construc., conf., papel, fab., instr (008)",434,11,,93,250,32,21,17,10
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",4617,998,10,2145,1390,29,30,9,6
"Otra (010)",61,,,,3,10,33,12,3
"Ocupación no especificada (011)",227,69,,80,58,3,6,2,9
"Hombres (012)",9188,1050,12,3993,3068,178,376,112,399
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",31,,,2,9,1,8,,11
"Profes., científicos e intelectuales (014)",413,,,,21,11,102,18,261
"Técnicos de nivel medio ytrab.asimilados (015)",135,,,2,15,21,56,12,29
"Jefes y empleados de oficina (016)",106,,,2,35,9,19,7,34
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",229,3,1,48,132,10,21,8,6
"Agricult.trabaj. calif.agrop. y pesquros (018)",4645,722,7,2532,1309,27,24,10,14
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",493,6,,103,229,38,77,18,22
"Obreros. construc., conf., papel, fab., instr (020)",425,11,,90,245,32,20,17,10
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",2573,301,4,1180,1038,21,17,9,3
"Otra (022)",52,,,,3,6,28,12,3
"Ocupación no especificada (023)",86,7,,34,32,2,4,1,6
"Mujeres (024)",3924,1172,8,1535,674,73,207,34,221
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",8,1,,2,3,,1,1,
"Profes., científicos e intelectuales (026)",328,,,,14,18,103,15,178
"Técnicos de nivel medio ytrab.asimilados (027)",56,,,4,5,5,31,4,7
"Jefes y empleados de oficina (028)",67,,,,14,8,28,3,14
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",349,26,,134,143,19,12,7,8
"Agricult.trabaj. calif.agrop. y pesquros (030)",848,371,2,362,93,5,7,2,6
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",65,15,,19,19,5,4,1,2
"Obreros. construc., conf., papel, fab., instr (032)",9,,,3,5,,1,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",2044,697,6,965,352,8,13,,3
"Otra (034)",9,,,,,4,5,,
"Ocupación no especificada (035)",141,62,,46,26,1,2,1,3
,,,,,,,,,
"URBANA (036)",3679,191,3,877,1347,198,460,119,484
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",28,1,,4,6,1,6,1,9
"Profes., científicos e intelectuales (038)",529,,,,15,17,141,23,333
