"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia HUARAL (000)",164660,163421,748,491
"Hombres (001)",83461,82929,276,256
"Mujeres (002)",81199,80492,472,235
"Menores de 1 año (003)",2773,2486,178,109
"Hombres (004)",1418,1274,86,58
"Mujeres (005)",1355,1212,92,51
"De 1 a 5 años (006)",15257,14657,240,360
"Hombres (007)",7908,7596,122,190
"Mujeres (008)",7349,7061,118,170
"De 6 a 14 años (009)",28996,28971,18,7
"Hombres (010)",14794,14784,6,4
"Mujeres (011)",14202,14187,12,3
"De 15 a 29 años (012)",44645,44625,17,3
"Hombres (013)",22647,22639,6,2
"Mujeres (014)",21998,21986,11,1
"De 30 a 44 años (015)",35117,35100,17,
"Hombres (016)",17435,17428,7,
"Mujeres (017)",17682,17672,10,
"De 45 a 64 años (018)",25930,25872,55,3
"Hombres (019)",13202,13188,13,1
"Mujeres (020)",12728,12684,42,2
"De 65 a más años (021)",11942,11710,223,9
"Hombres (022)",6057,6020,36,1
"Mujeres (023)",5885,5690,187,8
,,,,
"URBANA (024)",136487,135487,578,422
"Hombres (025)",68042,67605,216,221
"Mujeres (026)",68445,67882,362,201
"Menores de 1 año (027)",2290,2073,133,84
"Hombres (028)",1189,1077,68,44
"Mujeres (029)",1101,996,65,40
"De 1 a 5 años (030)",12746,12231,197,318
"Hombres (031)",6645,6373,102,170
"Mujeres (032)",6101,5858,95,148
"De 6 a 14 años (033)",24461,24438,16,7
"Hombres (034)",12425,12416,5,4
"Mujeres (035)",12036,12022,11,3
"De 15 a 29 años (036)",36763,36749,11,3
"Hombres (037)",18235,18229,4,2
"Mujeres (038)",18528,18520,7,1
"De 30 a 44 años (039)",29182,29171,11,
"Hombres (040)",14073,14069,4,
"Mujeres (041)",15109,15102,7,
"De 45 a 64 años (042)",21468,21426,39,3
"Hombres (043)",10674,10664,9,1
"Mujeres (044)",10794,10762,30,2
"De 65 a más años (045)",9577,9399,171,7
"Hombres (046)",4801,4777,24,
"Mujeres (047)",4776,4622,147,7
,,,,
"RURAL (048)",28173,27934,170,69
"Hombres (049)",15419,15324,60,35
"Mujeres (050)",12754,12610,110,34
"Menores de 1 año (051)",483,413,45,25
"Hombres (052)",229,197,18,14
"Mujeres (053)",254,216,27,11
"De 1 a 5 años (054)",2511,2426,43,42
"Hombres (055)",1263,1223,20,20
"Mujeres (056)",1248,1203,23,22
"De 6 a 14 años (057)",4535,4533,2,
"Hombres (058)",2369,2368,1,
"Mujeres (059)",2166,2165,1,
"De 15 a 29 años (060)",7882,7876,6,
"Hombres (061)",4412,4410,2,
"Mujeres (062)",3470,3466,4,
"De 30 a 44 años (063)",5935,5929,6,
"Hombres (064)",3362,3359,3,
"Mujeres (065)",2573,2570,3,
"De 45 a 64 años (066)",4462,4446,16,
"Hombres (067)",2528,2524,4,
"Mujeres (068)",1934,1922,12,
"De 65 a más años (069)",2365,2311,52,2
"Hombres (070)",1256,1243,12,1
"Mujeres (071)",1109,1068,40,1
