"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PALPA (000)",12783,8397,4386
"Casa independiente (001)",12289,8170,4119
"Departamento en edificio (002)",17,17,
"Vivienda en quinta (003)",51,51,
"Vivienda en casa de vecindad (004)",85,85,
"Choza o cabaña (005)",263,,263
"Vivienda improvisada (006)",32,32,
"Local no dest.para hab. humana (007)",9,5,4
"Otro tipo (008)",37,37,
