"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SUCRE (000)",4666,4555,1152,457,451,411,731,545,397,411,111,17378
"De 12 a 14 años (001)",507,498,493,3,2,,,,,,9,7
"De 15 a 19 años (002)",499,489,395,73,13,4,4,,,,10,127
"De 20 a 24 años (003)",341,312,68,127,85,24,8,,,,29,404
"De 25 a 29 años (004)",373,354,31,88,123,66,40,6,,,19,735
"De 30 a 34 años (005)",365,354,17,43,79,70,117,23,5,,11,1101
"De 35 a 39 años (006)",356,343,14,26,41,54,133,48,21,6,13,1407
"De 40 a 44 años (007)",372,370,31,15,24,52,94,80,51,23,2,1859
"De 45 a 49 años (008)",280,277,14,22,14,35,66,64,40,22,3,1443
"De 50 y más años (009)",1573,1558,89,60,70,106,269,324,280,360,15,10295
"Conviviente (010)",795,761,52,217,184,110,101,55,26,16,34,2104
"De 12 a 14 años (011)",11,4,2,2,,,,,,,7,2
"De 15 a 19 años (012)",81,74,22,43,8,1,,,,,7,62
"De 20 a 24 años (013)",180,170,10,85,54,16,5,,,,10,263
"De 25 a 29 años (014)",188,183,5,52,69,39,15,3,,,5,388
"De 30 a 34 años (015)",106,105,3,11,30,23,32,6,,,1,315
"De 35 a 39 años (016)",66,65,,8,7,17,18,10,5,,1,256
"De 40 a 44 años (017)",54,54,6,4,8,5,12,11,6,2,,231
"De 45 a 49 años (018)",36,36,2,5,2,6,8,9,3,1,,155
"De 50 y más años (019)",73,70,2,7,6,3,11,16,12,13,3,432
"Separado(a) (020)",130,128,5,38,21,20,23,10,9,2,2,407
"De 15 a 19 años (022)",7,5,1,3,1,,,,,,2,5
"De 20 a 24 años (023)",16,16,,13,3,,,,,,,19
"De 25 a 29 años (024)",10,10,,5,4,1,,,,,,16
"De 30 a 34 años (025)",14,14,,5,3,4,2,,,,,32
