"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",19776,58980,53028,,1281,89.9,2.2
"De 12 a 14 años (001)",2243,8,8,,3,100,37.5
"De 15 a 19 años (002)",2750,491,481,143,98,29.1,
"De 20 a 24 años (003)",2184,2234,2185,328,97.8,14.7,
"De 25 a 29 años (004)",1849,3751,3653,296,97.4,7.9,
"De 30 a 34 años (005)",1794,5183,5017,244,96.8,4.7,
"De 35 a 39 años (006)",1745,6880,6550,184,95.2,2.7,
"De 40 a 44 años (007)",1379,6370,6041,66,94.8,1,
"De 45 a 49 años (008)",1164,6043,5593,17,92.6,0.3,
"De 50 y más años (009)",4668,28020,23500,,83.9,,
"Conviviente (010)",6401,24076,22294,877,92.6,3.6,
"De 12 a 14 años (011)",24,5,5,1,100,20,
"De 15 a 19 años (012)",446,330,322,102,97.6,30.9,
"De 20 a 24 años (013)",1018,1592,1553,244,97.6,15.3,
"De 25 a 29 años (014)",1022,2549,2493,198,97.8,7.8,
"De 30 a 34 años (015)",928,3109,3023,162,97.2,5.2,
"De 35 a 39 años (016)",866,3897,3697,125,94.9,3.2,
"De 40 a 44 años (017)",581,2978,2823,35,94.8,1.2,
"De 45 a 49 años (018)",453,2609,2388,10,91.5,0.4,
"De 50 y más años (019)",1063,7007,5990,,85.5,,
"Separado(a) (020)",746,2127,2005,54,94.3,2.5,
"De 15 a 19 años (022)",37,42,41,9,97.6,21.4,
"De 20 a 24 años (023)",86,114,114,15,100,13.2,
"De 25 a 29 años (024)",101,193,186,15,96.4,7.8,
"De 30 a 34 años (025)",85,186,182,6,97.8,3.2,
"De 35 a 39 años (026)",105,308,302,7,98.1,2.3,
"De 40 a 44 años (027)",71,257,245,2,95.3,0.8,
"De 45 a 49 años (028)",60,236,229,,97,,
"De 50 y más años (029)",201,791,706,,89.3,,
"Casado(a) (030)",4453,22610,20199,272,89.3,1.2,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",50,37,37,12,100,32.4,
"De 20 a 24 años (033)",195,309,304,42,98.4,13.6,
"De 25 a 29 años (034)",311,760,736,71,96.8,9.3,
"De 30 a 34 años (035)",478,1602,1534,69,95.8,4.3,
"De 35 a 39 años (036)",571,2353,2250,46,95.6,2,
"De 40 a 44 años (037)",529,2674,2543,26,95.1,1,
