"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CANGALLO (000)",411,109,302
"Sin nivel (001)",23,1,22
"Primaria (003)",173,42,131
"Secundaria (004)",171,53,118
"Superior no univ. incompleta (005)",6,2,4
"Superior no univ. completa (006)",29,9,20
"Superior univ. incompleta (007)",2,1,1
"Superior univ. completa (008)",7,1,6
"Hombres (010)",349,82,267
"Sin nivel (011)",19,1,18
"Primaria (013)",145,26,119
"Secundaria (014)",154,47,107
"Superior no univ. incompleta (015)",4,1,3
"Superior no univ. completa (016)",19,6,13
"Superior univ. incompleta (017)",1,,1
"Superior univ. completa (018)",7,1,6
"Mujeres (020)",62,27,35
"Sin nivel (021)",4,,4
"Primaria (023)",28,16,12
"Secundaria (024)",17,6,11
"Superior no univ. incompleta (025)",2,1,1
"Superior no univ. completa (026)",10,3,7
"Superior univ. incompleta (027)",1,1,
,,,
"AREA URBANA (030)",125,29,96
"Sin nivel (031)",5,,5
"Primaria (033)",43,8,35
"Secundaria (034)",53,14,39
"Superior no univ. incompleta (035)",3,1,2
"Superior no univ. completa (036)",17,5,12
"Superior univ. incompleta (037)",1,1,
"Superior univ. completa (038)",3,,3
"Hombres (040)",94,15,79
"Sin nivel (041)",4,,4
"Primaria (043)",34,3,31
"Secundaria (044)",42,9,33
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",10,3,7
"Superior univ. completa (048)",3,,3
"Mujeres (050)",31,14,17
"Sin nivel (051)",1,,1
"Primaria (053)",9,5,4
"Secundaria (054)",11,5,6
"Superior no univ. incompleta (055)",2,1,1
"Superior no univ. completa (056)",7,2,5
"Superior univ. incompleta (057)",1,1,
,,,
"AREA RURAL (060)",286,80,206
"Sin nivel (061)",18,1,17
"Primaria (063)",130,34,96
"Secundaria (064)",118,39,79
"Superior no univ. incompleta (065)",3,1,2
"Superior no univ. completa (066)",12,4,8
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",4,1,3
"Hombres (070)",255,67,188
"Sin nivel (071)",15,1,14
"Primaria (073)",111,23,88
"Secundaria (074)",112,38,74
"Superior no univ. incompleta (075)",3,1,2
"Superior no univ. completa (076)",9,3,6
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",4,1,3
"Mujeres (080)",31,13,18
"Sin nivel (081)",3,,3
"Primaria (083)",19,11,8
"Secundaria (084)",6,1,5
"Superior no univ. completa (086)",3,1,2
