"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CELENDIN (000)",88329,22004,66325
"Casa independiente (001)",84606,20942,63664
"Departamento en edificio (002)",30,30,
"Vivienda en quinta (003)",609,609,
"Vivienda en casa de vecindad (004)",397,397,
"Choza o cabaña (005)",2646,,2646
"Vivienda improvisada (006)",2,2,
"Local no dest.para hab. humana (007)",31,20,11
"Otro tipo (008)",8,4,4
