"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN MARTIN (000)",42994,40651,169,9577,9958,7547,7553,3630,1640,577,2343,128460
"De 12 a 14 años (001)",74,43,2,33,8,,,,,,31,49
"De 15 a 19 años (002)",1616,1406,24,1152,188,34,8,,,,210,1662
"De 20 a 24 años (003)",4848,3971,19,2523,1115,260,48,6,,,877,5771
"De 25 a 29 años (004)",5481,4850,18,2098,1675,734,302,21,2,,631,9062
"De 30 a 34 años (005)",5529,5279,21,1400,1905,1103,740,103,6,1,250,12384
"De 35 a 39 años (006)",5615,5482,14,842,1723,1487,1092,264,54,6,133,15666
"De 40 a 44 años (007)",4913,4852,15,544,1307,1272,1180,403,116,15,61,15809
"De 45 a 49 años (008)",3868,3825,11,339,852,980,1020,437,149,37,43,13868
"De 50 y más años (009)",11050,10943,45,646,1185,1677,3163,2396,1313,518,107,54189
"Conviviente (010)",16214,15692,75,4788,4302,2654,2472,952,346,103,522,42239
"De 12 a 14 años (011)",43,17,2,13,2,,,,,,26,17
"De 15 a 19 años (012)",1130,959,20,770,146,19,4,,,,171,1135
"De 20 a 24 años (013)",2853,2702,12,1639,815,192,39,5,,,151,4039
"De 25 a 29 años (014)",3036,2953,6,1159,1098,471,202,17,,,83,5717
"De 30 a 34 años (015)",2665,2628,11,588,929,594,446,56,4,,37,6530
"De 35 a 39 años (016)",2265,2238,6,302,612,600,543,140,31,4,27,6880
"De 40 a 44 años (017)",1582,1576,4,145,354,358,471,188,50,6,6,5671
"De 45 a 49 años (018)",1041,1033,5,78,184,220,316,165,53,12,8,4130
"De 50 y más años (019)",1599,1586,9,94,162,200,451,381,208,81,13,8120
"Separado(a) (020)",1932,1880,8,424,503,344,381,145,63,12,52,5711
"De 12 a 14 años (021)",4,1,,1,,,,,,,3,1
