"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia AYMARAES (000)",8055,7841,23,1008,1074,1077,1943,1626,834,256,214,35235
"De 12 a 14 años (001)",14,8,1,4,3,,,,,,6,10
"De 15 a 19 años (002)",185,170,1,145,22,2,,,,,15,195
"De 20 a 24 años (003)",605,542,2,302,176,47,15,,,,63,859
"De 25 a 29 años (004)",791,745,1,191,265,202,81,5,,,46,1702
"De 30 a 34 años (005)",837,808,1,88,188,207,257,60,4,3,29,2642
"De 35 a 39 años (006)",758,747,1,45,106,132,291,144,26,2,11,3092
"De 40 a 44 años (007)",738,732,,42,65,85,235,209,84,12,6,3654
"De 45 a 49 años (008)",625,622,1,28,31,61,176,197,105,23,3,3455
"De 50 y más años (009)",3502,3467,15,163,218,341,888,1011,615,216,35,19626
"Conviviente (010)",1891,1848,6,491,475,313,325,163,57,18,43,5513
"De 12 a 14 años (011)",7,2,1,1,,,,,,,5,1
"De 15 a 19 años (012)",117,104,,86,18,,,,,,13,122
"De 20 a 24 años (013)",361,348,1,200,115,22,10,,,,13,537
"De 25 a 29 años (014)",408,403,,109,151,106,34,3,,,5,890
"De 30 a 34 años (015)",327,324,,44,98,89,77,14,,2,3,949
"De 35 a 39 años (016)",205,204,,14,41,40,66,37,5,1,1,793
"De 40 a 44 años (017)",138,137,,14,21,15,44,30,10,3,1,604
"De 45 a 49 años (018)",94,94,,4,7,17,30,21,13,2,,468
"De 50 y más años (019)",234,232,4,19,24,24,64,58,29,10,2,1149
"Separado(a) (020)",311,306,2,92,58,43,61,31,13,6,5,983
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",14,12,,12,,,,,,,2,12
"De 20 a 24 años (023)",46,44,,32,7,5,,,,,2,61
