"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CARABAYA (000)",24576,1942,3539,12110,301,6535,149
"Sin nivel (001)",3167,9,208,1641,35,1258,16
"Educación inicial (002)",20,1,,6,,13,
"Primaria (003)",11608,88,1454,6303,147,3543,73
"Secundaria (004)",7518,398,1630,3710,91,1631,58
"Superior no univ. incompleta (005)",479,166,113,156,8,35,1
"Superior no univ. completa (006)",676,463,69,115,4,25,
"Superior univ. incompleta (007)",290,135,41,87,5,21,1
"Superior univ. completa (008)",818,682,24,92,11,9,
"Hombres (010)",15403,1313,3028,8710,228,2095,29
"Sin nivel (011)",1007,1,95,757,19,134,1
"Educación inicial (012)",6,,,2,,4,
"Primaria (013)",7114,43,1195,4716,116,1031,13
"Secundaria (014)",5662,288,1505,2908,69,879,13
"Superior no univ. incompleta (015)",358,111,108,116,4,18,1
"Superior no univ. completa (016)",457,291,64,83,4,15,
"Superior univ. incompleta (017)",225,107,39,59,5,14,1
"Superior univ. completa (018)",574,472,22,69,11,,
"Mujeres (020)",9173,629,511,3400,73,4440,120
"Sin nivel (021)",2160,8,113,884,16,1124,15
"Educación inicial (022)",14,1,,4,,9,
"Primaria (023)",4494,45,259,1587,31,2512,60
"Secundaria (024)",1856,110,125,802,22,752,45
"Superior no univ. incompleta (025)",121,55,5,40,4,17,
"Superior no univ. completa (026)",219,172,5,32,,10,
"Superior univ. incompleta (027)",65,28,2,28,,7,
"Superior univ. completa (028)",244,210,2,23,,9,
,,,,,,,
"URBANA (030)",8154,1503,1499,3814,85,1174,79
"Sin nivel (031)",659,7,70,397,6,171,8
"Educación inicial (032)",2,,,1,,1,
"Primaria (033)",2917,62,533,1671,30,585,36
"Secundaria (034)",2901,293,740,1432,35,367,34
"Superior no univ. incompleta (035)",311,121,67,101,3,19,
"Superior no univ. completa (036)",492,348,45,82,3,14,
"Superior univ. incompleta (037)",206,106,27,56,3,13,1
"Superior univ. completa (038)",666,566,17,74,5,4,
"Hombres (040)",5057,1027,1316,2304,56,339,15
"Sin nivel (041)",184,,32,131,2,18,1
"Educación inicial (042)",2,,,1,,1,
"Primaria (043)",1661,33,449,1015,16,143,5
"Secundaria (044)",2045,219,689,946,26,157,8
"Superior no univ. incompleta (045)",218,80,63,67,1,7,
"Superior no univ. completa (046)",324,218,42,55,3,6,
"Superior univ. incompleta (047)",156,85,25,35,3,7,1
"Superior univ. completa (048)",467,392,16,54,5,,
"Mujeres (050)",3097,476,183,1510,29,835,64
"Sin nivel (051)",475,7,38,266,4,153,7
"Primaria (053)",1256,29,84,656,14,442,31
"Secundaria (054)",856,74,51,486,9,210,26
"Superior no univ. incompleta (055)",93,41,4,34,2,12,
"Superior no univ. completa (056)",168,130,3,27,,8,
"Superior univ. incompleta (057)",50,21,2,21,,6,
"Superior univ. completa (058)",199,174,1,20,,4,
,,,,,,,
"RURAL (060)",16422,439,2040,8296,216,5361,70
"Sin nivel (061)",2508,2,138,1244,29,1087,8
"Educación inicial (062)",18,1,,5,,12,
"Primaria (063)",8691,26,921,4632,117,2958,37
"Secundaria (064)",4617,105,890,2278,56,1264,24
"Superior no univ. incompleta (065)",168,45,46,55,5,16,1
"Superior no univ. completa (066)",184,115,24,33,1,11,
"Superior univ. incompleta (067)",84,29,14,31,2,8,
"Superior univ. completa (068)",152,116,7,18,6,5,
"Hombres (070)",10346,286,1712,6406,172,1756,14
"Sin nivel (071)",823,1,63,626,17,116,
"Educación inicial (072)",4,,,1,,3,
"Primaria (073)",5453,10,746,3701,100,888,8
"Secundaria (074)",3617,69,816,1962,43,722,5
"Superior no univ. incompleta (075)",140,31,45,49,3,11,1
"Superior no univ. completa (076)",133,73,22,28,1,9,
"Superior univ. incompleta (077)",69,22,14,24,2,7,
"Superior univ. completa (078)",107,80,6,15,6,,
"Mujeres (080)",6076,153,328,1890,44,3605,56
"Sin nivel (081)",1685,1,75,618,12,971,8
"Educación inicial (082)",14,1,,4,,9,
"Primaria (083)",3238,16,175,931,17,2070,29
"Secundaria (084)",1000,36,74,316,13,542,19
"Superior no univ. incompleta (085)",28,14,1,6,2,5,
"Superior no univ. completa (086)",51,42,2,5,,2,
"Superior univ. incompleta (087)",15,7,,7,,1,
"Superior univ. completa (088)",45,36,1,3,,5,
