"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LIMA (000)",7531233,116427,1779177,2165199,1701894,1261751,506785
"Jefe o Jefa (001)",1860569,,1615,251941,648296,676350,282367
"Esposa(o) / compañera(o) (002)",1126357,,1892,214530,452933,363853,93149
"Hijo(a) / hijastro(a) (003)",2918732,71066,1301274,1109910,358185,76701,1596
"Yerno / nuera (004)",156992,,1028,74619,67296,13408,641
"Nieto(a) (005)",457293,33367,324062,92530,7048,285,1
"Padres / suegros (006)",118564,,,52,2434,32239,83839
"Otro(a) pariente (007)",691361,10528,131284,315290,121450,75486,37323
"Trabajador(a) del hogar (008)",35193,,644,22027,7237,4440,845
"Pensionistas (009)",12376,,326,7427,2643,1203,777
"Otro(a) no pariente (010)",153796,1466,17052,76873,34372,17786,6247
"Hombres (011)",3664741,59330,905421,1053812,814767,596731,234680
"Jefe o Jefa (012)",1290559,,881,172460,467772,465917,183529
"Esposa(o) / compañera(o) (013)",105840,,1279,25737,39209,29741,9874
"Hijo(a) / hijastro(a) (014)",1489178,36270,664407,572360,178939,36585,617
"Yerno / nuera (015)",83769,,504,31510,41565,9730,460
"Nieto(a) (016)",235018,17052,164940,49066,3798,162,
"Padres / suegros (017)",32991,,,27,856,8075,24033
"Otro(a) pariente (018)",344939,5242,65103,160937,63851,36794,13012
"Trabajador(a) del hogar (019)",1817,,65,996,354,288,114
"Pensionistas (020)",6567,,148,3815,1504,713,387
"Otro(a) no pariente (021)",74063,766,8094,36904,16919,8726,2654
"Mujeres (022)",3866492,57097,873756,1111387,887127,665020,272105
"Jefe o Jefa (023)",570010,,734,79481,180524,210433,98838
"Esposa(o) / compañera(o) (024)",1020517,,613,188793,413724,334112,83275
"Hijo(a) / hijastro(a) (025)",1429554,34796,636867,537550,179246,40116,979
"Yerno / nuera (026)",73223,,524,43109,25731,3678,181
"Nieto(a) (027)",222275,16315,159122,43464,3250,123,1
"Padres / suegros (028)",85573,,,25,1578,24164,59806
"Otro(a) pariente (029)",346422,5286,66181,154353,57599,38692,24311
"Trabajador(a) del hogar (030)",33376,,579,21031,6883,4152,731
"Pensionistas (031)",5809,,178,3612,1139,490,390
"Otro(a) no pariente (032)",79733,700,8958,39969,17453,9060,3593
,,,,,,,
"URBANA (033)",7521549,116263,1776444,2162389,1699832,1260401,506220
"Jefe o Jefa (034)",1857816,,1614,251409,647274,675526,281993
"Esposa(o) / compañera(o) (035)",1124692,,1887,214036,452276,363456,93037
"Hijo(a) / hijastro(a) (036)",2914817,70949,1298999,1108616,357982,76676,1595
"Yerno / nuera (037)",156861,,1027,74536,67254,13403,641
"Nieto(a) (038)",456936,33338,323795,92472,7045,285,1
"Padres / suegros (039)",118479,,,52,2431,32210,83786
"Otro(a) pariente (040)",690781,10514,131119,315024,121366,75454,37304
"Trabajador(a) del hogar (041)",35177,,643,22020,7233,4437,844
"Pensionistas (042)",12374,,326,7425,2643,1203,777
"Otro(a) no pariente (043)",153616,1462,17034,76799,34328,17751,6242
"Hombres (044)",3659629,59255,904038,1052335,813626,596014,234361
"Jefe o Jefa (045)",1288377,,880,172026,466924,465297,183250
"Esposa(o) / compañera(o) (046)",105716,,1274,25696,39166,29716,9864
"Hijo(a) / hijastro(a) (047)",1487160,36222,663271,571658,178821,36572,616
"Yerno / nuera (048)",83696,,504,31471,41535,9726,460
"Nieto(a) (049)",234812,17034,164790,49029,3797,162,
"Padres / suegros (050)",32967,,,27,855,8067,24018
"Otro(a) pariente (051)",344589,5237,65022,160769,63787,36773,13001
"Trabajador(a) del hogar (052)",1814,,65,994,354,287,114
"Pensionistas (053)",6565,,148,3813,1504,713,387
"Otro(a) no pariente (054)",73933,762,8084,36852,16883,8701,2651
"Mujeres (055)",3861920,57008,872406,1110054,886206,664387,271859
"Jefe o Jefa (056)",569439,,734,79383,180350,210229,98743
"Esposa(o) / compañera(o) (057)",1018976,,613,188340,413110,333740,83173
"Hijo(a) / hijastro(a) (058)",1427657,34727,635728,536958,179161,40104,979
"Yerno / nuera (059)",73165,,523,43065,25719,3677,181
"Nieto(a) (060)",222124,16304,159005,43443,3248,123,1
"Padres / suegros (061)",85512,,,25,1576,24143,59768
"Otro(a) pariente (062)",346192,5277,66097,154255,57579,38681,24303
"Trabajador(a) del hogar (063)",33363,,578,21026,6879,4150,730
"Pensionistas (064)",5809,,178,3612,1139,490,390
"Otro(a) no pariente (065)",79683,700,8950,39947,17445,9050,3591
,,,,,,,
"RURAL (066)",9684,164,2733,2810,2062,1350,565
"Jefe o Jefa (067)",2753,,1,532,1022,824,374
"Esposa(o) / compañera(o) (068)",1665,,5,494,657,397,112
"Hijo(a) / hijastro(a) (069)",3915,117,2275,1294,203,25,1
"Yerno / nuera (070)",131,,1,83,42,5,
"Nieto(a) (071)",357,29,267,58,3,,
"Padres / suegros (072)",85,,,,3,29,53
"Otro(a) pariente (073)",580,14,165,266,84,32,19
"Trabajador(a) del hogar (074)",16,,1,7,4,3,1
"Pensionistas (075)",2,,,2,,,
"Otro(a) no pariente (076)",180,4,18,74,44,35,5
"Hombres (077)",5112,75,1383,1477,1141,717,319
"Jefe o Jefa (078)",2182,,1,434,848,620,279
"Esposa(o) / compañera(o) (079)",124,,5,41,43,25,10
"Hijo(a) / hijastro(a) (080)",2018,48,1136,702,118,13,1
"Yerno / nuera (081)",73,,,39,30,4,
"Nieto(a) (082)",206,18,150,37,1,,
"Padres / suegros (083)",24,,,,1,8,15
"Otro(a) pariente (084)",350,5,81,168,64,21,11
"Trabajador(a) del hogar (085)",3,,,2,,1,
"Pensionistas (086)",2,,,2,,,
"Otro(a) no pariente (087)",130,4,10,52,36,25,3
