"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia NAZCA (000)",19566,15812,3754
"Casa independiente (001)",17392,14284,3108
"Departamento en edificio (002)",207,207,
"Vivienda en quinta (003)",324,324,
"Vivienda en casa de vecindad (004)",217,217,
"Choza o cabaña (005)",644,,644
"Vivienda improvisada (006)",626,626,
"Local no dest.para hab. humana (007)",32,31,1
"Otro tipo (008)",124,123,1
