"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SULLANA (000)",67934,59866,8068
"Casa independiente (001)",67299,59314,7985
"Departamento en edificio (002)",271,271,
"Vivienda en quinta (003)",71,71,
"Vivienda en casa de vecindad (004)",73,73,
"Choza o cabaña (005)",78,,78
"Vivienda improvisada (006)",99,99,
"Local no dest.para hab. humana (007)",37,34,3
"Otro tipo (008)",6,4,2
