"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OXAPAMPA (000)",26873,26222,7766,3924,3795,2690,3558,2071,1360,1058,651,71996
"De 12 a 14 años (001)",3159,3138,3119,17,2,,,,,,21,21
"De 15 a 19 años (002)",3989,3898,2990,747,139,16,6,,,,91,1097
"De 20 a 24 años (003)",3370,3199,873,1214,728,255,112,17,,,171,4022
"De 25 a 29 años (004)",3061,2886,291,796,898,471,361,52,17,,175,6038
"De 30 a 34 años (005)",2726,2662,170,438,707,533,558,186,56,14,64,7684
"De 35 a 39 años (006)",2606,2569,84,267,525,472,717,327,130,47,37,9590
"De 40 a 44 años (007)",2058,2034,61,145,321,356,546,358,171,76,24,8835
"De 45 a 49 años (008)",1660,1644,40,94,187,237,424,320,216,126,16,8308
"De 50 y más años (009)",4244,4192,138,206,288,350,834,811,770,795,52,26401
"Sin nivel (010)",3272,3213,287,184,216,264,588,588,530,556,59,18637
"De 12 a 14 años (011)",53,52,50,2,,,,,,,1,2
"De 15 a 19 años (012)",109,107,75,24,5,2,1,,,,2,44
"De 20 a 24 años (013)",159,153,34,35,34,26,21,3,,,6,287
"De 25 a 29 años (014)",158,149,10,19,36,30,42,8,4,,9,443
"De 30 a 34 años (015)",164,162,9,13,18,26,62,18,13,3,2,658
"De 35 a 39 años (016)",252,248,10,9,21,29,72,62,27,18,4,1285
"De 40 a 44 años (017)",274,270,13,9,15,25,67,73,49,19,4,1510
"De 45 a 49 años (018)",324,319,12,7,15,33,62,90,52,48,5,1960
"De 50 y más años (019)",1779,1753,74,66,72,93,261,334,385,468,26,12448
"Educacion Inicial (020)",48,46,13,8,10,7,7,1,,,2,85
"De 12 a 14 años (021)",2,2,2,,,,,,,,,
