"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YAUYOS (000)",14781,8692,6089
"Casa independiente (001)",13687,8367,5320
"Departamento en edificio (002)",6,6,
"Vivienda en quinta (003)",47,47,
"Vivienda en casa de vecindad (004)",198,198,
"Choza o cabaña (005)",766,,766
"Vivienda improvisada (006)",58,58,
"Local no dest.para hab. humana (007)",8,6,2
"Otro tipo (008)",11,10,1
