"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TALARA (000)",29040,127209,28481,125021,559,2188
"Casa independiente (001)",28387,124972,27921,123107,466,1865
"Departamento en edificio (002)",166,503,166,503,,
"Vivienda en quinta (003)",35,137,35,137,,
"Vivienda en casa de vecindad (004)",85,343,85,343,,
"Choza o cabaña (005)",92,319,,,92,319
"Vivienda improvisada (006)",212,784,212,784,,
"Local no dest.para hab. humana (007)",53,129,53,129,,
"Otro tipo (008)",10,22,9,18,1,4
