"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUANCAYO (000)",105067,461978,91631,407794,13436,54184
"Casa independiente (001)",92062,412321,79020,359401,13042,52920
"Departamento en edificio (002)",3666,13301,3666,13301,,
"Vivienda en quinta (003)",3819,15156,3819,15156,,
"Vivienda en casa de vecindad (004)",4774,18741,4774,18741,,
"Choza o cabaña (005)",368,1162,,,368,1162
"Vivienda improvisada (006)",153,540,153,540,,
"Local no dest.para hab. humana (007)",201,698,175,596,26,102
"Otro tipo (008)",24,59,24,59,,
