"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CHACHAPOYAS (000)",19480,4705,2356,8257,467,2336,688,671
"Agric., ganadería, caza y silvicultura (001)",7970,23,903,5022,178,1844,,
"Pesca (002)",1,,,1,,,,
"Explotación de minas y canteras (003)",31,2,28,1,,,,
"Industrias manufactureras (004)",799,42,189,464,49,55,,
"Suministro de electricidad, gas y agua (005)",48,31,16,1,,,,
"Construcción (006)",1114,35,806,196,56,21,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2250,340,56,1497,103,254,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",218,18,37,137,16,10,,
"Comercio al por mayor (009)",158,42,11,75,11,19,,
"Comercio al por menor (010)",1874,280,8,1285,76,225,,
"Hoteles y restaurantes (011)",621,186,53,283,38,61,,
"Trans., almac. y comunicaciones (012)",707,249,102,330,16,10,,
"Intermediación financiera (013)",70,70,,,,,,
"Activid.inmobil., empres. y alquileres (014)",497,371,22,91,8,5,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1204,1106,98,,,,,
"Enseñanza (016)",1590,1526,,63,,1,,
"Servicios sociales y de salud (017)",447,421,2,21,3,,,
"Otras activ. serv.comun.soc y personales (018)",448,219,43,159,10,17,,
"Hogares privados con servicio doméstico (019)",688,,,,,,688,
"Actividad economica no especificada (021)",324,84,38,128,6,68,,
"Desocupado (022)",671,,,,,,,671
"Hombres (023)",12635,2470,2039,6073,363,1247,21,422
"Agric., ganadería, caza y silvicultura (024)",6408,18,757,4395,150,1088,,
"Pesca (025)",1,,,1,,,,
"Explotación de minas y canteras (026)",30,1,28,1,,,,
"Industrias manufactureras (027)",539,22,147,301,40,29,,
"Suministro de electricidad, gas y agua (028)",41,24,16,1,,,,
"Construcción (029)",1092,30,795,191,56,20,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1013,177,52,632,71,81,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",202,14,37,128,15,8,,
"Comercio al por mayor (032)",99,32,10,45,5,7,,
"Comercio al por menor (033)",712,131,5,459,51,66,,
"Hoteles y restaurantes (034)",139,62,14,38,14,11,,
"Trans., almac. y comunicaciones (035)",626,189,100,319,13,5,,
"Intermediación financiera (036)",34,34,,,,,,
"Activid.inmobil., empres. y alquileres (037)",338,240,17,73,6,2,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",797,716,81,,,,,
"Enseñanza (039)",689,661,,28,,,,
"Servicios sociales y de salud (040)",169,151,1,15,2,,,
"Otras activ. serv.comun.soc y personales (041)",198,121,16,51,7,3,,
"Hogares privados con servicio doméstico (042)",21,,,,,,21,
"Actividad economica no especificada (044)",78,24,15,27,4,8,,
"Desocupado (045)",422,,,,,,,422
"Mujeres (046)",6845,2235,317,2184,104,1089,667,249
"Agric., ganadería, caza y silvicultura (047)",1562,5,146,627,28,756,,
"Explotación de minas y canteras (049)",1,1,,,,,,
"Industrias manufactureras (050)",260,20,42,163,9,26,,
"Suministro de electricidad, gas y agua (051)",7,7,,,,,,
"Construcción (052)",22,5,11,5,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1237,163,4,865,32,173,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",16,4,,9,1,2,,
"Comercio al por mayor (055)",59,10,1,30,6,12,,
"Comercio al por menor (056)",1162,149,3,826,25,159,,
"Hoteles y restaurantes (057)",482,124,39,245,24,50,,
"Trans., almac. y comunicaciones (058)",81,60,2,11,3,5,,
"Intermediación financiera (059)",36,36,,,,,,
"Activid.inmobil., empres. y alquileres (060)",159,131,5,18,2,3,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",407,390,17,,,,,
"Enseñanza (062)",901,865,,35,,1,,
"Servicios sociales y de salud (063)",278,270,1,6,1,,,
"Otras activ. serv.comun.soc y personales (064)",250,98,27,108,3,14,,
"Hogares privados con servicio doméstico (065)",667,,,,,,667,
"Actividad economica no especificada (067)",246,60,23,101,2,60,,
"Desocupado (068)",249,,,,,,,249
,,,,,,,,
"URBANA (069)",13585,4473,1623,4893,384,1055,584,573
"Agric., ganadería, caza y silvicultura (070)",3184,21,360,2042,100,661,,
"Pesca (071)",1,,,1,,,,
"Explotación de minas y canteras (072)",7,2,4,1,,,,
"Industrias manufactureras (073)",697,42,164,404,48,39,,
"Suministro de electricidad, gas y agua (074)",37,28,8,1,,,,
"Construcción (075)",1008,33,728,178,54,15,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2039,330,53,1331,102,223,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",212,17,37,134,15,9,,
"Comercio al por mayor (078)",144,40,9,66,11,18,,
"Comercio al por menor (079)",1683,273,7,1131,76,196,,
"Hoteles y restaurantes (080)",566,181,46,254,37,48,,
"Trans., almac. y comunicaciones (081)",654,245,86,298,16,9,,
"Intermediación financiera (082)",69,69,,,,,,
"Activid.inmobil., empres. y alquileres (083)",482,361,17,91,8,5,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",1159,1062,97,,,,,
"Enseñanza (085)",1457,1407,,49,,1,,
"Servicios sociales y de salud (086)",421,398,1,19,3,,,
"Otras activ. serv.comun.soc y personales (087)",397,212,33,134,10,8,,
"Hogares privados con servicio doméstico (088)",584,,,,,,584,
"Actividad economica no especificada (090)",250,82,26,90,6,46,,
"Desocupado (091)",573,,,,,,,573
"Hombres (092)",8152,2347,1415,3256,294,476,18,346
"Agric., ganadería, caza y silvicultura (093)",2491,17,284,1758,85,347,,
"Pesca (094)",1,,,1,,,,
"Explotación de minas y canteras (095)",6,1,4,1,,,,
"Industrias manufactureras (096)",476,22,133,259,39,23,,
"Suministro de electricidad, gas y agua (097)",30,21,8,1,,,,
"Construcción (098)",987,28,717,173,54,15,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",922,172,49,564,70,67,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",197,13,37,126,14,7,,
"Comercio al por mayor (101)",88,30,8,39,5,6,,
"Comercio al por menor (102)",637,129,4,399,51,54,,
"Hoteles y restaurantes (103)",134,62,14,35,14,9,,
"Trans., almac. y comunicaciones (104)",574,185,84,288,13,4,,
"Intermediación financiera (105)",34,34,,,,,,
"Activid.inmobil., empres. y alquileres (106)",327,233,13,73,6,2,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",764,684,80,,,,,
"Enseñanza (108)",625,604,,21,,,,
"Servicios sociales y de salud (109)",158,143,,13,2,,,
"Otras activ. serv.comun.soc y personales (110)",190,117,14,49,7,3,,
"Hogares privados con servicio doméstico (111)",18,,,,,,18,
"Actividad economica no especificada (113)",69,24,15,20,4,6,,
"Desocupado (114)",346,,,,,,,346
"Mujeres (115)",5433,2126,208,1637,90,579,566,227
"Agric., ganadería, caza y silvicultura (116)",693,4,76,284,15,314,,
