"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCAVELICA (000)",45014,35605,2597,2015,4797
"Hombres (001)",27589,21252,1819,1414,3104
"Mujeres (002)",17425,14353,778,601,1693
"De 06 a 14 años (003)",834,793,39,2,
"Hombres (004)",435,408,26,1,
"Mujeres (005)",399,385,13,1,
"De 15 a 29 años (006)",14965,12193,893,607,1272
"Hombres (007)",8852,6994,626,438,794
"Mujeres (008)",6113,5199,267,169,478
"De 30 a 44 años (009)",15366,10932,1159,990,2285
"Hombres (010)",9421,6551,796,673,1401
"Mujeres (011)",5945,4381,363,317,884
"De 45 a 64 años (012)",10762,8692,476,400,1194
"Hombres (013)",6815,5315,348,287,865
"Mujeres (014)",3947,3377,128,113,329
"De 65 y más años (015)",3087,2995,30,16,46
"Hombres (016)",2066,1984,23,15,44
"Mujeres (017)",1021,1011,7,1,2
,,,,,
"URBANA (018)",18471,10616,1860,1723,4272
"Hombres (019)",11058,6011,1232,1152,2663
"Mujeres (020)",7413,4605,628,571,1609
"De 06 a 14 años (021)",195,181,12,2,
"Hombres (022)",120,108,11,1,
"Mujeres (023)",75,73,1,1,
"De 15 a 29 años (024)",5581,3390,619,494,1078
"Hombres (025)",3351,1954,415,344,638
"Mujeres (026)",2230,1436,204,150,440
"De 30 a 44 años (027)",7483,3646,877,877,2083
"Hombres (028)",4389,2019,563,570,1237
"Mujeres (029)",3094,1627,314,307,846
"De 45 a 64 años (030)",4420,2663,336,342,1079
"Hombres (031)",2709,1490,232,230,757
"Mujeres (032)",1711,1173,104,112,322
"De 65 y más años (033)",792,736,16,8,32
"Hombres (034)",489,440,11,7,31
"Mujeres (035)",303,296,5,1,1
,,,,,
"RURAL (036)",26543,24989,737,292,525
"Hombres (037)",16531,15241,587,262,441
"Mujeres (038)",10012,9748,150,30,84
"De 06 a 14 años (039)",639,612,27,,
"Hombres (040)",315,300,15,,
"Mujeres (041)",324,312,12,,
"De 15 a 29 años (042)",9384,8803,274,113,194
"Hombres (043)",5501,5040,211,94,156
"Mujeres (044)",3883,3763,63,19,38
"De 30 a 44 años (045)",7883,7286,282,113,202
"Hombres (046)",5032,4532,233,103,164
"Mujeres (047)",2851,2754,49,10,38
"De 45 a 64 años (048)",6342,6029,140,58,115
"Hombres (049)",4106,3825,116,57,108
"Mujeres (050)",2236,2204,24,1,7
"De 65 y más años (051)",2295,2259,14,8,14
"Hombres (052)",1577,1544,12,8,13
"Mujeres (053)",718,715,2,,1
