"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CAJATAMBO (000)",2251,29,98,207,276,420,712,509
"De 12 a 14 años (001)",4,,,,,,,4
"De 15 a 19 años (002)",54,,,,,,30,24
"De 20 a 24 años (003)",153,,,,,,86,67
"De 25 a 29 años (004)",207,,,,,10,154,43
"De 30 a 34 años (005)",234,,,,,32,160,42
"De 35 a 39 años (006)",249,,,,2,44,154,49
"De 40 a 44 años (007)",220,,,,4,88,92,36
"De 45 a 49 años (008)",182,,,,19,98,28,37
"De 50 y más años (009)",948,29,98,207,251,148,8,207
"Sin nivel (010)",446,13,44,80,80,68,46,115
"De 20 a 24 años (013)",1,,,,,,,1
"De 25 a 29 años (014)",4,,,,,,2,2
"De 30 a 34 años (015)",12,,,,,2,10,
"De 35 a 39 años (016)",18,,,,,3,11,4
"De 40 a 44 años (017)",23,,,,,5,16,2
"De 45 a 49 años (018)",32,,,,2,17,6,7
"De 50 y más años (019)",356,13,44,80,78,41,1,99
"Primaria (030)",1003,14,45,105,144,205,308,182
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",19,,,,,,10,9
"De 20 a 24 años (033)",41,,,,,,25,16
"De 25 a 29 años (034)",79,,,,,4,64,11
"De 30 a 34 años (035)",91,,,,,10,69,12
"De 35 a 39 años (036)",106,,,,,18,75,13
"De 40 a 44 años (037)",104,,,,3,39,44,18
"De 45 a 49 años (038)",92,,,,6,52,16,18
"De 50 y más años (039)",469,14,45,105,135,82,5,83
"Secundaria (040)",494,,7,7,23,85,247,125
"De 12 a 14 años (041)",2,,,,,,,2
"De 15 a 19 años (042)",35,,,,,,20,15
"De 20 a 24 años (043)",89,,,,,,52,37
"De 25 a 29 años (044)",85,,,,,4,62,19
"De 30 a 34 años (045)",79,,,,,11,52,16
"De 35 a 39 años (046)",70,,,,,13,44,13
"De 40 a 44 años (047)",44,,,,,27,14,3
"De 45 a 49 años (048)",27,,,,6,13,3,5
"De 50 y más años (049)",63,,7,7,17,17,,15
"Sup. no Univ. incompleta (050)",47,,,,2,8,20,17
"De 20 a 24 años (053)",7,,,,,,3,4
"De 25 a 29 años (054)",10,,,,,,6,4
"De 30 a 34 años (055)",7,,,,,2,4,1
"De 35 a 39 años (056)",9,,,,,,6,3
"De 40 a 44 años (057)",5,,,,,1,1,3
"De 45 a 49 años (058)",4,,,,,3,,1
"De 50 y más años (059)",5,,,,2,2,,1
"Sup. no Univ. completa (060)",82,1,,6,10,11,33,21
"De 20 a 24 años (063)",6,,,,,,3,3
"De 25 a 29 años (064)",13,,,,,,9,4
