"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia EL COLLAO (000)",31096,22,1277,258,337,2854,14437,875,1162,8746,336,792
"Agric., ganadería, caza y silvicultura (001)",21296,,8,10,,,14365,4,24,6885,,
"Pesca (002)",165,,,,1,,72,,,92,,
"Explotación de minas y canteras (003)",18,,3,,,,,4,,11,,
"Industrias manufactureras (004)",691,,3,7,2,4,,614,45,16,,
"Suministro de electricidad, gas y agua (005)",21,,3,3,2,,,4,2,7,,
"Construcción (006)",625,,16,5,,,,26,387,191,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3571,1,3,13,1,2513,,205,8,827,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",242,1,,3,,56,,173,6,3,,
"Comercio al por mayor (009)",71,,1,,,70,,,,,,
"Comercio al por menor (010)",3258,,2,10,1,2387,,32,2,824,,
"Hoteles y restaurantes (011)",485,,1,12,1,239,,,,232,,
"Trans., almac. y comunicaciones (012)",876,,1,9,4,1,,4,643,214,,
"Intermediación financiera (013)",10,,1,3,4,,,,,2,,
"Activid.inmobil., empres. y alquileres (014)",197,,51,43,24,27,,7,19,26,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",735,14,36,24,217,32,,3,29,44,336,
"Enseñanza (016)",1092,7,1053,1,28,,,,,3,,
"Servicios sociales y de salud (017)",207,,66,92,24,12,,1,3,9,,
"Otras activ. serv.comun.soc y personales (018)",177,,26,35,9,26,,3,2,76,,
"Hogares privados con servicio doméstico (019)",111,,,,,,,,,111,,
"Actividad economica no especificada (021)",819,,6,1,20,,,,,,,792
"Hombres (022)",18576,19,933,190,220,1057,10501,580,1125,3223,327,401
"Agric., ganadería, caza y silvicultura (023)",12752,,7,7,,,10444,3,23,2268,,
"Pesca (024)",136,,,,1,,57,,,78,,
"Explotación de minas y canteras (025)",16,,2,,,,,4,,10,,
"Industrias manufactureras (026)",371,,3,6,1,1,,327,22,11,,
"Suministro de electricidad, gas y agua (027)",19,,3,3,,,,4,2,7,,
"Construcción (028)",614,,15,5,,,,25,381,188,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1410,1,2,10,1,901,,200,7,288,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",219,1,,3,,38,,170,6,1,,
"Comercio al por mayor (031)",34,,1,,,33,,,,,,
"Comercio al por menor (032)",1157,,1,7,1,830,,30,1,287,,
"Hoteles y restaurantes (033)",140,,1,6,,76,,,,57,,
"Trans., almac. y comunicaciones (034)",839,,,5,2,1,,4,637,190,,
"Intermediación financiera (035)",7,,1,2,3,,,,,1,,
"Activid.inmobil., empres. y alquileres (036)",159,,43,32,14,23,,7,19,21,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",625,12,29,21,145,29,,2,29,31,327,
"Enseñanza (038)",796,6,767,1,20,,,,,2,,
"Servicios sociales y de salud (039)",119,,29,61,12,9,,1,3,4,,
"Otras activ. serv.comun.soc y personales (040)",136,,25,30,7,17,,3,2,52,,
"Hogares privados con servicio doméstico (041)",15,,,,,,,,,15,,
"Actividad economica no especificada (043)",422,,6,1,14,,,,,,,401
"Mujeres (044)",12520,3,344,68,117,1797,3936,295,37,5523,9,391
"Agric., ganadería, caza y silvicultura (045)",8544,,1,3,,,3921,1,1,4617,,
"Pesca (046)",29,,,,,,15,,,14,,
"Explotación de minas y canteras (047)",2,,1,,,,,,,1,,
"Industrias manufactureras (048)",320,,,1,1,3,,287,23,5,,
"Suministro de electricidad, gas y agua (049)",2,,,,2,,,,,,,
"Construcción (050)",11,,1,,,,,1,6,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",2161,,1,3,,1612,,5,1,539,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",23,,,,,18,,3,,2,,
"Comercio al por mayor (053)",37,,,,,37,,,,,,
"Comercio al por menor (054)",2101,,1,3,,1557,,2,1,537,,
"Hoteles y restaurantes (055)",345,,,6,1,163,,,,175,,
"Trans., almac. y comunicaciones (056)",37,,1,4,2,,,,6,24,,
"Intermediación financiera (057)",3,,,1,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",38,,8,11,10,4,,,,5,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",110,2,7,3,72,3,,1,,13,9,
"Enseñanza (060)",296,1,286,,8,,,,,1,,
"Servicios sociales y de salud (061)",88,,37,31,12,3,,,,5,,
"Otras activ. serv.comun.soc y personales (062)",41,,1,5,2,9,,,,24,,
"Hogares privados con servicio doméstico (063)",96,,,,,,,,,96,,
"Actividad economica no especificada (065)",397,,,,6,,,,,,,391
,,,,,,,,,,,,
"URBANA (066)",9017,15,983,206,254,2326,1383,519,727,1914,305,385
"Agric., ganadería, caza y silvicultura (067)",1995,,4,5,,,1378,3,4,601,,
"Pesca (068)",8,,,,1,,5,,,2,,
"Explotación de minas y canteras (069)",9,,2,,,,,3,,4,,
"Industrias manufactureras (070)",395,,3,7,2,4,,331,33,15,,
"Suministro de electricidad, gas y agua (071)",19,,3,3,2,,,3,1,7,,
"Construcción (072)",325,,12,5,,,,17,197,94,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2859,1,3,10,1,2064,,148,6,626,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",181,1,,2,,46,,124,5,3,,
"Comercio al por mayor (075)",63,,1,,,62,,,,,,
"Comercio al por menor (076)",2615,,2,8,1,1956,,24,1,623,,
"Hoteles y restaurantes (077)",409,,1,12,1,204,,,,191,,
"Trans., almac. y comunicaciones (078)",632,,1,8,3,1,,1,447,171,,
"Intermediación financiera (079)",10,,1,3,4,,,,,2,,
"Activid.inmobil., empres. y alquileres (080)",145,,38,38,21,7,,6,14,21,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",590,7,27,21,154,16,,3,20,37,305,
"Enseñanza (082)",828,7,801,1,18,,,,,1,,
"Servicios sociales y de salud (083)",166,,60,66,23,6,,1,3,7,,
"Otras activ. serv.comun.soc y personales (084)",151,,23,26,8,24,,3,2,65,,
"Hogares privados con servicio doméstico (085)",70,,,,,,,,,70,,
"Actividad economica no especificada (087)",406,,4,1,16,,,,,,,385
"Hombres (088)",5289,13,684,150,146,827,961,403,701,887,296,221
"Agric., ganadería, caza y silvicultura (089)",1225,,3,4,,,956,2,4,256,,
"Pesca (090)",8,,,,1,,5,,,2,,
"Explotación de minas y canteras (091)",7,,1,,,,,3,,3,,
"Industrias manufactureras (092)",262,,3,6,1,1,,223,18,10,,
"Suministro de electricidad, gas y agua (093)",17,,3,3,,,,3,1,7,,
"Construcción (094)",316,,11,5,,,,16,192,92,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1101,1,2,7,1,724,,143,5,218,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",159,1,,2,,29,,121,5,1,,
"Comercio al por mayor (097)",27,,1,,,26,,,,,,
"Comercio al por menor (098)",915,,1,5,1,669,,22,,217,,
"Hoteles y restaurantes (099)",119,,1,6,,63,,,,49,,
"Trans., almac. y comunicaciones (100)",599,,,4,1,1,,1,442,150,,
"Intermediación financiera (101)",7,,1,2,3,,,,,1,,
"Activid.inmobil., empres. y alquileres (102)",113,,31,29,12,5,,6,14,16,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",491,6,20,18,90,14,,2,20,25,296,
"Enseñanza (104)",574,6,557,1,10,,,,,,,
"Servicios sociales y de salud (105)",89,,25,42,11,4,,1,3,3,,
"Otras activ. serv.comun.soc y personales (106)",112,,22,22,6,15,,3,2,42,,
"Hogares privados con servicio doméstico (107)",13,,,,,,,,,13,,
"Actividad economica no especificada (109)",236,,4,1,10,,,,,,,221
"Mujeres (110)",3728,2,299,56,108,1499,422,116,26,1027,9,164
"Agric., ganadería, caza y silvicultura (111)",770,,1,1,,,422,1,,345,,
"Explotación de minas y canteras (113)",2,,1,,,,,,,1,,
"Industrias manufactureras (114)",133,,,1,1,3,,108,15,5,,
"Suministro de electricidad, gas y agua (115)",2,,,,2,,,,,,,
"Construcción (116)",9,,1,,,,,1,5,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1758,,1,3,,1340,,5,1,408,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",22,,,,,17,,3,,2,,
"Comercio al por mayor (119)",36,,,,,36,,,,,,
"Comercio al por menor (120)",1700,,1,3,,1287,,2,1,406,,
"Hoteles y restaurantes (121)",290,,,6,1,141,,,,142,,
"Trans., almac. y comunicaciones (122)",33,,1,4,2,,,,5,21,,
"Intermediación financiera (123)",3,,,1,1,,,,,1,,
"Activid.inmobil., empres. y alquileres (124)",32,,7,9,9,2,,,,5,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",99,1,7,3,64,2,,1,,12,9,
"Enseñanza (126)",254,1,244,,8,,,,,1,,
"Servicios sociales y de salud (127)",77,,35,24,12,2,,,,4,,
"Otras activ. serv.comun.soc y personales (128)",39,,1,4,2,9,,,,23,,
"Hogares privados con servicio doméstico (129)",57,,,,,,,,,57,,
"Actividad economica no especificada (131)",170,,,,6,,,,,,,164
,,,,,,,,,,,,
"RURAL (132)",22079,7,294,52,83,528,13054,356,435,6832,31,407
"Agric., ganadería, caza y silvicultura (133)",19301,,4,5,,,12987,1,20,6284,,
"Pesca (134)",157,,,,,,67,,,90,,
"Explotación de minas y canteras (135)",9,,1,,,,,1,,7,,
"Industrias manufactureras (136)",296,,,,,,,283,12,1,,
"Suministro de electricidad, gas y agua (137)",2,,,,,,,1,1,,,
"Construcción (138)",300,,4,,,,,9,190,97,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",712,,,3,,449,,57,2,201,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",61,,,1,,10,,49,1,,,
"Comercio al por mayor (141)",8,,,,,8,,,,,,
"Comercio al por menor (142)",643,,,2,,431,,8,1,201,,
"Hoteles y restaurantes (143)",76,,,,,35,,,,41,,
"Trans., almac. y comunicaciones (144)",244,,,1,1,,,3,196,43,,
"Activid.inmobil., empres. y alquileres (146)",52,,13,5,3,20,,1,5,5,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",145,7,9,3,63,16,,,9,7,31,
"Enseñanza (148)",264,,252,,10,,,,,2,,
"Servicios sociales y de salud (149)",41,,6,26,1,6,,,,2,,
"Otras activ. serv.comun.soc y personales (150)",26,,3,9,1,2,,,,11,,
"Hogares privados con servicio doméstico (151)",41,,,,,,,,,41,,
"Actividad economica no especificada (153)",413,,2,,4,,,,,,,407
"Hombres (154)",13287,6,249,40,74,230,9540,177,424,2336,31,180
"Agric., ganadería, caza y silvicultura (155)",11527,,4,3,,,9488,1,19,2012,,
"Pesca (156)",128,,,,,,52,,,76,,
"Explotación de minas y canteras (157)",9,,1,,,,,1,,7,,
"Industrias manufactureras (158)",109,,,,,,,104,4,1,,
"Suministro de electricidad, gas y agua (159)",2,,,,,,,1,1,,,
"Construcción (160)",298,,4,,,,,9,189,96,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",309,,,3,,177,,57,2,70,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",60,,,1,,9,,49,1,,,
"Comercio al por mayor (163)",7,,,,,7,,,,,,
"Comercio al por menor (164)",242,,,2,,161,,8,1,70,,
"Hoteles y restaurantes (165)",21,,,,,13,,,,8,,
"Trans., almac. y comunicaciones (166)",240,,,1,1,,,3,195,40,,
"Activid.inmobil., empres. y alquileres (168)",46,,12,3,2,18,,1,5,5,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",134,6,9,3,55,15,,,9,6,31,
"Enseñanza (170)",222,,210,,10,,,,,2,,
"Servicios sociales y de salud (171)",30,,4,19,1,5,,,,1,,
"Otras activ. serv.comun.soc y personales (172)",24,,3,8,1,2,,,,10,,
"Hogares privados con servicio doméstico (173)",2,,,,,,,,,2,,
"Actividad economica no especificada (175)",186,,2,,4,,,,,,,180
"Mujeres (176)",8792,1,45,12,9,298,3514,179,11,4496,,227
"Agric., ganadería, caza y silvicultura (177)",7774,,,2,,,3499,,1,4272,,
"Pesca (178)",29,,,,,,15,,,14,,
"Industrias manufactureras (180)",187,,,,,,,179,8,,,
