"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJAMARCA (000)",106196,72604,10772,9450,13370
"Agric., ganadería, caza y silvicultura (001)",27666,26199,1091,269,107
"Pesca (002)",16,10,3,2,1
"Explotación de minas y canteras (003)",4237,382,308,565,2982
"Industrias manufactureras (004)",6964,5414,751,420,379
"Suministro de electricidad, gas y agua (005)",266,39,20,122,85
"Construcción (006)",10157,6265,1805,1059,1028
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",14464,12245,1166,733,320
"Venta, mant.y rep. veh.autom y motoc. (008)",2380,1540,371,218,251
"Comercio al por mayor (009)",725,390,111,155,69
"Comercio al por menor (010)",11359,10315,684,360,
"Hoteles y restaurantes (011)",3940,2794,560,351,235
"Trans., almac. y comunicaciones (012)",7671,5393,655,801,822
"Intermediación financiera (013)",467,42,46,288,91
"Activid.inmobil., empres. y alquileres (014)",4347,1848,621,1011,867
"Admin.pub. y defensa; p. segur soc.afil (015)",3003,,,,3003
"Enseñanza (016)",7761,1616,2342,2499,1304
"Servicios sociales y de salud (017)",2275,683,168,189,1235
"Otras activ. serv.comun.soc y personales (018)",3382,2305,518,367,192
"Hogares privados con servicio doméstico (019)",3756,3756,,,
"Organiz. y organos extraterritoriales (020)",6,,2,2,2
"Actividad economica no especificada (021)",5818,3613,716,772,717
"Hombres (022)",74123,50325,7421,6312,10065
"Agric., ganadería, caza y silvicultura (023)",23768,22566,878,235,89
"Pesca (024)",15,9,3,2,1
"Explotación de minas y canteras (025)",3914,360,287,521,2746
"Industrias manufactureras (026)",5607,4316,607,336,348
"Suministro de electricidad, gas y agua (027)",239,34,19,113,73
"Construcción (028)",9841,6120,1745,997,979
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",7553,5987,778,498,290
"Venta, mant.y rep. veh.autom y motoc. (030)",2232,1442,345,197,248
"Comercio al por mayor (031)",430,224,69,95,42
"Comercio al por menor (032)",4891,4321,364,206,
"Hoteles y restaurantes (033)",1489,865,265,205,154
"Trans., almac. y comunicaciones (034)",7069,5017,567,702,783
"Intermediación financiera (035)",234,29,22,134,49
"Activid.inmobil., empres. y alquileres (036)",3004,1219,399,732,654
"Admin.pub. y defensa; p. segur soc.afil (037)",2155,,,,2155
"Enseñanza (038)",3293,557,999,1051,686
