"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANTABAMBA (000)",3290,3222,17,460,498,455,928,581,227,56,68,13181
"De 12 a 14 años (001)",7,3,,3,,,,,,,4,3
"De 15 a 19 años (002)",85,79,1,69,9,,,,,,6,87
"De 20 a 24 años (003)",290,269,1,125,109,30,3,1,,,21,451
"De 25 a 29 años (004)",312,300,1,77,109,67,44,2,,,12,695
"De 30 a 34 años (005)",328,323,2,45,64,99,96,16,1,,5,998
"De 35 a 39 años (006)",339,336,1,19,42,46,159,58,11,,3,1411
"De 40 a 44 años (007)",293,292,1,13,22,35,112,79,26,4,1,1424
"De 45 a 49 años (008)",288,285,,13,24,23,89,89,40,7,3,1517
"De 50 y más años (009)",1348,1335,10,96,119,155,425,336,149,45,13,6595
"Conviviente (010)",1034,1017,7,224,248,173,242,92,24,7,17,3156
"De 12 a 14 años (011)",5,1,,1,,,,,,,4,1
"De 15 a 19 años (012)",59,53,,46,7,,,,,,6,60
"De 20 a 24 años (013)",201,199,,85,90,21,2,1,,,2,342
"De 25 a 29 años (014)",193,191,,41,76,44,30,,,,2,454
"De 30 a 34 años (015)",185,184,2,23,35,62,57,4,1,,1,558
"De 35 a 39 años (016)",137,137,,10,16,22,62,24,3,,,558
"De 40 a 44 años (017)",71,71,1,3,4,9,38,11,4,1,,316
"De 45 a 49 años (018)",61,60,,1,7,5,19,16,10,2,1,323
"De 50 y más años (019)",122,121,4,14,13,10,34,36,6,4,1,544
"Separado(a) (020)",163,162,1,50,28,26,36,16,5,,1,482
"De 15 a 19 años (022)",5,5,,5,,,,,,,,5
"De 20 a 24 años (023)",19,19,,13,5,1,,,,,,26
"De 25 a 29 años (024)",21,21,,13,6,2,,,,,,31
"De 30 a 34 años (025)",18,18,,5,6,5,2,,,,,40
