"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARAVELI (000)",11831,11411,3234,1924,1826,1315,1485,772,486,369,420,29304
"De 12 a 14 años (001)",1049,1045,1039,6,,,,,,,4,6
"De 15 a 19 años (002)",1412,1386,1176,184,24,2,,,,,26,238
"De 20 a 24 años (003)",1529,1391,458,638,236,50,9,,,,138,1298
"De 25 a 29 años (004)",1398,1313,181,459,444,165,60,4,,,85,2114
"De 30 a 34 años (005)",1311,1246,116,257,389,289,174,19,2,,65,2784
"De 35 a 39 años (006)",1159,1123,57,131,292,279,267,83,12,2,36,3355
"De 40 a 44 años (007)",915,896,47,72,163,184,278,100,36,16,19,3296
"De 45 a 49 años (008)",715,706,28,49,96,126,207,116,58,26,9,3054
"De 50 y más años (009)",2343,2305,132,128,182,220,490,450,378,325,38,13159
"Conviviente (010)",4590,4488,339,1206,1087,699,670,275,125,87,102,12195
"De 12 a 14 años (011)",8,6,3,3,,,,,,,2,3
"De 15 a 19 años (012)",268,246,91,133,21,1,,,,,22,178
"De 20 a 24 años (013)",863,829,112,477,194,40,6,,,,34,1010
"De 25 a 29 años (014)",902,887,54,316,341,127,48,1,,,15,1584
"De 30 a 34 años (015)",790,777,25,146,251,210,133,11,1,,13,1926
"De 35 a 39 años (016)",647,641,20,65,154,153,180,59,9,1,6,2071
"De 40 a 44 años (017)",395,390,11,24,62,81,129,54,18,11,5,1569
"De 45 a 49 años (018)",267,267,4,18,35,45,85,48,20,12,,1209
"De 50 y más años (019)",450,445,19,24,29,42,89,102,77,63,5,2645
"Separado(a) (020)",506,496,5,104,93,76,101,51,45,21,10,1913
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",11,9,1,7,1,,,,,,2,9
"De 20 a 24 años (023)",41,40,,28,8,2,2,,,,1,58
