"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ALTO AMAZONAS (000)",33813,5519,5703,15010,819,4541,1011,1210
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,45,,,4,,,
"Profes., científicos e intelectuales (002)",2333,2078,,212,28,15,,
"Técnicos de nivel medio y trab. asimilados (003)",926,642,,227,48,9,,
"Jefes y empleados de oficina (004)",842,832,,5,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3307,805,55,1946,136,365,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",9802,5,,9387,409,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1330,,490,734,67,39,,
"Obreros construc.,conf.,papel, fab., instr. (008)",2299,245,828,1118,71,37,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",10586,512,4066,1013,27,3957,1011,
"Otra (010)",72,72,,,,,,
"Ocupación no especificada (011)",1057,283,264,368,29,113,,
"Desocupado (012)",1210,,,,,,,1210
"Hombres (013)",24106,3243,4921,11975,641,2352,58,916
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",36,32,,,4,,,
"Profes., científicos e intelectuales (015)",1387,1219,,133,25,10,,
"Técnicos de nivel medio y trab. asimilados (016)",630,421,,169,33,7,,
"Jefes y empleados de oficina (017)",394,390,,2,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1415,430,14,827,64,80,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",8983,5,,8601,376,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1102,,462,564,56,20,,
"Obreros construc.,conf.,papel, fab., instr. (021)",2249,242,815,1088,67,37,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",6294,283,3432,368,7,2146,58,
"Otra (023)",70,70,,,,,,
"Ocupación no especificada (024)",630,151,198,223,9,49,,
"Desocupado (025)",916,,,,,,,916
"Mujeres (026)",9707,2276,782,3035,178,2189,953,294
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",13,13,,,,,,
"Profes., científicos e intelectuales (028)",946,859,,79,3,5,,
"Técnicos de nivel medio y trab. asimilados (029)",296,221,,58,15,2,,
"Jefes y empleados de oficina (030)",448,442,,3,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1892,375,41,1119,72,285,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",819,,,786,33,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",228,,28,170,11,19,,
"Obreros construc.,conf.,papel, fab., instr. (034)",50,3,13,30,4,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",4292,229,634,645,20,1811,953,
"Otra (036)",2,2,,,,,,
"Ocupación no especificada (037)",427,132,66,145,20,64,,
"Desocupado (038)",294,,,,,,,294
,,,,,,,,
"URBANA (039)",22251,5144,3398,9033,674,2170,939,893
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",40,37,,,3,,,
"Profes., científicos e intelectuales (041)",2048,1803,,205,28,12,,
"Técnicos de nivel medio y trab. asimilados (042)",877,603,,221,46,7,,
"Jefes y empleados de oficina (043)",828,818,,5,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",3216,794,51,1890,130,351,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",3924,3,,3643,278,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1258,,442,716,64,36,,
"Obreros construc.,conf.,papel, fab., instr. (047)",2235,241,795,1092,71,36,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",5965,501,1877,991,25,1632,939,
"Otra (049)",72,72,,,,,,
"Ocupación no especificada (050)",895,272,233,270,29,91,,
"Desocupado (051)",893,,,,,,,893
"Hombres (052)",14368,2978,2950,6353,504,902,50,631
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",29,26,,,3,,,
"Profes., científicos e intelectuales (054)",1176,1016,,128,25,7,,
"Técnicos de nivel medio y trab. asimilados (055)",600,397,,165,32,6,,
"Jefes y empleados de oficina (056)",383,379,,2,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",1368,421,14,798,60,75,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",3377,3,,3125,249,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",1036,,415,548,53,20,,
"Obreros construc.,conf.,papel, fab., instr. (060)",2187,238,783,1063,67,36,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",2951,277,1552,358,6,708,50,
"Otra (062)",70,70,,,,,,
"Ocupación no especificada (063)",560,151,186,166,9,48,,
"Desocupado (064)",631,,,,,,,631
"Mujeres (065)",7883,2166,448,2680,170,1268,889,262
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",11,11,,,,,,
"Profes., científicos e intelectuales (067)",872,787,,77,3,5,,
"Técnicos de nivel medio y trab. asimilados (068)",277,206,,56,14,1,,
"Jefes y empleados de oficina (069)",445,439,,3,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",1848,373,37,1092,70,276,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",547,,,518,29,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",222,,27,168,11,16,,
"Obreros construc.,conf.,papel, fab., instr. (073)",48,3,12,29,4,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",3014,224,325,633,19,924,889,
"Otra (075)",2,2,,,,,,
"Ocupación no especificada (076)",335,121,47,104,20,43,,
"Desocupado (077)",262,,,,,,,262
,,,,,,,,
"RURAL (078)",11562,375,2305,5977,145,2371,72,317
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",9,8,,,1,,,
"Profes., científicos e intelectuales (080)",285,275,,7,,3,,
"Técnicos de nivel medio y trab. asimilados (081)",49,39,,6,2,2,,
"Jefes y empleados de oficina (082)",14,14,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",91,11,4,56,6,14,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",5878,2,,5744,131,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",72,,48,18,3,3,,
"Obreros construc.,conf.,papel, fab., instr. (086)",64,4,33,26,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",4621,11,2189,22,2,2325,72,
"Ocupación no especificada (089)",162,11,31,98,,22,,
"Desocupado (090)",317,,,,,,,317
"Hombres (091)",9738,265,1971,5622,137,1450,8,285
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",7,6,,,1,,,
"Profes., científicos e intelectuales (093)",211,203,,5,,3,,
"Técnicos de nivel medio y trab. asimilados (094)",30,24,,4,1,1,,
"Jefes y empleados de oficina (095)",11,11,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",47,9,,29,4,5,,
