"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LUCANAS (000)",23947,77575,67743,,1009,87.3,1.3
"De 12 a 14 años (001)",2227,13,13,,1,100,7.7
"De 15 a 19 años (002)",2785,482,466,126,96.7,26.1,
"De 20 a 24 años (003)",2353,2028,1977,243,97.5,12,
"De 25 a 29 años (004)",2162,3590,3434,230,95.7,6.4,
"De 30 a 34 años (005)",1993,4949,4739,185,95.8,3.7,
"De 35 a 39 años (006)",1910,6470,6134,147,94.8,2.3,
"De 40 a 44 años (007)",1778,7686,7104,64,92.4,0.8,
"De 45 a 49 años (008)",1475,7446,6767,13,90.9,0.2,
"De 50 y más años (009)",7264,44911,37109,,82.6,,
"Conviviente (010)",5617,16626,15413,602,92.7,3.6,
"De 12 a 14 años (011)",39,6,6,,100,,
"De 15 a 19 años (012)",427,315,305,86,96.8,27.3,
"De 20 a 24 años (013)",1025,1350,1318,179,97.6,13.3,
"De 25 a 29 años (014)",1096,2208,2116,146,95.8,6.6,
"De 30 a 34 años (015)",861,2380,2293,95,96.3,4,
"De 35 a 39 años (016)",656,2283,2185,66,95.7,2.9,
"De 40 a 44 años (017)",473,2186,2013,29,92.1,1.3,
"De 45 a 49 años (018)",340,1719,1584,1,92.1,0.1,
"De 50 y más años (019)",700,4179,3593,,86,,
"Separado(a) (020)",867,2859,2559,44,89.5,1.5,
"De 12 a 14 años (021)",1,,,,,,
"De 15 a 19 años (022)",21,21,21,6,100,28.6,
"De 20 a 24 años (023)",92,110,107,12,97.3,10.9,
"De 25 a 29 años (024)",102,176,171,6,97.2,3.4,
"De 30 a 34 años (025)",112,273,261,10,95.6,3.7,
"De 35 a 39 años (026)",109,315,307,5,97.5,1.6,
"De 40 a 44 años (027)",92,340,305,3,89.7,0.9,
"De 45 a 49 años (028)",67,259,244,2,94.2,0.8,
"De 50 y más años (029)",271,1365,1143,,83.7,,
"Casado(a) (030)",7766,41149,36172,261,87.9,0.6,
"De 12 a 14 años (031)",2,1,1,,100,,
"De 15 a 19 años (032)",22,25,21,1,84,4,
"De 20 a 24 años (033)",181,290,284,19,97.9,6.6,
"De 25 a 29 años (034)",379,910,869,64,95.5,7,
"De 30 a 34 años (035)",628,1909,1817,68,95.2,3.6,
"De 35 a 39 años (036)",879,3474,3278,68,94.4,2,
