"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CUTERVO (000)",38736,34464,1733,628,1911
"Agric., ganadería, caza y silvicultura (001)",28681,27781,845,48,7
"Pesca (002)",1,1,,,
"Explotación de minas y canteras (003)",44,43,1,,
"Industrias manufactureras (004)",662,627,25,8,2
"Suministro de electricidad, gas y agua (005)",39,3,,31,5
"Construcción (006)",591,409,99,76,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1563,1513,32,11,7
"Venta, mant.y rep. veh.autom y motoc. (008)",92,78,10,,4
"Comercio al por mayor (009)",82,77,1,1,3
"Comercio al por menor (010)",1389,1358,21,10,
"Hoteles y restaurantes (011)",390,378,11,1,
"Trans., almac. y comunicaciones (012)",698,639,32,16,11
"Intermediación financiera (013)",7,1,1,3,2
"Activid.inmobil., empres. y alquileres (014)",148,66,25,32,25
"Admin.pub. y defensa; p. segur soc.afil (015)",475,,,,475
"Enseñanza (016)",2611,752,552,346,961
"Servicios sociales y de salud (017)",503,85,14,17,387
"Otras activ. serv.comun.soc y personales (018)",364,301,41,14,8
"Hogares privados con servicio doméstico (019)",1110,1110,,,
"Actividad economica no especificada (021)",849,755,55,25,14
"Hombres (022)",31299,28400,1355,441,1103
"Agric., ganadería, caza y silvicultura (023)",25843,25066,735,35,7
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",29,28,1,,
"Industrias manufactureras (026)",479,446,23,8,2
"Suministro de electricidad, gas y agua (027)",37,3,,31,3
"Construcción (028)",580,402,97,74,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",892,859,23,4,6
"Venta, mant.y rep. veh.autom y motoc. (030)",82,69,9,,4
"Comercio al por mayor (031)",60,56,1,1,2
"Comercio al por menor (032)",750,734,13,3,
"Hoteles y restaurantes (033)",86,83,3,,
"Trans., almac. y comunicaciones (034)",672,616,31,14,11
"Intermediación financiera (035)",6,1,1,2,2
"Activid.inmobil., empres. y alquileres (036)",121,52,21,26,22
"Admin.pub. y defensa; p. segur soc.afil (037)",357,,,,357
"Enseñanza (038)",1475,389,355,213,518
"Servicios sociales y de salud (039)",230,57,8,9,156
"Otras activ. serv.comun.soc y personales (040)",144,100,26,11,7
"Hogares privados con servicio doméstico (041)",32,32,,,
"Actividad economica no especificada (043)",315,265,31,14,5
