"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia GRAN CHIMU (000)",7463,71,225,508,845,1467,2715,1632
"De 12 a 14 años (001)",14,,,,,,2,12
"De 15 a 19 años (002)",270,,,,,,184,86
"De 20 a 24 años (003)",774,,,,,3,501,270
"De 25 a 29 años (004)",853,,,,,59,591,203
"De 30 a 34 años (005)",880,,,,1,142,569,168
"De 35 a 39 años (006)",835,,,,10,240,442,143
"De 40 a 44 años (007)",761,,,,58,285,293,125
"De 45 a 49 años (008)",688,,,3,109,344,112,120
"De 50 y más años (009)",2388,71,225,505,667,394,21,505
"Conviviente (010)",4085,10,49,148,383,875,1882,738
"De 12 a 14 años (011)",7,,,,,,1,6
"De 15 a 19 años (012)",193,,,,,,129,64
"De 20 a 24 años (013)",528,,,,,2,374,152
"De 25 a 29 años (014)",575,,,,,42,431,102
"De 30 a 34 años (015)",550,,,,1,94,383,72
"De 35 a 39 años (016)",521,,,,5,157,296,63
"De 40 a 44 años (017)",437,,,,29,163,189,56
"De 45 a 49 años (018)",361,,,1,49,192,66,53
"De 50 y más años (019)",913,10,49,147,299,225,13,170
"Separado(a) (020)",458,,10,31,52,102,162,101
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",37,,,,,,27,10
"De 20 a 24 años (023)",53,,,,,,41,12
"De 25 a 29 años (024)",49,,,,,4,32,13
"De 30 a 34 años (025)",41,,,,,9,25,7
"De 35 a 39 años (026)",53,,,,1,19,22,11
"De 40 a 44 años (027)",49,,,,4,26,9,10
"De 45 a 49 años (028)",40,,,1,4,21,5,9
"De 50 y más años (029)",134,,10,30,43,23,1,27
"Casado(a) (030)",1748,12,54,148,273,397,548,316
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",16,,,,,,13,3
"De 20 a 24 años (033)",69,,,,,,52,17
"De 25 a 29 años (034)",130,,,,,7,103,20
"De 30 a 34 años (035)",199,,,,,21,140,38
"De 35 a 39 años (036)",207,,,,3,57,109,38
"De 40 a 44 años (037)",219,,,,17,85,86,31
"De 45 a 49 años (038)",226,,,,43,111,39,33
"De 50 y más años (039)",680,12,54,148,210,116,6,134
"Viudo(a) (040)",676,47,109,172,118,56,23,151
"De 15 a 19 años (042)",2,,,,,,,2
"De 20 a 24 años (043)",4,,,,,,3,1
"De 25 a 29 años (044)",5,,,,,1,1,3
"De 30 a 34 años (045)",13,,,,,5,5,3
"De 35 a 39 años (046)",10,,,,,4,5,1
"De 40 a 44 años (047)",19,,,,3,6,6,4
"De 45 a 49 años (048)",28,,,,6,14,2,6
"De 50 y más años (049)",595,47,109,172,109,26,1,131
