"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAÑETE (000)",198348,166965,31383
"Casa independiente (001)",184110,155091,29019
"Departamento en edificio (002)",1352,1352,
"Vivienda en quinta (003)",1677,1677,
"Vivienda en casa de vecindad (004)",1076,1076,
"Choza o cabaña (005)",2121,,2121
"Vivienda improvisada (006)",7262,7262,
"Local no dest.para hab. humana (007)",340,273,67
"Otro tipo (008)",410,234,176
