"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ESPINAR (000)",58916,3138,8122,8384,6188,9430,7695,11929,4030
"Sin nivel (001)",9409,3138,862,28,37,138,320,2419,2467
"Educación inicial (002)",1720,,1664,17,7,15,17,,
"Primaria (003)",25712,,5596,5511,839,2439,3388,6518,1421
"Secundaria (004)",16465,,,2828,4866,4259,2529,1891,92
"Superior no univ. incompleto (005)",1621,,,,306,850,299,163,3
"Superior no univ. completo (006)",1780,,,,,844,544,376,16
"Superior univ. incompleto (007)",821,,,,133,417,141,123,7
"Superior univ. completo (008)",1388,,,,,468,457,439,24
"Hombres (010)",29504,1563,4175,4313,3169,4539,3765,6122,1858
"Sin nivel (011)",3095,1563,449,15,17,36,79,358,578
"Educación inicial (012)",889,,875,8,2,1,3,,
"Primaria (013)",12066,,2851,2748,276,531,1105,3386,1169
"Secundaria (014)",9875,,,1542,2655,2427,1657,1523,71
"Superior no univ. incompleto (015)",1026,,,,158,525,205,135,3
"Superior no univ. completo (016)",1139,,,,,512,339,278,10
"Superior univ. incompleto (017)",513,,,,61,241,101,104,6
"Superior univ. completo (018)",901,,,,,266,276,338,21
"Mujeres (020)",29412,1575,3947,4071,3019,4891,3930,5807,2172
"Sin nivel (021)",6314,1575,413,13,20,102,241,2061,1889
"Educación inicial (022)",831,,789,9,5,14,14,,
"Primaria (023)",13646,,2745,2763,563,1908,2283,3132,252
"Secundaria (024)",6590,,,1286,2211,1832,872,368,21
"Superior no univ. incompleto (025)",595,,,,148,325,94,28,
"Superior no univ. completo (026)",641,,,,,332,205,98,6
"Superior univ. incompleto (027)",308,,,,72,176,40,19,1
"Superior univ. completo (028)",487,,,,,202,181,101,3
,,,,,,,,,
"URBANA (030)",26611,1385,3718,3753,3013,5061,4036,4660,985
"Sin nivel (031)",2867,1385,274,9,13,38,84,503,561
"Educación inicial (032)",772,,751,9,2,5,5,,
"Primaria (033)",9243,,2693,2145,174,675,1199,2025,332
"Secundaria (034)",9004,,,1590,2474,2226,1498,1165,51
"Superior no univ. incompleto (035)",1229,,,,234,628,236,128,3
