"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CASTROVIRREYNA (000)",6492,101,1756,2216,1738,681
"Agric., ganadería, caza y silvicultura (001)",3333,90,660,919,1060,604
"Pesca (002)",5,,5,,,
"Explotación de minas y canteras (003)",856,1,358,343,154,
"Industrias manufactureras (004)",147,1,62,50,31,3
"Suministro de electricidad, gas y agua (005)",12,,6,6,,
"Construcción (006)",342,1,132,126,75,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",363,4,99,123,108,29
"Venta, mant.y rep. veh.autom.y motoc. (008)",38,,13,13,9,3
"Comercio al por mayor (009)",13,,4,3,6,
"Comercio al por menor (010)",312,4,82,107,93,26
"Hoteles y restaurantes (011)",127,,61,40,21,5
"Trans., almac. y comunicaciones (012)",132,,54,46,31,1
"Intermediación financiera (013)",3,,3,,,
"Activid.inmobil., empres. y alquileres (014)",85,,33,34,18,
"Admin.pub. y defensa; p. segur.soc.afil (015)",326,,110,151,56,9
"Enseñanza (016)",492,,79,285,125,3
"Servicios sociales y de salud (017)",87,,22,43,21,1
"Otras activ. serv.comun.soc y personales (018)",19,1,10,4,3,1
"Hogares privados con servicio doméstico (019)",50,2,26,10,11,1
"Actividad economica no especificada (021)",113,1,36,36,24,16
"Hombres (022)",4531,55,1278,1559,1188,451
"Agric., ganadería, caza y silvicultura (023)",2201,50,447,626,680,398
"Pesca (024)",4,,4,,,
"Explotación de minas y canteras (025)",839,,347,338,154,
"Industrias manufactureras (026)",132,,53,47,29,3
"Suministro de electricidad, gas y agua (027)",11,,5,6,,
"Construcción (028)",327,1,128,122,70,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",169,,46,51,54,18
"Venta, mant.y rep. veh.autom.y motoc. (030)",38,,13,13,9,3
"Comercio al por mayor (031)",7,,3,1,3,
"Comercio al por menor (032)",124,,30,37,42,15
"Hoteles y restaurantes (033)",39,,22,14,,3
"Trans., almac. y comunicaciones (034)",128,,51,46,30,1
"Intermediación financiera (035)",1,,1,,,
"Activid.inmobil., empres. y alquileres (036)",72,,26,30,16,
"Admin.pub. y defensa; p. segur.soc.afil (037)",240,,76,110,46,8
"Enseñanza (038)",244,,33,130,78,3
"Servicios sociales y de salud (039)",39,,6,17,15,1
"Otras activ. serv.comun.soc y personales (040)",11,1,6,3,1,
"Hogares privados con servicio doméstico (041)",9,2,5,2,,
