"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUAMALIES (000)",18165,77,1050,203,198,908,6504,359,352,8039,34,441
"Agric., ganadería, caza y silvicultura (001)",13520,,3,3,,,6504,,2,7008,,
"Explotación de minas y canteras (003)",31,,,1,,,,16,1,13,,
"Industrias manufactureras (004)",288,,,5,2,4,,277,,,,
"Suministro de electricidad, gas y agua (005)",12,,1,1,1,,,2,6,1,,
"Construcción (006)",407,,6,8,1,,,21,200,171,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",955,,4,19,2,737,,34,8,151,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",32,,,,,12,,18,2,,,
"Comercio al por mayor (009)",51,,,4,,42,,,3,2,,
"Comercio al por menor (010)",872,,4,15,2,683,,16,3,149,,
"Hoteles y restaurantes (011)",330,,1,17,2,145,,,,165,,
"Trans., almac. y comunicaciones (012)",163,,,7,5,,,2,124,25,,
"Intermediación financiera (013)",5,,1,,4,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",67,,17,16,15,4,,3,1,11,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",292,51,14,17,122,3,,3,9,39,34,
"Enseñanza (016)",991,26,927,1,25,,,,,12,,
"Servicios sociales y de salud (017)",168,,68,83,7,6,,1,1,2,,
