"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHUPACA (000)",20652,52101,47143,,732,90.5,1.4
"De 12 a 14 años (001)",1860,5,4,,,80,
"De 15 a 19 años (002)",2527,274,269,76,98.2,27.7,
"De 20 a 24 años (003)",2254,1394,1353,182,97.1,13.1,
"De 25 a 29 años (004)",1843,2628,2549,158,97,6,
"De 30 a 34 años (005)",1756,3700,3554,155,96.1,4.2,
"De 35 a 39 años (006)",1776,5112,4874,111,95.3,2.2,
"De 40 a 44 años (007)",1606,5648,5313,42,94.1,0.7,
"De 45 a 49 años (008)",1352,5532,5161,8,93.3,0.1,
"De 50 y más años (009)",5678,27808,24066,,86.5,,
"Conviviente (010)",3848,9039,8609,405,95.2,4.5,
"De 12 a 14 años (011)",15,4,3,,75,,
"De 15 a 19 años (012)",228,169,165,45,97.6,26.6,
"De 20 a 24 años (013)",735,827,805,118,97.3,14.3,
"De 25 a 29 años (014)",821,1448,1404,101,97,7,
"De 30 a 34 años (015)",657,1525,1482,79,97.2,5.2,
"De 35 a 39 años (016)",525,1556,1490,46,95.8,3,
"De 40 a 44 años (017)",362,1339,1261,15,94.2,1.1,
"De 45 a 49 años (018)",200,844,801,1,94.9,0.1,
"De 50 y más años (019)",305,1327,1198,,90.3,,
"Separado(a) (020)",1026,2942,2712,33,92.2,1.1,
"De 15 a 19 años (022)",19,18,18,4,100,22.2,
"De 20 a 24 años (023)",75,93,90,9,96.8,9.7,
"De 25 a 29 años (024)",93,139,139,6,100,4.3,
"De 30 a 34 años (025)",107,230,213,9,92.6,3.9,
"De 35 a 39 años (026)",134,355,340,5,95.8,1.4,
"De 40 a 44 años (027)",124,376,354,,94.1,,
"De 45 a 49 años (028)",99,335,309,,92.2,,
"De 50 y más años (029)",375,1396,1249,,89.5,,
"Casado(a) (030)",6652,29402,26614,206,90.5,0.7,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",27,19,19,6,100,31.6,
"De 20 a 24 años (033)",169,247,239,22,96.8,8.9,
"De 25 a 29 años (034)",369,761,731,39,96.1,5.1,
"De 30 a 34 años (035)",627,1623,1543,55,95.1,3.4,
"De 35 a 39 años (036)",815,2786,2649,51,95.1,1.8,
"De 40 a 44 años (037)",864,3480,3266,26,93.9,0.7,
