"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TRUJILLO (000)",314322,111051,60946,114433,6891,8182,12819
"Sin nivel (001)",8733,999,1896,4491,119,364,864
"Educación inicial (002)",319,60,93,96,11,10,49
"Primaria (003)",53230,6500,15565,23972,902,1829,4462
"Secundaria (004)",107731,25223,29470,42696,1947,3269,5126
"Superior no univ. incompleta (005)",23385,8766,4180,8471,446,646,876
"Superior no univ. completa (006)",39950,19823,4656,13033,899,829,710
"Superior univ. incompleta (007)",21923,10717,2504,7070,719,521,392
"Superior univ. completa (008)",59051,38963,2582,14604,1848,714,340
"Hombres (010)",195870,60556,51898,74912,4830,3178,496
"Sin nivel (011)",3588,396,1326,1708,59,80,19
"Educación inicial (012)",187,34,78,63,6,2,4
"Primaria (013)",33700,3842,13216,15172,631,713,126
"Secundaria (014)",74545,15935,25483,29999,1426,1465,237
"Superior no univ. incompleta (015)",14582,4946,3486,5570,311,230,39
"Superior no univ. completa (016)",21595,9173,3904,7713,553,221,31
"Superior univ. incompleta (017)",14328,6299,2193,5029,534,248,25
"Superior univ. completa (018)",33345,19931,2212,9658,1310,219,15
"Mujeres (020)",118452,50495,9048,39521,2061,5004,12323
"Sin nivel (021)",5145,603,570,2783,60,284,845
"Educación inicial (022)",132,26,15,33,5,8,45
"Primaria (023)",19530,2658,2349,8800,271,1116,4336
"Secundaria (024)",33186,9288,3987,12697,521,1804,4889
"Superior no univ. incompleta (025)",8803,3820,694,2901,135,416,837
"Superior no univ. completa (026)",18355,10650,752,5320,346,608,679
"Superior univ. incompleta (027)",7595,4418,311,2041,185,273,367
"Superior univ. completa (028)",25706,19032,370,4946,538,495,325
,,,,,,,
"URBANA (030)",307233,110311,58818,111151,6825,7561,12567
"Sin nivel (031)",8206,981,1763,4208,110,308,836
"Educación inicial (032)",315,60,91,95,11,10,48
"Primaria (033)",50313,6382,14624,22477,884,1581,4365
"Secundaria (034)",105095,24950,28640,41538,1924,3016,5027
"Superior no univ. incompleta (035)",23140,8719,4117,8374,445,623,862
"Superior no univ. completa (036)",39578,19692,4565,12913,897,809,702
"Superior univ. incompleta (037)",21802,10676,2480,7037,715,506,388
"Superior univ. completa (038)",58784,38851,2538,14509,1839,708,339
"Hombres (040)",190293,60117,49998,72204,4778,2712,484
"Sin nivel (041)",3241,381,1227,1515,51,49,18
"Educación inicial (042)",184,34,76,62,6,2,4
"Primaria (043)",31302,3758,12375,13905,617,526,121
"Secundaria (044)",72398,15756,24722,29013,1409,1265,233
"Superior no univ. incompleta (045)",14412,4921,3432,5496,310,214,39
"Superior no univ. completa (046)",21359,9122,3821,7629,551,206,30
"Superior univ. incompleta (047)",14233,6270,2172,5001,531,235,24
"Superior univ. completa (048)",33164,19875,2173,9583,1303,215,15
"Mujeres (050)",116940,50194,8820,38947,2047,4849,12083
"Sin nivel (051)",4965,600,536,2693,59,259,818
"Educación inicial (052)",131,26,15,33,5,8,44
"Primaria (053)",19011,2624,2249,8572,267,1055,4244
"Secundaria (054)",32697,9194,3918,12525,515,1751,4794
"Superior no univ. incompleta (055)",8728,3798,685,2878,135,409,823
"Superior no univ. completa (056)",18219,10570,744,5284,346,603,672
"Superior univ. incompleta (057)",7569,4406,308,2036,184,271,364
"Superior univ. completa (058)",25620,18976,365,4926,536,493,324
,,,,,,,
"RURAL (060)",7089,740,2128,3282,66,621,252
"Sin nivel (061)",527,18,133,283,9,56,28
"Educación inicial (062)",4,,2,1,,,1
"Primaria (063)",2917,118,941,1495,18,248,97
"Secundaria (064)",2636,273,830,1158,23,253,99
"Superior no univ. incompleta (065)",245,47,63,97,1,23,14
"Superior no univ. completa (066)",372,131,91,120,2,20,8
"Superior univ. incompleta (067)",121,41,24,33,4,15,4
"Superior univ. completa (068)",267,112,44,95,9,6,1
"Hombres (070)",5577,439,1900,2708,52,466,12
"Sin nivel (071)",347,15,99,193,8,31,1
"Educación inicial (072)",3,,2,1,,,
"Primaria (073)",2398,84,841,1267,14,187,5
"Secundaria (074)",2147,179,761,986,17,200,4
"Superior no univ. incompleta (075)",170,25,54,74,1,16,
"Superior no univ. completa (076)",236,51,83,84,2,15,1
"Superior univ. incompleta (077)",95,29,21,28,3,13,1
"Superior univ. completa (078)",181,56,39,75,7,4,
"Mujeres (080)",1512,301,228,574,14,155,240
"Sin nivel (081)",180,3,34,90,1,25,27
"Educación inicial (082)",1,,,,,,1
"Primaria (083)",519,34,100,228,4,61,92
"Secundaria (084)",489,94,69,172,6,53,95
"Superior no univ. incompleta (085)",75,22,9,23,,7,14
"Superior no univ. completa (086)",136,80,8,36,,5,7
"Superior univ. incompleta (087)",26,12,3,5,1,2,3
"Superior univ. completa (088)",86,56,5,20,2,2,1
