"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia RIOJA (000)",36917,1809,55,18080,11953,956,1641,592,1831
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",43,,,5,6,4,11,2,15
"Profes., científicos e intelectuales (002)",1942,,,,43,109,516,190,1084
"Técnicos de nivel medio ytrab.asimilados (003)",725,1,,69,177,112,235,33,98
"Jefes y empleados de oficina (004)",669,,,14,218,72,176,45,144
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",4360,136,2,1659,1904,170,235,87,167
"Agricult.trabaj. calif.agrop. y pesquros (006)",12896,806,13,8418,3358,111,73,43,74
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1855,30,4,595,871,80,133,52,90
"Obreros. construc., conf., papel, fab., instr (008)",2408,22,3,798,1307,97,83,45,53
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",10825,722,32,6023,3637,160,119,74,58
"Otra (010)",40,,,,13,5,12,1,9
"Ocupación no especificada (011)",1154,92,1,499,419,36,48,20,39
"Hombres (012)",27713,1088,35,14166,9356,638,937,401,1092
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",34,,,5,5,3,8,2,11
"Profes., científicos e intelectuales (014)",1030,,,,17,51,266,114,582
"Técnicos de nivel medio ytrab.asimilados (015)",464,,,39,127,78,128,23,69
"Jefes y empleados de oficina (016)",336,,,10,136,38,58,23,71
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1804,18,,578,890,85,96,50,87
"Agricult.trabaj. calif.agrop. y pesquros (018)",12229,685,11,8024,3222,107,70,39,71
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1563,21,4,487,738,66,119,44,84
"Obreros. construc., conf., papel, fab., instr (020)",2361,20,2,775,1292,95,81,44,52
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",7295,328,18,4031,2667,95,73,52,31
"Otra (022)",40,,,,13,5,12,1,9
"Ocupación no especificada (023)",557,16,,217,249,15,26,9,25
"Mujeres (024)",9204,721,20,3914,2597,318,704,191,739
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",9,,,,1,1,3,,4
"Profes., científicos e intelectuales (026)",912,,,,26,58,250,76,502
"Técnicos de nivel medio ytrab.asimilados (027)",261,1,,30,50,34,107,10,29
"Jefes y empleados de oficina (028)",333,,,4,82,34,118,22,73
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",2556,118,2,1081,1014,85,139,37,80
"Agricult.trabaj. calif.agrop. y pesquros (030)",667,121,2,394,136,4,3,4,3
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",292,9,,108,133,14,14,8,6
"Obreros. construc., conf., papel, fab., instr (032)",47,2,1,23,15,2,2,1,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",3530,394,14,1992,970,65,46,22,27
"Ocupación no especificada (035)",597,76,1,282,170,21,22,11,14
,,,,,,,,,
"URBANA (036)",27769,1121,44,11938,9837,891,1571,571,1796
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",40,,,5,5,4,10,1,15
