"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CAJAMARCA (000)",111578,287,12965,5491,4439,11696,17679,10318,12345,25540,561,3903,6354
"Agric., ganadería, caza y silvicultura (001)",27213,,118,108,10,,17674,73,36,9194,,,
"Pesca (002)",15,,2,,1,,5,,,7,,,
"Explotación de minas y canteras (003)",4236,5,442,501,214,9,,1729,763,573,,,
"Industrias manufactureras (004)",6892,4,102,242,67,35,,5739,617,86,,,
"Suministro de electricidad, gas y agua (005)",266,3,31,40,27,,,71,42,52,,,
"Construcción (006)",10116,7,693,315,70,,,569,4489,3973,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",14290,20,191,821,168,8452,,1975,162,2501,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",2361,4,48,165,24,273,,1664,123,60,,,
"Comercio al por mayor (009)",724,9,33,160,51,410,,1,18,42,,,
"Comercio al por menor (010)",11205,7,110,496,93,7769,,310,21,2399,,,
"Hoteles y restaurantes (011)",3875,8,51,247,236,2159,,5,10,1159,,,
"Trans., almac. y comunicaciones (012)",7634,10,113,246,422,66,,43,5672,1062,,,
"Intermediación financiera (013)",467,6,72,135,242,,,,2,10,,,
"Activid.inmobil., empres. y alquileres (014)",4340,13,1740,856,600,490,,57,173,411,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",3003,83,451,259,956,102,,11,84,496,561,,
"Enseñanza (016)",7760,104,7252,65,248,,,3,7,81,,,
"Servicios sociales y de salud (017)",2275,1,1191,720,113,71,,9,15,155,,,
"Otras activ. serv.comun.soc y personales (018)",3345,4,222,461,212,312,,33,31,2070,,,
"Hogares privados con servicio doméstico (019)",3690,,,4,,,,,3,3683,,,
"Organiz. y organos extraterritoriales (020)",6,,,1,5,,,,,,,,
"Actividad economica no especificada (021)",5801,19,294,470,848,,,1,239,27,,3903,
"Desocupado (022)",6354,,,,,,,,,,,,6354
"Hombres (023)",78277,201,6881,3649,2050,5080,16321,9067,12029,15817,513,1887,4782
"Agric., ganadería, caza y silvicultura (024)",23480,,102,92,7,,16316,31,35,6897,,,
"Pesca (025)",14,,1,,1,,5,,,7,,,
"Explotación de minas y canteras (026)",3913,4,369,457,168,5,,1635,743,532,,,
"Industrias manufactureras (027)",5544,4,79,174,33,17,,4687,484,66,,,
"Suministro de electricidad, gas y agua (028)",239,3,26,36,16,,,70,40,48,,,
"Construcción (029)",9803,5,601,276,48,,,562,4423,3888,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",7429,11,107,513,56,3543,,1931,155,1113,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",2216,3,41,146,9,216,,1630,120,51,,,
"Comercio al por mayor (032)",429,7,15,95,16,238,,1,16,41,,,
"Comercio al por menor (033)",4784,1,51,272,31,3089,,300,19,1021,,,
"Hoteles y restaurantes (034)",1459,4,29,137,106,754,,5,10,414,,,
"Trans., almac. y comunicaciones (035)",7033,10,76,151,253,37,,43,5601,862,,,
"Intermediación financiera (036)",234,6,44,56,120,,,,2,6,,,
"Activid.inmobil., empres. y alquileres (037)",3000,8,1239,630,217,473,,51,163,219,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",2155,67,308,165,508,95,,11,82,406,513,,
"Enseñanza (039)",3292,59,3057,33,80,,,2,6,55,,,
"Servicios sociales y de salud (040)",867,1,491,259,41,27,,7,14,27,,,
"Otras activ. serv.comun.soc y personales (041)",1941,4,163,341,89,129,,32,29,1154,,,
"Hogares privados con servicio doméstico (042)",109,,,1,,,,,3,105,,,
"Organiz. y organos extraterritoriales (043)",4,,,1,3,,,,,,,,
"Actividad economica no especificada (044)",2979,15,189,327,304,,,,239,18,,1887,
"Desocupado (045)",4782,,,,,,,,,,,,4782
"Mujeres (046)",33301,86,6084,1842,2389,6616,1358,1251,316,9723,48,2016,1572
"Agric., ganadería, caza y silvicultura (047)",3733,,16,16,3,,1358,42,1,2297,,,
"Pesca (048)",1,,1,,,,,,,,,,
"Explotación de minas y canteras (049)",323,1,73,44,46,4,,94,20,41,,,
"Industrias manufactureras (050)",1348,,23,68,34,18,,1052,133,20,,,
"Suministro de electricidad, gas y agua (051)",27,,5,4,11,,,1,2,4,,,
"Construcción (052)",313,2,92,39,22,,,7,66,85,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",6861,9,84,308,112,4909,,44,7,1388,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",145,1,7,19,15,57,,34,3,9,,,
"Comercio al por mayor (055)",295,2,18,65,35,172,,,2,1,,,
"Comercio al por menor (056)",6421,6,59,224,62,4680,,10,2,1378,,,
"Hoteles y restaurantes (057)",2416,4,22,110,130,1405,,,,745,,,
"Trans., almac. y comunicaciones (058)",601,,37,95,169,29,,,71,200,,,
"Intermediación financiera (059)",233,,28,79,122,,,,,4,,,
"Activid.inmobil., empres. y alquileres (060)",1340,5,501,226,383,17,,6,10,192,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",848,16,143,94,448,7,,,2,90,48,,
"Enseñanza (062)",4468,45,4195,32,168,,,1,1,26,,,
"Servicios sociales y de salud (063)",1408,,700,461,72,44,,2,1,128,,,
"Otras activ. serv.comun.soc y personales (064)",1404,,59,120,123,183,,1,2,916,,,
"Hogares privados con servicio doméstico (065)",3581,,,3,,,,,,3578,,,
"Organiz. y organos extraterritoriales (066)",2,,,,2,,,,,,,,
"Actividad economica no especificada (067)",2822,4,105,143,544,,,1,,9,,2016,
"Desocupado (068)",1572,,,,,,,,,,,,1572
,,,,,,,,,,,,,
"URBANA (069)",69114,260,12309,4949,4073,10336,2111,6582,8761,12607,530,3149,3447
"Agric., ganadería, caza y silvicultura (070)",3425,,112,79,8,,2109,10,18,1089,,,
"Pesca (071)",7,,2,,1,,2,,,2,,,
"Explotación de minas y canteras (072)",2032,5,386,299,150,5,,654,374,159,,,
"Industrias manufactureras (073)",4462,4,99,229,60,32,,3575,392,71,,,
"Suministro de electricidad, gas y agua (074)",185,3,30,35,24,,,38,29,26,,,
"Construcción (075)",6347,7,664,285,57,,,453,2796,2085,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",12534,20,188,778,157,7492,,1697,140,2062,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",2048,4,47,160,23,220,,1437,109,48,,,
"Comercio al por mayor (078)",645,9,33,149,45,361,,1,13,34,,,
"Comercio al por menor (079)",9841,7,108,469,89,6911,,259,18,1980,,,
"Hoteles y restaurantes (080)",3388,8,51,232,214,1903,,5,7,968,,,
"Trans., almac. y comunicaciones (081)",6199,10,109,236,398,63,,39,4514,830,,,
"Intermediación financiera (082)",456,6,71,133,237,,,,1,8,,,
"Activid.inmobil., empres. y alquileres (083)",4014,11,1705,794,550,403,,55,151,345,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",2567,65,440,248,880,86,,10,68,240,530,,
"Enseñanza (085)",7283,97,6820,63,235,,,3,7,58,,,
"Servicios sociales y de salud (086)",2060,1,1130,639,106,50,,9,8,117,,,
"Otras activ. serv.comun.soc y personales (087)",2901,4,218,439,198,302,,33,30,1677,,,
"Hogares privados con servicio doméstico (088)",2854,,,3,,,,,3,2848,,,
"Organiz. y organos extraterritoriales (089)",6,,,1,5,,,,,,,,
"Actividad economica no especificada (090)",4947,19,284,456,793,,,1,223,22,,3149,
"Desocupado (091)",3447,,,,,,,,,,,,3447
"Hombres (092)",43067,182,6490,3211,1827,4409,1856,5775,8506,6457,483,1584,2287
"Agric., ganadería, caza y silvicultura (093)",2891,,96,64,5,,1854,6,18,848,,,
"Pesca (094)",6,,1,,1,,2,,,2,,,
"Explotación de minas y canteras (095)",1838,4,322,266,111,3,,624,359,149,,,
"Industrias manufactureras (096)",3492,4,76,166,29,16,,2860,284,57,,,
"Suministro de electricidad, gas y agua (097)",164,3,25,31,14,,,37,29,25,,,
"Construcción (098)",6110,5,576,248,36,,,449,2750,2046,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",6437,11,105,486,50,3086,,1655,133,911,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",1913,3,40,141,9,170,,1405,106,39,,,
"Comercio al por mayor (101)",370,7,15,88,13,201,,1,11,34,,,
"Comercio al por menor (102)",4154,1,50,257,28,2715,,249,16,838,,,
"Hoteles y restaurantes (103)",1271,4,29,130,95,659,,5,7,342,,,
"Trans., almac. y comunicaciones (104)",5630,10,73,142,240,35,,39,4449,642,,,
"Intermediación financiera (105)",226,6,43,55,116,,,,1,5,,,
"Activid.inmobil., empres. y alquileres (106)",2738,7,1210,578,191,390,,49,142,171,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",1785,53,297,156,462,79,,10,67,178,483,,
"Enseñanza (108)",3037,55,2831,31,74,,,2,6,38,,,
"Servicios sociales y de salud (109)",775,1,465,219,38,17,,7,7,21,,,
"Otras activ. serv.comun.soc y personales (110)",1670,4,159,323,79,124,,32,28,921,,,
"Hogares privados con servicio doméstico (111)",90,,,,,,,,3,87,,,
"Organiz. y organos extraterritoriales (112)",4,,,1,3,,,,,,,,
"Actividad economica no especificada (113)",2616,15,182,315,283,,,,223,14,,1584,
"Desocupado (114)",2287,,,,,,,,,,,,2287
"Mujeres (115)",26047,78,5819,1738,2246,5927,255,807,255,6150,47,1565,1160
"Agric., ganadería, caza y silvicultura (116)",534,,16,15,3,,255,4,,241,,,
"Pesca (117)",1,,1,,,,,,,,,,
"Explotación de minas y canteras (118)",194,1,64,33,39,2,,30,15,10,,,
"Industrias manufactureras (119)",970,,23,63,31,16,,715,108,14,,,
"Suministro de electricidad, gas y agua (120)",21,,5,4,10,,,1,,1,,,
"Construcción (121)",237,2,88,37,21,,,4,46,39,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",6097,9,83,292,107,4406,,42,7,1151,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",135,1,7,19,14,50,,32,3,9,,,
"Comercio al por mayor (124)",275,2,18,61,32,160,,,2,,,,
"Comercio al por menor (125)",5687,6,58,212,61,4196,,10,2,1142,,,
"Hoteles y restaurantes (126)",2117,4,22,102,119,1244,,,,626,,,
"Trans., almac. y comunicaciones (127)",569,,36,94,158,28,,,65,188,,,
