"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TARATA (000)",4048,260,3,1436,1399,201,350,113,286
"Agric., ganadería, caza y silvicultura (001)",2684,229,1,1206,896,103,129,46,74
"Pesca (002)",3,,,1,2,,,,
"Explotación de minas y canteras (003)",3,,,1,2,,,,
"Industrias manufactureras (004)",59,4,,15,25,4,7,1,3
"Suministro de electricidad, gas y agua (005)",22,2,,2,11,1,5,,1
"Construcción (006)",242,5,,41,136,20,20,9,11
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",261,16,1,92,102,16,22,4,8
"Venta, mant.y rep. veh.autom.y motoc. (008)",23,,1,5,10,1,3,2,1
"Comercio al por mayor (009)",4,,,2,1,,,1,
"Comercio al por menor (010)",234,16,,85,91,15,19,1,7
"Hoteles y restaurantes (011)",99,2,1,34,45,6,5,3,3
"Trans., almac. y comunicaciones (012)",86,,,3,46,6,19,4,8
"Intermediación financiera (013)",1,,,,,,,,1
"Activid.inmobil., empres. y de alquiler (014)",44,,,,4,6,10,4,20
"Admin.pub. y defensa; p. segur.soc.afil (015)",226,,,17,66,21,54,26,42
"Enseñanza (016)",170,,,,26,8,45,8,83
"Servicios sociales y de salud (017)",54,,,2,5,2,22,2,21
"Otras activ. serv.comun.soc y personales (018)",22,,,2,6,5,1,4,4
"Hogares privados con servicio doméstico (019)",26,,,9,12,,3,1,1
"Actividad economica no especificada (021)",46,2,,11,15,3,8,1,6
"Hombres (022)",2332,64,2,722,935,146,212,78,173
"Agric., ganadería, caza y silvicultura (023)",1544,53,1,637,605,83,84,33,48
"Pesca (024)",3,,,1,2,,,,
"Explotación de minas y canteras (025)",3,,,1,2,,,,
"Industrias manufactureras (026)",43,3,,9,21,2,5,1,2
"Suministro de electricidad, gas y agua (027)",8,,,,5,,2,,1
"Construcción (028)",220,5,,31,128,19,19,9,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",97,3,1,25,39,10,12,3,4
"Venta, mant.y rep. veh.autom.y motoc. (030)",21,,1,4,9,1,3,2,1
"Comercio al por mayor (031)",1,,,,,,,1,
"Comercio al por menor (032)",75,3,,21,30,9,9,,3
"Hoteles y restaurantes (033)",13,,,2,8,,2,,1
"Trans., almac. y comunicaciones (034)",78,,,2,44,5,16,4,7
"Activid.inmobil., empres. y de alquiler (036)",31,,,,1,3,6,3,18
"Admin.pub. y defensa; p. segur.soc.afil (037)",162,,,8,52,15,36,19,32
"Enseñanza (038)",75,,,,10,3,16,4,42
"Servicios sociales y de salud (039)",18,,,1,2,1,8,,6
"Otras activ. serv.comun.soc y personales (040)",13,,,2,3,3,1,2,2
"Hogares privados con servicio doméstico (041)",3,,,,3,,,,
"Actividad economica no especificada (043)",21,,,3,10,2,5,,1
"Mujeres (044)",1716,196,1,714,464,55,138,35,113
"Agric., ganadería, caza y silvicultura (045)",1140,176,,569,291,20,45,13,26
"Industrias manufactureras (048)",16,1,,6,4,2,2,,1
"Suministro de electricidad, gas y agua (049)",14,2,,2,6,1,3,,
"Construcción (050)",22,,,10,8,1,1,,2
