"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PARURO (000)",9219,691,1162,5462,114,1525,74,191
"Agric., ganadería, caza y silvicultura (001)",6493,14,575,4516,100,1288,,
"Pesca (002)",1,,,1,,,,
"Explotación de minas y canteras (003)",46,5,41,,,,,
"Industrias manufactureras (004)",120,1,41,60,2,16,,
"Suministro de electricidad, gas y agua (005)",13,5,8,,,,,
"Construcción (006)",370,3,288,47,5,27,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",387,28,6,305,4,44,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",14,3,6,5,,,,
"Comercio al por mayor (009)",12,3,,8,,1,,
"Comercio al por menor (010)",361,22,,292,4,43,,
"Hoteles y restaurantes (011)",277,43,7,183,,44,,
"Trans., almac. y comunicaciones (012)",99,39,20,34,1,5,,
"Activid.inmobil., empres. y alquileres (014)",66,47,11,8,,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",261,168,93,,,,,
"Enseñanza (016)",295,239,,56,,,,
"Servicios sociales y de salud (017)",42,40,2,,,,,
"Otras activ. serv.comun.soc y personales (018)",86,25,18,16,1,26,,
"Hogares privados con servicio doméstico (019)",74,,,,,,74,
"Actividad economica no especificada (021)",398,34,52,236,1,75,,
"Desocupado (022)",191,,,,,,,191
"Hombres (023)",6870,436,1057,4437,101,666,20,153
"Agric., ganadería, caza y silvicultura (024)",5297,11,495,4100,89,602,,
"Pesca (025)",1,,,1,,,,
"Explotación de minas y canteras (026)",43,4,39,,,,,
"Industrias manufactureras (027)",84,1,36,38,2,7,,
"Suministro de electricidad, gas y agua (028)",13,5,8,,,,,
"Construcción (029)",364,2,284,47,5,26,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",128,17,6,93,3,9,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",13,3,6,4,,,,
"Comercio al por mayor (032)",7,2,,4,,1,,
"Comercio al por menor (033)",108,12,,85,3,8,,
"Hoteles y restaurantes (034)",15,6,4,4,,1,,
"Trans., almac. y comunicaciones (035)",95,36,20,33,1,5,,
"Activid.inmobil., empres. y alquileres (037)",57,40,11,6,,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",224,134,90,,,,,
"Enseñanza (039)",151,131,,20,,,,
"Servicios sociales y de salud (040)",11,9,2,,,,,
"Otras activ. serv.comun.soc y personales (041)",43,18,17,7,,1,,
"Hogares privados con servicio doméstico (042)",20,,,,,,20,
"Actividad economica no especificada (044)",171,22,45,88,1,15,,
"Desocupado (045)",153,,,,,,,153
"Mujeres (046)",2349,255,105,1025,13,859,54,38
"Agric., ganadería, caza y silvicultura (047)",1196,3,80,416,11,686,,
"Explotación de minas y canteras (049)",3,1,2,,,,,
"Industrias manufactureras (050)",36,,5,22,,9,,
"Construcción (052)",6,1,4,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",259,11,,212,1,35,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",1,,,1,,,,
"Comercio al por mayor (055)",5,1,,4,,,,
"Comercio al por menor (056)",253,10,,207,1,35,,
"Hoteles y restaurantes (057)",262,37,3,179,,43,,
"Trans., almac. y comunicaciones (058)",4,3,,1,,,,
"Activid.inmobil., empres. y alquileres (060)",9,7,,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",37,34,3,,,,,
"Enseñanza (062)",144,108,,36,,,,
"Servicios sociales y de salud (063)",31,31,,,,,,
"Otras activ. serv.comun.soc y personales (064)",43,7,1,9,1,25,,
"Hogares privados con servicio doméstico (065)",54,,,,,,54,
"Actividad economica no especificada (067)",227,12,7,148,,60,,
"Desocupado (068)",38,,,,,,,38
,,,,,,,,
"URBANA (069)",3717,505,401,2043,80,564,59,65
"Agric., ganadería, caza y silvicultura (070)",2152,11,135,1476,72,458,,
"Pesca (071)",1,,,1,,,,
"Explotación de minas y canteras (072)",2,1,1,,,,,
"Industrias manufactureras (073)",76,,22,44,1,9,,
"Suministro de electricidad, gas y agua (074)",8,4,4,,,,,
"Construcción (075)",188,1,154,23,3,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",298,21,3,235,4,35,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",9,2,3,4,,,,
"Comercio al por mayor (078)",10,3,,6,,1,,
"Comercio al por menor (079)",279,16,,225,4,34,,
"Hoteles y restaurantes (080)",151,21,1,117,,12,,
"Trans., almac. y comunicaciones (081)",74,28,15,26,,5,,
"Activid.inmobil., empres. y alquileres (083)",33,24,2,7,,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",171,137,34,,,,,
"Enseñanza (085)",234,185,,49,,,,
"Servicios sociales y de salud (086)",36,34,2,,,,,
"Otras activ. serv.comun.soc y personales (087)",28,15,3,9,,1,,
"Hogares privados con servicio doméstico (088)",59,,,,,,59,
"Actividad economica no especificada (090)",141,23,25,56,,37,,
"Desocupado (091)",65,,,,,,,65
"Hombres (092)",2547,320,360,1484,73,246,18,46
"Agric., ganadería, caza y silvicultura (093)",1690,10,112,1289,66,213,,
"Pesca (094)",1,,,1,,,,
"Explotación de minas y canteras (095)",2,1,1,,,,,
"Industrias manufactureras (096)",49,,18,27,1,3,,
"Suministro de electricidad, gas y agua (097)",8,4,4,,,,,
"Construcción (098)",184,,151,23,3,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",89,12,3,65,3,6,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",8,2,3,3,,,,
"Comercio al por mayor (101)",6,2,,3,,1,,
"Comercio al por menor (102)",75,8,,59,3,5,,
"Hoteles y restaurantes (103)",7,2,1,3,,1,,
"Trans., almac. y comunicaciones (104)",73,27,15,26,,5,,
"Activid.inmobil., empres. y alquileres (106)",25,18,2,5,,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",141,110,31,,,,,
"Enseñanza (108)",120,103,,17,,,,
"Servicios sociales y de salud (109)",10,8,2,,,,,
"Otras activ. serv.comun.soc y personales (110)",18,12,2,3,,1,,
"Hogares privados con servicio doméstico (111)",18,,,,,,18,
"Actividad economica no especificada (113)",66,13,18,25,,10,,
"Desocupado (114)",46,,,,,,,46
"Mujeres (115)",1170,185,41,559,7,318,41,19
"Agric., ganadería, caza y silvicultura (116)",462,1,23,187,6,245,,
"Industrias manufactureras (119)",27,,4,17,,6,,
"Construcción (121)",4,1,3,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",209,9,,170,1,29,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",1,,,1,,,,
"Comercio al por mayor (124)",4,1,,3,,,,
"Comercio al por menor (125)",204,8,,166,1,29,,
"Hoteles y restaurantes (126)",144,19,,114,,11,,
"Trans., almac. y comunicaciones (127)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (129)",8,6,,2,,,,
