"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHICLAYO (000)",308939,290622,95745,45446,45219,34722,36945,16721,8958,6866,18317,663403
"De 12 a 14 años (001)",23808,23692,23615,59,18,,,,,,116,95
"De 15 a 19 años (002)",39891,39283,35834,3050,324,61,14,,,,608,3937
"De 20 a 24 años (003)",35937,30760,16506,9850,3528,707,152,17,,,5177,19777
"De 25 a 29 años (004)",32229,27534,6645,9874,7095,2832,1011,68,9,,4695,37306
"De 30 a 34 años (005)",30601,28063,3551,7345,8884,5012,2853,366,37,15,2538,55057
"De 35 a 39 años (006)",28907,27310,2446,4803,7842,6308,4830,876,176,29,1597,67558
"De 40 a 44 años (007)",25630,24513,1803,3188,5833,5890,5651,1589,458,101,1117,72179
"De 45 a 49 años (008)",22013,21246,1419,2344,4309,4678,5486,2078,681,251,767,70735
"De 50 y más años (009)",69923,68221,3926,4933,7386,9234,16948,11727,7597,6470,1702,336759
"Conviviente (010)",65028,63502,4911,17795,15833,9938,9306,3411,1487,821,1526,163557
"De 12 a 14 años (011)",174,89,59,27,3,,,,,,85,33
"De 15 a 19 años (012)",4000,3550,1238,2044,240,25,3,,,,450,2611
"De 20 a 24 años (013)",10568,10119,1506,5687,2360,468,88,10,,,449,12250
"De 25 a 29 años (014)",11758,11523,819,4457,3940,1645,618,40,4,,235,20148
"De 30 a 34 años (015)",11018,10881,448,2553,3864,2337,1460,198,17,4,137,24950
"De 35 a 39 años (016)",8835,8772,256,1292,2467,2221,2028,401,92,15,63,25179
"De 40 a 44 años (017)",6541,6495,183,714,1392,1488,1850,651,177,40,46,22121
"De 45 a 49 años (018)",4517,4497,143,443,792,853,1281,661,249,75,20,17383
"De 50 y más años (019)",7617,7576,259,578,775,901,1978,1450,948,687,41,38882
