"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CARHUAZ (000)",885,20,450,257,133,25
"Conviviente (001)",245,,151,81,13,
"Separado(a) (002)",21,,6,9,6,
"Casado(a) (003)",286,,35,131,102,18
"Viudo(a) (004)",9,,,2,2,5
"Divorciado(a) (005)",1,,,,1,
"Soltero(a) (006)",323,20,258,34,9,2
"Hombres (008)",711,15,343,212,119,22
"Conviviente (009)",209,,129,70,10,
"Separado(a) (010)",11,,2,3,6,
"Casado(a) (011)",258,,30,114,97,17
"Viudo(a) (012)",3,,,,,3
"Divorciado(a) (013)",1,,,,1,
"Soltero(a) (014)",229,15,182,25,5,2
"Mujeres (016)",174,5,107,45,14,3
"Conviviente (017)",36,,22,11,3,
"Separado(a) (018)",10,,4,6,,
"Casado(a) (019)",28,,5,17,5,1
"Viudo(a) (020)",6,,,2,2,2
"Soltero(a) (022)",94,5,76,9,4,
,,,,,,
"AREA URBANA (024)",295,1,136,94,52,12
"Conviviente (025)",75,,39,29,7,
"Separado(a) (026)",8,,2,3,3,
"Casado(a) (027)",97,,14,39,38,6
"Viudo(a) (028)",6,,,2,,4
"Divorciado(a) (029)",1,,,,1,
"Soltero(a) (030)",108,1,81,21,3,2
"Hombres (032)",231,1,99,72,49,10
"Conviviente (033)",55,,28,22,5,
"Separado(a) (034)",6,,1,2,3,
"Casado(a) (035)",84,,9,32,37,6
"Viudo(a) (036)",2,,,,,2
"Divorciado(a) (037)",1,,,,1,
"Soltero(a) (038)",83,1,61,16,3,2
"Mujeres (040)",64,,37,22,3,2
"Conviviente (041)",20,,11,7,2,
"Separado(a) (042)",2,,1,1,,
"Casado(a) (043)",13,,5,7,1,
"Viudo(a) (044)",4,,,2,,2
"Soltero(a) (046)",25,,20,5,,
,,,,,,
"AREA RURAL (048)",590,19,314,163,81,13
"Conviviente (049)",170,,112,52,6,
"Separado(a) (050)",13,,4,6,3,
"Casado(a) (051)",189,,21,92,64,12
"Viudo(a) (052)",3,,,,2,1
"Soltero(a) (054)",215,19,177,13,6,
"Hombres (056)",480,14,244,140,70,12
"Conviviente (057)",154,,101,48,5,
"Separado(a) (058)",5,,1,1,3,
"Casado(a) (059)",174,,21,82,60,11
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",146,14,121,9,2,
"Mujeres (064)",110,5,70,23,11,1
"Conviviente (065)",16,,11,4,1,
"Separado(a) (066)",8,,3,5,,
"Casado(a) (067)",15,,,10,4,1
"Viudo(a) (068)",2,,,,2,
"Soltero(a) (070)",69,5,56,4,4,
