"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CAJATAMBO (000)",2968,2895,717,285,300,281,517,396,217,182,73,10457
"De 12 a 14 años (001)",302,300,298,2,,,,,,,2,2
"De 15 a 19 años (002)",304,298,250,41,6,1,,,,,6,56
"De 20 a 24 años (003)",205,182,52,71,35,13,10,1,,,23,229
"De 25 a 29 años (004)",230,217,23,44,75,40,33,2,,,13,466
"De 30 a 34 años (005)",257,252,23,31,54,58,75,9,2,,5,718
"De 35 a 39 años (006)",265,259,16,26,41,41,80,44,8,3,6,965
"De 40 a 44 años (007)",230,227,10,18,27,28,68,51,18,7,3,1009
"De 45 a 49 años (008)",188,186,6,15,12,21,45,53,20,14,2,966
"De 50 y más años (009)",987,974,39,37,50,79,206,236,169,158,13,6046
"Conviviente (010)",998,980,49,130,165,125,232,158,62,59,18,4067
"De 12 a 14 años (011)",3,2,,2,,,,,,,1,2
"De 15 a 19 años (012)",41,35,9,22,3,1,,,,,6,31
"De 20 a 24 años (013)",100,98,7,48,23,10,9,1,,,2,169
"De 25 a 29 años (014)",147,145,7,24,56,28,29,1,,,2,347
"De 30 a 34 años (015)",155,154,9,13,37,34,51,8,2,,1,480
"De 35 a 39 años (016)",149,148,5,7,24,17,54,33,5,3,1,628
"De 40 a 44 años (017)",105,104,1,4,11,15,29,27,10,7,1,532
"De 45 a 49 años (018)",75,75,3,2,5,9,11,30,8,7,,426
"De 50 y más años (019)",223,219,8,8,6,11,49,58,37,42,4,1452
"Separado(a) (020)",121,120,3,25,16,21,24,12,11,8,1,483
"De 15 a 19 años (022)",3,3,,3,,,,,,,,3
"De 20 a 24 años (023)",10,10,,7,3,,,,,,,13
"De 25 a 29 años (024)",13,13,,7,5,1,,,,,,20
"De 30 a 34 años (025)",10,10,,2,2,4,2,,,,,27
