"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHURCAMPA (000)",13112,10658,1060,455,939
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,,5,1,33
"Profes., científicos e intelectuales (002)",741,261,220,181,79
"Técnicos de nivel medio y trab. asimilados (003)",191,66,21,15,89
"Jefes y empleados de oficina (004)",173,36,11,13,113
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",578,492,36,42,8
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5493,5164,327,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",558,187,32,49,290
"Obreros construc.,conf.,papel, fab., instr. (008)",434,222,38,32,142
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4617,4029,354,112,122
"Otra (010)",61,,,,61
"Ocupación no especificada (011)",227,201,16,8,2
"Hombres (012)",9188,7215,823,361,789
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,,5,1,25
"Profes., científicos e intelectuales (014)",413,119,131,114,49
"Técnicos de nivel medio y trab. asimilados (015)",135,48,14,13,60
"Jefes y empleados de oficina (016)",106,20,7,10,69
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",229,165,16,40,8
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4645,4343,300,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",493,140,25,47,281
"Obreros construc.,conf.,papel, fab., instr. (020)",425,216,38,32,139
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2573,2095,276,98,104
"Otra (022)",52,,,,52
"Ocupación no especificada (023)",86,69,11,4,2
"Mujeres (024)",3924,3443,237,94,150
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,,,,8
"Profes., científicos e intelectuales (026)",328,142,89,67,30
"Técnicos de nivel medio y trab. asimilados (027)",56,18,7,2,29
"Jefes y empleados de oficina (028)",67,16,4,3,44
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",349,327,20,2,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",848,821,27,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",65,47,7,2,9
"Obreros construc.,conf.,papel, fab., instr. (032)",9,6,,,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2044,1934,78,14,18
"Otra (034)",9,,,,9
