"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCAYO (000)",172189,123079,15704,14388,19018
"Agric., ganadería, caza y silvicultura (001)",25304,23403,1555,261,85
"Pesca (002)",102,44,3,33,22
"Explotación de minas y canteras (003)",2247,301,193,515,1238
"Industrias manufactureras (004)",15103,11982,1839,832,450
"Suministro de electricidad, gas y agua (005)",515,51,21,205,238
"Construcción (006)",9848,7435,1279,766,368
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",42448,37996,2767,1387,298
"Venta, mant.y rep. veh.autom y motoc. (008)",4311,3288,664,214,145
"Comercio al por mayor (009)",2300,1562,280,305,153
"Comercio al por menor (010)",35837,33146,1823,868,
"Hoteles y restaurantes (011)",10574,9045,1039,412,78
"Trans., almac. y comunicaciones (012)",15179,12140,905,1114,1020
"Intermediación financiera (013)",1395,186,118,635,456
"Activid.inmobil., empres. y alquileres (014)",9758,5654,1223,1535,1346
"Admin.pub. y defensa; p. segur soc.afil (015)",5978,,,,5978
"Enseñanza (016)",15865,2630,3300,5555,4380
"Servicios sociales y de salud (017)",4638,1402,258,280,2698
"Otras activ. serv.comun.soc y personales (018)",6343,4592,939,636,176
"Hogares privados con servicio doméstico (019)",3543,3543,,,
"Actividad economica no especificada (021)",3349,2675,265,222,187
"Hombres (022)",99955,69853,9748,8647,11707
"Agric., ganadería, caza y silvicultura (023)",16517,15295,1009,158,55
"Pesca (024)",73,32,3,22,16
"Explotación de minas y canteras (025)",2151,277,182,497,1195
"Industrias manufactureras (026)",9578,7540,1201,536,301
"Suministro de electricidad, gas y agua (027)",432,40,17,186,189
"Construcción (028)",9488,7234,1210,706,338
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",20184,17344,1678,913,249
"Venta, mant.y rep. veh.autom y motoc. (030)",3890,2961,604,188,137
"Comercio al por mayor (031)",1250,770,164,204,112
"Comercio al por menor (032)",15044,13613,910,521,
"Hoteles y restaurantes (033)",3401,2597,524,231,49
"Trans., almac. y comunicaciones (034)",13498,10892,750,953,903
"Intermediación financiera (035)",745,99,76,316,254
"Activid.inmobil., empres. y alquileres (036)",6519,3827,817,962,913
"Admin.pub. y defensa; p. segur soc.afil (037)",3921,,,,3921
"Enseñanza (038)",7013,878,1373,2501,2261
