"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia OXAPAMPA (000)",31692,4275,6184,15057,585,4821,770
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",66,63,,,3,,
"Profes., científicos e intelectuales (002)",1945,1777,,152,15,1,
"Técnicos de nivel medio y trab. asimilados (003)",872,559,,270,36,6,1
"Jefes y empleados de oficina (004)",602,601,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2828,486,24,1911,77,328,2
"Agricult.trabaj. calif.agrop. y pesqueros (006)",10510,17,7,10152,334,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1469,,618,757,49,45,
"Obreros construc.,conf., papel, fab., instr. (008)",1679,221,523,888,37,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",10897,319,4888,586,16,4321,767
"Otra (010)",95,95,,,,,
"Ocupación no especificada (011)",729,137,124,341,18,109,
"Hombres (012)",23193,2262,5441,12066,495,2763,166
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",54,51,,,3,,
"Profes., científicos e intelectuales (014)",948,849,,90,9,,
"Técnicos de nivel medio y trab. asimilados (015)",548,337,,182,27,2,
"Jefes y empleados de oficina (016)",281,281,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1062,217,9,724,41,71,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",9500,16,7,9165,312,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1332,,583,673,44,32,
"Obreros construc.,conf., papel, fab., instr. (020)",1636,218,513,859,36,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",7406,151,4248,208,8,2625,166
"Otra (022)",94,94,,,,,
"Ocupación no especificada (023)",332,48,81,165,15,23,
"Mujeres (024)",8499,2013,743,2991,90,2058,604
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",12,12,,,,,
"Profes., científicos e intelectuales (026)",997,928,,62,6,1,
"Técnicos de nivel medio y trab. asimilados (027)",324,222,,88,9,4,1
"Jefes y empleados de oficina (028)",321,320,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1766,269,15,1187,36,257,2
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1010,1,,987,22,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",137,,35,84,5,13,
"Obreros construc.,conf., papel, fab., instr. (032)",43,3,10,29,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",3491,168,640,378,8,1696,601
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",397,89,43,176,3,86,
,,,,,,,
"URBANA (036)",13063,3349,2254,5873,298,823,466
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",44,41,,,3,,
"Profes., científicos e intelectuales (038)",1400,1248,,137,14,1,
"Técnicos de nivel medio y trab. asimilados (039)",715,453,,224,32,5,1
"Jefes y empleados de oficina (040)",533,532,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2237,422,16,1476,52,270,1
"Agricult.trabaj. calif.agrop. y pesqueros (042)",2270,11,2,2149,108,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",1153,,493,600,38,22,
"Obreros construc.,conf., papel, fab., instr. (044)",1343,192,403,714,28,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",2974,267,1276,468,16,483,464
"Otra (046)",93,93,,,,,
"Ocupación no especificada (047)",301,90,64,105,7,35,
"Hombres (048)",8667,1790,1987,4200,234,394,62
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",38,35,,,3,,
"Profes., científicos e intelectuales (050)",685,594,,82,9,,
"Técnicos de nivel medio y trab. asimilados (051)",453,274,,154,23,2,
"Jefes y empleados de oficina (052)",249,249,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",859,184,6,589,23,57,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2042,11,2,1927,102,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",1055,,468,532,34,21,
"Obreros construc.,conf., papel, fab., instr. (056)",1309,189,394,693,27,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",1752,127,1075,177,8,303,62
"Otra (058)",92,92,,,,,
"Ocupación no especificada (059)",133,35,42,46,5,5,
"Mujeres (060)",4396,1559,267,1673,64,429,404
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",6,6,,,,,
"Profes., científicos e intelectuales (062)",715,654,,55,5,1,
"Técnicos de nivel medio y trab. asimilados (063)",262,179,,70,9,3,1
"Jefes y empleados de oficina (064)",284,283,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1378,238,10,887,29,213,1
"Agricult.trabaj. calif.agrop. y pesqueros (066)",228,,,222,6,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",98,,25,68,4,1,
"Obreros construc.,conf., papel, fab., instr. (068)",34,3,9,21,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",1222,140,201,291,8,180,402
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",168,55,22,59,2,30,
,,,,,,,
"RURAL (072)",18629,926,3930,9184,287,3998,304
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",22,22,,,,,
"Profes., científicos e intelectuales (074)",545,529,,15,1,,
"Técnicos de nivel medio y trab. asimilados (075)",157,106,,46,4,1,
"Jefes y empleados de oficina (076)",69,69,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",591,64,8,435,25,58,1
"Agricult.trabaj. calif.agrop. y pesqueros (078)",8240,6,5,8003,226,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",316,,125,157,11,23,
"Obreros construc.,conf., papel, fab., instr. (080)",336,29,120,174,9,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",7923,52,3612,118,,3838,303
"Otra (082)",2,2,,,,,
"Ocupación no especificada (083)",428,47,60,236,11,74,
"Hombres (084)",14526,472,3454,7866,261,2369,104
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",16,16,,,,,
"Profes., científicos e intelectuales (086)",263,255,,8,,,
"Técnicos de nivel medio y trab. asimilados (087)",95,63,,28,4,,
"Jefes y empleados de oficina (088)",32,32,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",203,33,3,135,18,14,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",7458,5,5,7238,210,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",277,,115,141,10,11,
"Obreros construc.,conf., papel, fab., instr. (092)",327,29,119,166,9,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",5654,24,3173,31,,2322,104
"Otra (094)",2,2,,,,,
"Ocupación no especificada (095)",199,13,39,119,10,18,
"Mujeres (096)",4103,454,476,1318,26,1629,200
