"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANTA CRUZ (000)",16197,15663,4590,1941,1763,1496,2196,1528,1072,1077,534,50929
"De 12 a 14 años (001)",1753,1737,1726,10,1,,,,,,16,12
"De 15 a 19 años (002)",1864,1828,1602,192,29,5,,,,,36,265
"De 20 a 24 años (003)",1496,1345,500,519,230,73,20,3,,,151,1301
"De 25 a 29 años (004)",1361,1248,174,391,356,203,109,14,1,,113,2275
"De 30 a 34 años (005)",1416,1356,110,245,369,301,268,58,5,,60,3459
"De 35 a 39 años (006)",1490,1446,97,162,302,302,399,146,27,11,44,4671
"De 40 a 44 años (007)",1220,1187,84,113,157,193,343,201,69,27,33,4665
"De 45 a 49 años (008)",1090,1062,47,79,108,152,277,225,120,54,28,5045
"De 50 y más años (009)",4507,4454,250,230,211,267,780,881,850,985,53,29236
"Sin nivel (010)",3365,3280,297,220,200,213,523,607,535,685,85,19941
"De 12 a 14 años (011)",18,18,17,1,,,,,,,,1
"De 15 a 19 años (012)",53,49,40,7,1,1,,,,,4,12
"De 20 a 24 años (013)",71,60,21,19,10,6,3,1,,,11,77
"De 25 a 29 años (014)",88,80,18,17,20,10,13,2,,,8,155
"De 30 a 34 años (015)",137,126,16,22,24,19,31,12,2,,11,362
"De 35 a 39 años (016)",186,181,16,19,25,24,52,35,6,4,5,681
"De 40 a 44 años (017)",210,197,26,20,17,25,40,39,16,14,13,840
"De 45 a 49 años (018)",217,208,18,12,17,22,43,46,34,16,9,1061
"De 50 y más años (019)",2385,2361,125,103,86,106,341,472,477,651,24,16752
"Educacion Inicial (020)",30,28,13,4,5,3,3,,,,2,35
"De 12 a 14 años (021)",8,8,7,1,,,,,,,,1
"De 15 a 19 años (022)",2,2,1,1,,,,,,,,1
