"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",160146,82145,1763,1764,66088,3150,98,138,187,4813
"Hombres (001)",61429,40807,1099,771,14042,1581,62,75,173,2819
"Mujeres (002)",98717,41338,664,993,52046,1569,36,63,14,1994
"De 06 a 14 años (003)",65907,59649,,,3424,1513,5,34,,1282
"Hombres (004)",33026,30005,,,1546,802,4,19,,650
"Mujeres (005)",32881,29644,,,1878,711,1,15,,632
"De 15 a 29 años (006)",50538,21482,76,604,26518,,38,42,187,1591
"Hombres (007)",17062,10390,32,226,5312,,24,21,173,884
"Mujeres (008)",33476,11092,44,378,21206,,14,21,14,707
"De 30 a 44 años (009)",20131,733,114,407,17937,,28,21,,891
"Hombres (010)",3999,288,47,159,2850,,19,12,,624
"Mujeres (011)",16132,445,67,248,15087,,9,9,,267
"De 45 a 64 años (012)",14976,242,656,437,12994,17,23,21,,586
"Hombres (013)",3864,109,393,215,2704,8,13,15,,407
"Mujeres (014)",11112,133,263,222,10290,9,10,6,,179
"De 65 y más años (015)",8594,39,917,316,5215,1620,4,20,,463
"Hombres (016)",3478,15,627,171,1630,771,2,8,,254
"Mujeres (017)",5116,24,290,145,3585,849,2,12,,209
,,,,,,,,,,
"AREA URBANA (018)",135674,69357,1708,1656,56405,2569,91,120,137,3631
"Hombres (019)",51331,34100,1060,719,12038,1242,57,65,123,1927
"Mujeres (020)",84343,35257,648,937,44367,1327,34,55,14,1704
"De 06 a 14 años (021)",54540,49505,,,2907,1092,4,28,,1004
"Hombres (022)",27179,24753,,,1339,558,3,14,,512
"Mujeres (023)",27361,24752,,,1568,534,1,14,,492
"De 15 a 29 años (024)",43380,18973,72,558,22331,,35,38,137,1236
"Hombres (025)",14523,9006,30,209,4520,,22,19,123,594
"Mujeres (026)",28857,9967,42,349,17811,,13,19,14,642
"De 30 a 44 años (027)",17055,643,105,386,15330,,27,19,,545
"Hombres (028)",3171,241,42,148,2384,,18,11,,327
"Mujeres (029)",13884,402,63,238,12946,,9,8,,218
"De 45 a 64 años (030)",12927,200,638,416,11204,9,21,18,,421
"Hombres (031)",3296,87,380,202,2331,1,12,14,,269
"Mujeres (032)",9631,113,258,214,8873,8,9,4,,152
"De 65 y más años (033)",7772,36,893,296,4633,1468,4,17,,425
"Hombres (034)",3162,13,608,160,1464,683,2,7,,225
"Mujeres (035)",4610,23,285,136,3169,785,2,10,,200
,,,,,,,,,,
"AREA RURAL (036)",24472,12788,55,108,9683,581,7,18,50,1182
"Hombres (037)",10098,6707,39,52,2004,339,5,10,50,892
"Mujeres (038)",14374,6081,16,56,7679,242,2,8,,290
"De 06 a 14 años (039)",11367,10144,,,517,421,1,6,,278
"Hombres (040)",5847,5252,,,207,244,1,5,,138
"Mujeres (041)",5520,4892,,,310,177,,1,,140
"De 15 a 29 años (042)",7158,2509,4,46,4187,,3,4,50,355
"Hombres (043)",2539,1384,2,17,792,,2,2,50,290
"Mujeres (044)",4619,1125,2,29,3395,,1,2,,65
"De 30 a 44 años (045)",3076,90,9,21,2607,,1,2,,346
"Hombres (046)",828,47,5,11,466,,1,1,,297
"Mujeres (047)",2248,43,4,10,2141,,,1,,49
"De 45 a 64 años (048)",2049,42,18,21,1790,8,2,3,,165
"Hombres (049)",568,22,13,13,373,7,1,1,,138
"Mujeres (050)",1481,20,5,8,1417,1,1,2,,27
"De 65 y más años (051)",822,3,24,20,582,152,,3,,38
"Hombres (052)",316,2,19,11,166,88,,1,,29
"Mujeres (053)",506,1,5,9,416,64,,2,,9
