"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANCANE (000)",19461,220,762,1792,2845,3792,5476,4574
"De 12 a 14 años (001)",20,,,,,,,20
"De 15 a 19 años (002)",293,,,,,,170,123
"De 20 a 24 años (003)",1316,,,,,2,819,495
"De 25 a 29 años (004)",1728,,,,,63,1183,482
"De 30 a 34 años (005)",1783,,,,,278,1156,349
"De 35 a 39 años (006)",1863,,,,6,530,1022,305
"De 40 a 44 años (007)",1862,,,,109,740,689,324
"De 45 a 49 años (008)",1651,,,,216,800,371,264
"De 50 y más años (009)",8945,220,762,1792,2514,1379,66,2212
"Sin nivel (010)",6601,191,645,1337,1481,885,320,1742
"De 15 a 19 años (012)",3,,,,,,,3
"De 20 a 24 años (013)",18,,,,,,11,7
"De 25 a 29 años (014)",39,,,,,3,28,8
"De 30 a 34 años (015)",60,,,,,5,38,17
"De 35 a 39 años (016)",126,,,,,20,81,25
"De 40 a 44 años (017)",213,,,,9,82,72,50
"De 45 a 49 años (018)",332,,,,39,167,70,56
"De 50 y más años (019)",5810,191,645,1337,1433,608,20,1576
"Educacion Inicial (020)",13,,,,,1,8,4
"De 15 a 19 años (022)",1,,,,,,,1
"De 20 a 24 años (023)",1,,,,,,1,
"De 25 a 29 años (024)",3,,,,,,3,
"De 30 a 34 años (025)",3,,,,,,3,
"De 35 a 39 años (026)",5,,,,,1,1,3
"Primaria (030)",8138,22,114,426,1197,2150,2717,1512
"De 12 a 14 años (031)",12,,,,,,,12
"De 15 a 19 años (032)",79,,,,,,53,26
"De 20 a 24 años (033)",364,,,,,2,248,114
"De 25 a 29 años (034)",663,,,,,23,474,166
"De 30 a 34 años (035)",862,,,,,117,592,153
"De 35 a 39 años (036)",1038,,,,4,300,580,154
"De 40 a 44 años (037)",1201,,,,58,491,478,174
"De 45 a 49 años (038)",1065,,,,135,519,252,159
"De 50 y más años (039)",2854,22,114,426,1000,698,40,554
"Secundaria (040)",3762,6,3,22,132,602,2015,982
"De 12 a 14 años (041)",8,,,,,,,8
"De 15 a 19 años (042)",202,,,,,,113,89
"De 20 a 24 años (043)",792,,,,,,504,288
"De 25 a 29 años (044)",815,,,,,34,550,231
"De 30 a 34 años (045)",665,,,,,122,419,124
"De 35 a 39 años (046)",528,,,,1,168,283,76
"De 40 a 44 años (047)",340,,,,35,133,106,66
"De 45 a 49 años (048)",191,,,,34,88,35,34
"De 50 y más años (049)",221,6,3,22,62,57,5,66
"Sup. no Univ. incompleta (050)",201,,,,6,26,103,66
"De 15 a 19 años (052)",8,,,,,,4,4
"De 20 a 24 años (053)",49,,,,,,23,26
