"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CONCEPCION (000)",16319,161,502,1166,1936,3275,5610,3669
"De 12 a 14 años (001)",30,,,,,,4,26
"De 15 a 19 años (002)",366,,,,,,220,146
"De 20 a 24 años (003)",1495,,,,,5,918,572
"De 25 a 29 años (004)",1816,,,,,71,1241,504
"De 30 a 34 años (005)",1849,,,,,288,1212,349
"De 35 a 39 años (006)",1887,,,,11,525,1026,325
"De 40 a 44 años (007)",1691,,,,80,702,626,283
"De 45 a 49 años (008)",1413,,,5,189,728,297,194
"De 50 y más años (009)",5772,161,502,1161,1656,956,66,1270
"Sin nivel (010)",2959,75,232,406,529,505,446,766
"De 15 a 19 años (012)",13,,,,,,3,10
"De 20 a 24 años (013)",40,,,,,,22,18
"De 25 a 29 años (014)",58,,,,,2,45,11
"De 30 a 34 años (015)",154,,,,,15,110,29
"De 35 a 39 años (016)",165,,,,2,48,90,25
"De 40 a 44 años (017)",174,,,,4,56,82,32
"De 45 a 49 años (018)",235,,,,19,116,72,28
"De 50 y más años (019)",2120,75,232,406,504,268,22,613
"Educacion Inicial (020)",26,,,,,1,18,7
"De 15 a 19 años (022)",2,,,,,,,2
"De 20 a 24 años (023)",1,,,,,,,1
"De 25 a 29 años (024)",7,,,,,,5,2
"De 30 a 34 años (025)",11,,,,,,9,2
"De 35 a 39 años (026)",5,,,,,1,4,
"Primaria (030)",6579,76,223,583,875,1423,2279,1120
"De 12 a 14 años (031)",13,,,,,,2,11
"De 15 a 19 años (032)",101,,,,,,69,32
"De 20 a 24 años (033)",447,,,,,2,319,126
"De 25 a 29 años (034)",581,,,,,15,451,115
"De 30 a 34 años (035)",683,,,,,105,492,86
"De 35 a 39 años (036)",750,,,,3,202,452,93
"De 40 a 44 años (037)",722,,,,22,294,307,99
"De 45 a 49 años (038)",612,,,4,61,320,152,75
"De 50 y más años (039)",2670,76,223,579,789,485,35,483
"Secundaria (040)",4236,5,29,103,327,892,1949,931
"De 12 a 14 años (041)",17,,,,,,2,15
"De 15 a 19 años (042)",230,,,,,,137,93
"De 20 a 24 años (043)",660,,,,,3,432,225
"De 25 a 29 años (044)",727,,,,,38,511,178
"De 30 a 34 años (045)",592,,,,,117,371,104
"De 35 a 39 años (046)",571,,,,4,186,287,94
"De 40 a 44 años (047)",483,,,,34,226,155,68
"De 45 a 49 años (048)",354,,,1,65,191,48,49
"De 50 y más años (049)",602,5,29,102,224,131,6,105
"Sup. no Univ. incompleta (050)",602,1,4,11,38,96,257,195
"De 15 a 19 años (052)",13,,,,,,7,6
