"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia NAZCA (000)",23122,82,1761,1391,1083,3664,1687,3302,3133,6152,167,700
"Agric., ganadería, caza y silvicultura (001)",3736,3,14,27,7,,1426,5,34,2220,,
"Pesca (002)",289,,,1,,,261,,5,22,,
"Explotación de minas y canteras (003)",2706,6,131,254,92,15,,1712,207,289,,
"Industrias manufactureras (004)",1088,1,26,75,17,11,,830,98,30,,
"Suministro de electricidad, gas y agua (005)",70,,5,9,10,,,13,18,15,,
"Construcción (006)",1664,2,38,66,14,,,171,1028,345,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4359,4,41,186,58,2509,,514,31,1016,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",583,1,6,39,14,78,,409,21,15,,
"Comercio al por mayor (009)",228,,7,35,18,143,,,6,19,,
"Comercio al por menor (010)",3548,3,28,112,26,2288,,105,4,982,,
"Hoteles y restaurantes (011)",1433,1,14,81,78,676,,1,4,578,,
"Trans., almac. y comunicaciones (012)",2281,4,14,104,122,76,,21,1660,280,,
"Intermediación financiera (013)",117,2,8,20,78,,,,,9,,
"Activid.inmobil., empres. y alquileres (014)",1162,2,240,239,183,215,,20,25,238,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",734,28,49,40,262,25,,8,15,140,167,
"Enseñanza (016)",1058,24,975,2,37,,,,,20,,
"Servicios sociales y de salud (017)",343,,154,119,28,11,,3,2,26,,
"Otras activ. serv.comun.soc y personales (018)",788,4,47,156,71,109,,4,6,391,,
"Hogares privados con servicio doméstico (019)",531,,,,,,,,,531,,
"Organiz. y organos extraterritoriales (020)",1,,,,1,,,,,,,
"Actividad economica no especificada (021)",762,1,5,12,25,17,,,,2,,700
"Hombres (022)",15525,53,867,970,456,1451,1397,3087,3059,3544,162,479
"Agric., ganadería, caza y silvicultura (023)",2803,3,14,24,5,,1150,5,33,1569,,
"Pesca (024)",274,,,,,,247,,5,22,,
"Explotación de minas y canteras (025)",2560,5,115,238,60,1,,1664,206,271,,
"Industrias manufactureras (026)",882,1,22,63,11,6,,681,77,21,,
"Suministro de electricidad, gas y agua (027)",66,,5,8,8,,,13,18,14,,
"Construcción (028)",1623,2,34,63,9,,,170,1012,333,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1984,3,27,110,21,928,,500,29,366,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",527,1,6,31,4,55,,398,20,12,,
"Comercio al por mayor (031)",136,,5,17,8,81,,,6,19,,
"Comercio al por menor (032)",1321,2,16,62,9,792,,102,3,335,,
"Hoteles y restaurantes (033)",406,1,10,40,26,187,,,4,138,,
"Trans., almac. y comunicaciones (034)",2068,2,9,76,64,52,,20,1628,217,,
"Intermediación financiera (035)",58,2,4,6,39,,,,,7,,
"Activid.inmobil., empres. y alquileres (036)",823,2,170,153,63,215,,20,24,176,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",468,17,32,29,98,21,,8,15,86,162,
"Enseñanza (038)",366,10,324,1,14,,,,,17,,
"Servicios sociales y de salud (039)",122,,61,39,7,2,,2,2,9,,
"Otras activ. serv.comun.soc y personales (040)",442,4,37,111,23,36,,4,6,221,,
"Hogares privados con servicio doméstico (041)",76,,,,,,,,,76,,
"Organiz. y organos extraterritoriales (042)",1,,,,1,,,,,,,
"Actividad economica no especificada (043)",503,1,3,9,7,3,,,,1,,479
"Mujeres (044)",7597,29,894,421,627,2213,290,215,74,2608,5,221
"Agric., ganadería, caza y silvicultura (045)",933,,,3,2,,276,,1,651,,
"Pesca (046)",15,,,1,,,14,,,,,
"Explotación de minas y canteras (047)",146,1,16,16,32,14,,48,1,18,,
"Industrias manufactureras (048)",206,,4,12,6,5,,149,21,9,,
"Suministro de electricidad, gas y agua (049)",4,,,1,2,,,,,1,,
"Construcción (050)",41,,4,3,5,,,1,16,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",2375,1,14,76,37,1581,,14,2,650,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",56,,,8,10,23,,11,1,3,,
"Comercio al por mayor (053)",92,,2,18,10,62,,,,,,
"Comercio al por menor (054)",2227,1,12,50,17,1496,,3,1,647,,
"Hoteles y restaurantes (055)",1027,,4,41,52,489,,1,,440,,
"Trans., almac. y comunicaciones (056)",213,2,5,28,58,24,,1,32,63,,
"Intermediación financiera (057)",59,,4,14,39,,,,,2,,
"Activid.inmobil., empres. y alquileres (058)",339,,70,86,120,,,,1,62,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",266,11,17,11,164,4,,,,54,5,
"Enseñanza (060)",692,14,651,1,23,,,,,3,,
"Servicios sociales y de salud (061)",221,,93,80,21,9,,1,,17,,
"Otras activ. serv.comun.soc y personales (062)",346,,10,45,48,73,,,,170,,
"Hogares privados con servicio doméstico (063)",455,,,,,,,,,455,,
"Actividad economica no especificada (065)",259,,2,3,18,14,,,,1,,221
,,,,,,,,,,,,
"URBANA (066)",20376,77,1704,1362,1057,3536,1063,3110,3001,4772,166,528
"Agric., ganadería, caza y silvicultura (067)",1883,3,10,24,4,,806,4,27,1005,,
"Pesca (068)",285,,,1,,,257,,5,22,,
"Explotación de minas y canteras (069)",2504,6,126,251,89,10,,1567,199,256,,
"Industrias manufactureras (070)",1052,1,24,73,15,11,,805,94,29,,
"Suministro de electricidad, gas y agua (071)",68,,5,9,8,,,13,18,15,,
"Construcción (072)",1622,2,37,66,14,,,169,992,342,,
