"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUACAYBAMBA (000)",4780,22,87,250,442,844,2202,933
"De 12 a 14 años (001)",14,,,,,,2,12
"De 15 a 19 años (002)",161,,,,,,90,71
"De 20 a 24 años (003)",488,,,,,3,346,139
"De 25 a 29 años (004)",541,,,,,21,408,112
"De 30 a 34 años (005)",646,,,,,73,476,97
"De 35 a 39 años (006)",605,,,,3,104,426,72
"De 40 a 44 años (007)",483,,,,16,151,273,43
"De 45 a 49 años (008)",357,,,1,21,145,145,45
"De 50 y más años (009)",1485,22,87,249,402,347,36,342
"PEA (010)",662,1,4,24,60,155,254,164
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",16,,,,,,7,9
"De 20 a 24 años (013)",50,,,,,1,29,20
"De 25 a 29 años (014)",85,,,,,5,50,30
"De 30 a 34 años (015)",115,,,,,19,61,35
"De 35 a 39 años (016)",114,,,,1,28,65,20
"De 40 a 44 años (017)",90,,,,7,40,32,11
"De 45 a 49 años (018)",45,,,1,3,22,8,11
"De 50 y más años (019)",146,1,4,23,49,40,2,27
"Ocupada (020)",632,1,3,22,58,152,244,152
"De 15 a 19 años (022)",14,,,,,,7,7
"De 20 a 24 años (023)",44,,,,,1,26,17
"De 25 a 29 años (024)",81,,,,,5,48,28
"De 30 a 34 años (025)",112,,,,,19,60,33
"De 35 a 39 años (026)",112,,,,1,28,64,19
"De 40 a 44 años (027)",89,,,,7,40,31,11
"De 45 a 49 años (028)",41,,,1,3,19,7,11
"De 50 y más años (029)",139,1,3,21,47,40,1,26
"Desocupada (030)",30,,1,2,2,3,10,12
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",2,,,,,,,2
"De 20 a 24 años (033)",6,,,,,,3,3
"De 25 a 29 años (034)",4,,,,,,2,2
"De 30 a 34 años (035)",3,,,,,,1,2
"De 35 a 39 años (036)",2,,,,,,1,1
"De 40 a 44 años (037)",1,,,,,,1,
"De 45 a 49 años (038)",4,,,,,3,1,
"De 50 y más años (039)",7,,1,2,2,,1,1
"No PEA (040)",4118,21,83,226,382,689,1948,769
"De 12 a 14 años (041)",13,,,,,,2,11
"De 15 a 19 años (042)",145,,,,,,83,62
"De 20 a 24 años (043)",438,,,,,2,317,119
"De 25 a 29 años (044)",456,,,,,16,358,82
"De 30 a 34 años (045)",531,,,,,54,415,62
"De 35 a 39 años (046)",491,,,,2,76,361,52
"De 40 a 44 años (047)",393,,,,9,111,241,32
"De 45 a 49 años (048)",312,,,,18,123,137,34
"De 50 y más años (049)",1339,21,83,226,353,307,34,315
