"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia UTCUBAMBA (000)",35569,29905,2345,1153,2166
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",40,1,7,3,29
"Profes., científicos e intelectuales (002)",2077,522,360,388,807
"Técnicos de nivel medio y trab. asimilados (003)",554,283,34,42,195
"Jefes y empleados de oficina (004)",571,131,50,63,327
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2796,2577,136,44,39
"Agricult.trabaj.calif.agrop.y pesqueros (006)",11475,11056,392,25,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",983,843,67,35,38
"Obreros construc.,conf.,papel, fab., instr. (008)",2171,1825,150,106,90
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",14087,12247,1130,431,279
"Otra (010)",355,,,,355
"Ocupación no especificada (011)",460,420,19,16,5
"Hombres (012)",28964,24752,1935,846,1431
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",31,1,6,2,22
"Profes., científicos e intelectuales (014)",1136,260,222,215,439
"Técnicos de nivel medio y trab. asimilados (015)",342,189,22,31,100
"Jefes y empleados de oficina (016)",300,54,20,31,195
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1321,1166,87,36,32
"Agricult.trabaj.calif.agrop.y pesqueros (018)",10925,10526,373,24,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",808,695,59,23,31
"Obreros construc.,conf.,papel, fab., instr. (020)",2141,1804,149,99,89
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",11473,9940,990,377,166
"Otra (022)",350,,,,350
"Ocupación no especificada (023)",137,117,7,8,5
"Mujeres (024)",6605,5153,410,307,735
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,,1,1,7
"Profes., científicos e intelectuales (026)",941,262,138,173,368
"Técnicos de nivel medio y trab. asimilados (027)",212,94,12,11,95
"Jefes y empleados de oficina (028)",271,77,30,32,132
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1475,1411,49,8,7
"Agricult.trabaj.calif.agrop.y pesqueros (030)",550,530,19,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",175,148,8,12,7
"Obreros construc.,conf.,papel, fab., instr. (032)",30,21,1,7,1
