"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia EL DORADO (000)",14478,7317,29,205,6239,338,8,20,1,321
"Hombres (001)",5226,3849,18,131,884,146,5,15,1,177
"Mujeres (002)",9252,3468,11,74,5355,192,3,5,,144
"De 06 a 14 años (003)",6926,6181,,,347,204,,8,,186
"Hombres (004)",3487,3185,,,109,90,,5,,98
"Mujeres (005)",3439,2996,,,238,114,,3,,88
"De 15 a 29 años (006)",3707,1085,2,61,2505,,3,5,1,45
"Hombres (007)",1001,638,2,39,291,,2,4,1,24
"Mujeres (008)",2706,447,,22,2214,,1,1,,21
"De 30 a 44 años (009)",1812,27,4,46,1696,,4,3,,32
"Hombres (010)",261,6,1,30,199,,2,2,,21
"Mujeres (011)",1551,21,3,16,1497,,2,1,,11
"De 45 a 64 años (012)",1311,21,14,47,1199,,1,1,,28
"Hombres (013)",246,18,10,35,166,,1,1,,15
"Mujeres (014)",1065,3,4,12,1033,,,,,13
"De 65 y más años (015)",722,3,9,51,492,134,,3,,30
"Hombres (016)",231,2,5,27,119,56,,3,,19
"Mujeres (017)",491,1,4,24,373,78,,,,11
,,,,,,,,,,
"AREA URBANA (018)",5750,2970,21,71,2432,141,4,4,,107
"Hombres (019)",2168,1543,14,38,459,49,3,4,,58
"Mujeres (020)",3582,1427,7,33,1973,92,1,,,49
"De 06 a 14 años (021)",2664,2392,,,153,83,,2,,34
"Hombres (022)",1329,1230,,,54,26,,2,,17
"Mujeres (023)",1335,1162,,,99,57,,,,17
"De 15 a 29 años (024)",1455,551,1,18,863,,1,,,21
"Hombres (025)",463,295,1,10,147,,1,,,9
"Mujeres (026)",992,256,,8,716,,,,,12
"De 30 a 44 años (027)",746,12,1,12,699,,2,,,20
"Hombres (028)",139,4,1,8,111,,1,,,14
"Mujeres (029)",607,8,,4,588,,1,,,6
"De 45 a 64 años (030)",536,13,12,16,476,,1,,,18
"Hombres (031)",126,13,8,9,84,,1,,,11
"Mujeres (032)",410,,4,7,392,,,,,7
"De 65 y más años (033)",349,2,7,25,241,58,,2,,14
"Hombres (034)",111,1,4,11,63,23,,2,,7
"Mujeres (035)",238,1,3,14,178,35,,,,7
,,,,,,,,,,
"AREA RURAL (036)",8728,4347,8,134,3807,197,4,16,1,214
"Hombres (037)",3058,2306,4,93,425,97,2,11,1,119
"Mujeres (038)",5670,2041,4,41,3382,100,2,5,,95
"De 06 a 14 años (039)",4262,3789,,,194,121,,6,,152
"Hombres (040)",2158,1955,,,55,64,,3,,81
"Mujeres (041)",2104,1834,,,139,57,,3,,71
"De 15 a 29 años (042)",2252,534,1,43,1642,,2,5,1,24
"Hombres (043)",538,343,1,29,144,,1,4,1,15
"Mujeres (044)",1714,191,,14,1498,,1,1,,9
"De 30 a 44 años (045)",1066,15,3,34,997,,2,3,,12
"Hombres (046)",122,2,,22,88,,1,2,,7
"Mujeres (047)",944,13,3,12,909,,1,1,,5
"De 45 a 64 años (048)",775,8,2,31,723,,,1,,10
"Hombres (049)",120,5,2,26,82,,,1,,4
"Mujeres (050)",655,3,,5,641,,,,,6
"De 65 y más años (051)",373,1,2,26,251,76,,1,,16
"Hombres (052)",120,1,1,16,56,33,,1,,12
"Mujeres (053)",253,,1,10,195,43,,,,4
