"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia POMABAMBA (000)",6188,1229,1266,2593,19,610,125,346
"Agric., ganadería, caza y silvicultura (001)",3255,7,837,1869,5,537,,
"Pesca (002)",1,,,1,,,,
"Explotación de minas y canteras (003)",2,,2,,,,,
"Industrias manufactureras (004)",186,5,45,128,5,3,,
"Suministro de electricidad, gas y agua (005)",39,2,31,6,,,,
"Construcción (006)",324,18,280,25,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",354,20,1,290,3,40,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,,16,,1,,
"Comercio al por mayor (009)",19,,,15,,4,,
"Comercio al por menor (010)",318,20,1,259,3,35,,
"Hoteles y restaurantes (011)",88,9,2,72,1,4,,
"Trans., almac. y comunicaciones (012)",70,20,7,42,,1,,
"Intermediación financiera (013)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (014)",61,41,5,12,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",155,134,21,,,,,
"Enseñanza (016)",807,778,,28,,1,,
"Servicios sociales y de salud (017)",130,121,1,8,,,,
"Otras activ. serv.comun.soc y personales (018)",69,27,8,33,,1,,
"Hogares privados con servicio doméstico (019)",125,,,,,,125,
"Actividad economica no especificada (021)",172,43,26,79,2,22,,
"Desocupado (022)",346,,,,,,,346
"Hombres (023)",4847,770,1205,2222,16,355,18,261
"Agric., ganadería, caza y silvicultura (024)",2930,7,793,1794,5,331,,
"Pesca (025)",1,,,1,,,,
"Explotación de minas y canteras (026)",2,,2,,,,,
"Industrias manufactureras (027)",163,4,44,107,5,3,,
"Suministro de electricidad, gas y agua (028)",38,2,30,6,,,,
"Construcción (029)",320,18,276,25,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",178,12,1,155,3,7,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",16,,,16,,,,
"Comercio al por mayor (032)",11,,,9,,2,,
"Comercio al por menor (033)",151,12,1,130,3,5,,
"Hoteles y restaurantes (034)",19,3,1,14,,1,,
"Trans., almac. y comunicaciones (035)",66,17,7,41,,1,,
"Intermediación financiera (036)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (037)",46,30,5,8,2,1,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",108,89,19,,,,,
"Enseñanza (039)",498,481,,17,,,,
"Servicios sociales y de salud (040)",69,61,1,7,,,,
"Otras activ. serv.comun.soc y personales (041)",41,19,6,15,,1,,
"Hogares privados con servicio doméstico (042)",18,,,,,,18,
"Actividad economica no especificada (044)",87,25,20,32,,10,,
"Desocupado (045)",261,,,,,,,261
"Mujeres (046)",1341,459,61,371,3,255,107,85
"Agric., ganadería, caza y silvicultura (047)",325,,44,75,,206,,
"Industrias manufactureras (050)",23,1,1,21,,,,
"Suministro de electricidad, gas y agua (051)",1,,1,,,,,
"Construcción (052)",4,,4,,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",176,8,,135,,33,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",1,,,,,1,,
"Comercio al por mayor (055)",8,,,6,,2,,
"Comercio al por menor (056)",167,8,,129,,30,,
"Hoteles y restaurantes (057)",69,6,1,58,1,3,,
"Trans., almac. y comunicaciones (058)",4,3,,1,,,,
"Intermediación financiera (059)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (060)",15,11,,4,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",47,45,2,,,,,
"Enseñanza (062)",309,297,,11,,1,,
"Servicios sociales y de salud (063)",61,60,,1,,,,
"Otras activ. serv.comun.soc y personales (064)",28,8,2,18,,,,
"Hogares privados con servicio doméstico (065)",107,,,,,,107,
"Actividad economica no especificada (067)",85,18,6,47,2,12,,
,,,,,,,,
"URBANA (068)",2031,911,173,677,15,87,77,91
"Agric., ganadería, caza y silvicultura (069)",307,6,71,194,3,33,,
"Explotación de minas y canteras (071)",2,,2,,,,,
"Industrias manufactureras (072)",68,4,10,50,3,1,,
"Suministro de electricidad, gas y agua (073)",6,2,4,,,,,
"Construcción (074)",71,6,55,9,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",291,15,,235,3,38,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",13,,,12,,1,,
"Comercio al por mayor (077)",19,,,15,,4,,
"Comercio al por menor (078)",259,15,,208,3,33,,
"Hoteles y restaurantes (079)",72,8,2,59,1,2,,
"Trans., almac. y comunicaciones (080)",58,16,6,35,,1,,
"Intermediación financiera (081)",4,4,,,,,,
"Activid.inmobil., empres. y alquileres (082)",43,29,2,10,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",110,104,6,,,,,
"Enseñanza (084)",585,561,,23,,1,,
"Servicios sociales y de salud (085)",109,102,,7,,,,
"Otras activ. serv.comun.soc y personales (086)",44,22,4,17,,1,,
"Hogares privados con servicio doméstico (087)",77,,,,,,77,
"Actividad economica no especificada (089)",93,32,11,38,2,10,,
"Desocupado (090)",91,,,,,,,91
"Hombres (091)",1286,545,165,457,12,39,9,59
"Agric., ganadería, caza y silvicultura (092)",277,6,67,178,3,23,,
"Explotación de minas y canteras (094)",2,,2,,,,,
"Industrias manufactureras (095)",63,3,10,46,3,1,,
"Suministro de electricidad, gas y agua (096)",6,2,4,,,,,
"Construcción (097)",71,6,55,9,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",148,9,,129,3,7,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",12,,,12,,,,
"Comercio al por mayor (100)",11,,,9,,2,,
"Comercio al por menor (101)",125,9,,108,3,5,,
"Hoteles y restaurantes (102)",15,2,1,11,,1,,
"Trans., almac. y comunicaciones (103)",54,13,6,34,,1,,
"Intermediación financiera (104)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (105)",35,24,2,7,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",72,67,5,,,,,
"Enseñanza (107)",342,327,,15,,,,
"Servicios sociales y de salud (108)",56,50,,6,,,,
"Otras activ. serv.comun.soc y personales (109)",27,16,4,6,,1,,
"Hogares privados con servicio doméstico (110)",9,,,,,,9,
"Actividad economica no especificada (112)",48,18,9,16,,5,,
"Desocupado (113)",59,,,,,,,59
"Mujeres (114)",745,366,8,220,3,48,68,32
"Agric., ganadería, caza y silvicultura (115)",30,,4,16,,10,,
"Industrias manufactureras (118)",5,1,,4,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",143,6,,106,,31,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",1,,,,,1,,
"Comercio al por mayor (123)",8,,,6,,2,,
"Comercio al por menor (124)",134,6,,100,,28,,
"Hoteles y restaurantes (125)",57,6,1,48,1,1,,
"Trans., almac. y comunicaciones (126)",4,3,,1,,,,
"Intermediación financiera (127)",2,2,,,,,,
