"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PASCO (000)",114493,17895,25218,25673,19825,12604,13278
"Católica (001)",91617,14562,20380,20938,15886,10024,9827
"Cristiana/Evangélica (002)",20041,2979,4072,3968,3515,2320,3187
"Otra (003)",1392,166,335,360,222,154,155
"Ninguna (004)",1443,188,431,407,202,106,109
"Hombres (006)",58289,9008,12739,13339,10173,6550,6480
"Católica (007)",47539,7386,10454,11073,8333,5337,4956
"Cristiana/Evangélica (008)",9130,1436,1847,1803,1590,1064,1390
"Otra (009)",660,75,161,183,100,71,70
"Ninguna (010)",960,111,277,280,150,78,64
"Mujeres (012)",56204,8887,12479,12334,9652,6054,6798
"Católica (013)",44078,7176,9926,9865,7553,4687,4871
"Cristiana/Evangélica (014)",10911,1543,2225,2165,1925,1256,1797
"Otra (015)",732,91,174,177,122,83,85
"Ninguna (016)",483,77,154,127,52,28,45
,,,,,,,
"URBANA (018)",87493,13512,19052,19786,15497,9828,9818
"Católica (019)",69859,10898,15240,16087,12418,7912,7304
"Cristiana/Evangélica (020)",15084,2294,3124,3010,2697,1676,2283
"Otra (021)",1310,156,316,338,210,145,145
"Ninguna (022)",1240,164,372,351,172,95,86
"Hombres (024)",43826,6796,9477,9978,7814,5039,4722
"Católica (025)",35621,5508,7690,8254,6383,4158,3628
"Cristiana/Evangélica (026)",6770,1120,1397,1321,1209,746,977
"Otra (027)",614,71,151,169,95,65,63
"Ninguna (028)",821,97,239,234,127,70,54
"Mujeres (030)",43667,6716,9575,9808,7683,4789,5096
"Católica (031)",34238,5390,7550,7833,6035,3754,3676
"Cristiana/Evangélica (032)",8314,1174,1727,1689,1488,930,1306
"Otra (033)",696,85,165,169,115,80,82
"Ninguna (034)",419,67,133,117,45,25,32
,,,,,,,
"RURAL (036)",27000,4383,6166,5887,4328,2776,3460
"Católica (037)",21758,3664,5140,4851,3468,2112,2523
"Cristiana/Evangélica (038)",4957,685,948,958,818,644,904
"Otra (039)",82,10,19,22,12,9,10
"Ninguna (040)",203,24,59,56,30,11,23
"Hombres (042)",14463,2212,3262,3361,2359,1511,1758
"Católica (043)",11918,1878,2764,2819,1950,1179,1328
"Cristiana/Evangélica (044)",2360,316,450,482,381,318,413
"Otra (045)",46,4,10,14,5,6,7
"Ninguna (046)",139,14,38,46,23,8,10
"Mujeres (048)",12537,2171,2904,2526,1969,1265,1702
"Católica (049)",9840,1786,2376,2032,1518,933,1195
"Cristiana/Evangélica (050)",2597,369,498,476,437,326,491
"Otra (051)",36,6,9,8,7,3,3
"Ninguna (052)",64,10,21,10,7,3,13
