"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TACNA (000)",262731,4219,66570,78702,61226,39728,12286
"Hombres (001)",130212,2120,34031,38498,29401,19967,6195
"Mujeres (002)",132519,2099,32539,40204,31825,19761,6091
"Viviendas particulares (003)",258846,4174,66328,76885,60114,39196,12149
"Hombres (004)",127449,2099,33908,37123,28607,19590,6122
"Mujeres (005)",131397,2075,32420,39762,31507,19606,6027
"Viviendas colectivas (006)",3525,45,225,1680,974,469,132
"Hombres (007)",2553,21,117,1307,703,336,69
"Mujeres (008)",972,24,108,373,271,133,63
"Otro tipo (009)",360,,17,137,138,63,5
"Hombres (010)",210,,6,68,91,41,4
"Mujeres (011)",150,,11,69,47,22,1
,,,,,,,
"URBANA (012)",245930,3997,62642,73975,57551,36746,11019
"Hombres (013)",120937,2004,31983,35847,27362,18269,5472
"Mujeres (014)",124993,1993,30659,38128,30189,18477,5547
"Viviendas particulares (015)",242401,3960,62414,72316,56514,36282,10915
"Hombres (016)",118442,1988,31866,34616,26622,17937,5413
"Mujeres (017)",123959,1972,30548,37700,29892,18345,5502
"Viviendas colectivas (018)",3199,37,211,1534,915,403,99
"Hombres (019)",2310,16,111,1172,663,293,55
"Mujeres (020)",889,21,100,362,252,110,44
"Otro tipo (021)",330,,17,125,122,61,5
"Hombres (022)",185,,6,59,77,39,4
"Mujeres (023)",145,,11,66,45,22,1
,,,,,,,
"RURAL (024)",16801,222,3928,4727,3675,2982,1267
"Hombres (025)",9275,116,2048,2651,2039,1698,723
"Mujeres (026)",7526,106,1880,2076,1636,1284,544
"Viviendas particulares (027)",16445,214,3914,4569,3600,2914,1234
"Hombres (028)",9007,111,2042,2507,1985,1653,709
"Mujeres (029)",7438,103,1872,2062,1615,1261,525
"Viviendas colectivas (030)",326,8,14,146,59,66,33
"Hombres (031)",243,5,6,135,40,43,14
"Mujeres (032)",83,3,8,11,19,23,19
"Otro tipo (033)",30,,,12,16,2,
"Hombres (034)",25,,,9,14,2,
"Mujeres (035)",5,,,3,2,,
