"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN MARCOS (000)",13821,12977,80,2586,2670,2045,2779,1730,831,256,844,47146
"De 12 a 14 años (001)",39,16,,10,6,,,,,,23,22
"De 15 a 19 años (002)",506,396,6,337,43,6,4,,,,110,457
"De 20 a 24 años (003)",1501,1254,13,749,373,89,26,4,,,247,1900
"De 25 a 29 años (004)",1694,1521,4,551,531,298,124,11,2,,173,3115
"De 30 a 34 años (005)",1651,1564,10,305,525,397,263,57,7,,87,4100
"De 35 a 39 años (006)",1600,1529,7,186,402,354,414,129,32,5,71,5014
"De 40 a 44 años (007)",1317,1269,7,99,223,260,376,231,59,14,48,5103
"De 45 a 49 años (008)",1138,1119,4,77,152,174,368,207,111,26,19,5047
"De 50 y más años (009)",4375,4309,29,272,415,467,1204,1091,620,211,66,22388
"Conviviente (010)",7071,6852,44,1544,1580,1133,1348,747,352,104,219,22893
"De 12 a 14 años (011)",33,11,,7,4,,,,,,22,15
"De 15 a 19 años (012)",399,299,4,253,34,5,3,,,,100,348
"De 20 a 24 años (013)",994,946,13,541,298,72,18,4,,,48,1458
"De 25 a 29 años (014)",1118,1093,3,370,387,236,90,7,,,25,2276
"De 30 a 34 años (015)",995,991,8,156,345,271,173,35,3,,4,2653
"De 35 a 39 años (016)",942,935,2,94,236,203,285,86,24,5,7,3230
"De 40 a 44 años (017)",663,658,3,34,92,128,212,138,42,9,5,2871
"De 45 a 49 años (018)",577,573,2,22,60,94,192,120,69,14,4,2759
"De 50 y más años (019)",1350,1346,9,67,124,124,375,357,214,76,4,7283
"Separado(a) (020)",759,747,4,283,180,103,101,56,18,2,12,1925
"De 15 a 19 años (022)",49,45,,39,5,1,,,,,4,52
"De 20 a 24 años (023)",105,101,,75,22,3,1,,,,4,132
