"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANGARAES (000)",10966,1605,15,4571,3119,247,385,188,836
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",27,,,7,8,1,,4,7
"Profes., científicos e intelectuales (002)",851,,,,35,41,152,37,586
"Técnicos de nivel medio ytrab.asimilados (003)",209,,,8,67,23,59,12,40
"Jefes y empleados de oficina (004)",184,,,4,51,16,27,20,66
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",619,49,,177,253,34,29,35,42
"Agricult.trabaj. calif.agrop. y pesquros (006)",4150,847,5,2221,999,24,18,19,17
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",547,13,,226,230,20,35,9,14
"Obreros. construc., conf., papel, fab., instr (008)",418,9,,123,227,20,14,14,11
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",3401,596,8,1627,1058,50,19,20,23
"Otra (010)",40,,,,14,5,12,3,6
"Ocupación no especificada (011)",520,91,2,178,177,13,20,15,24
"Hombres (012)",7889,841,10,3509,2481,162,240,134,512
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",23,,,5,8,1,,3,6
"Profes., científicos e intelectuales (014)",487,,,,16,18,84,24,345
"Técnicos de nivel medio ytrab.asimilados (015)",114,,,4,28,16,30,8,28
"Jefes y empleados de oficina (016)",121,,,2,33,10,19,10,47
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",232,4,,45,124,13,11,20,15
"Agricult.trabaj. calif.agrop. y pesquros (018)",3557,576,4,1991,915,23,13,18,17
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",515,12,,218,216,16,33,9,11
"Obreros. construc., conf., papel, fab., instr (020)",415,9,,121,227,20,14,14,10
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",2086,212,5,1012,788,30,13,14,12
"Otra (022)",40,,,,14,5,12,3,6
"Ocupación no especificada (023)",299,28,1,111,112,10,11,11,15
"Mujeres (024)",3077,764,5,1062,638,85,145,54,324
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",4,,,2,,,,1,1
"Profes., científicos e intelectuales (026)",364,,,,19,23,68,13,241
"Técnicos de nivel medio ytrab.asimilados (027)",95,,,4,39,7,29,4,12
"Jefes y empleados de oficina (028)",63,,,2,18,6,8,10,19
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",387,45,,132,129,21,18,15,27
"Agricult.trabaj. calif.agrop. y pesquros (030)",593,271,1,230,84,1,5,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",32,1,,8,14,4,2,,3
"Obreros. construc., conf., papel, fab., instr (032)",3,,,2,,,,,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",1315,384,3,615,270,20,6,6,11
"Ocupación no especificada (035)",221,63,1,67,65,3,9,4,9
,,,,,,,,,
"URBANA (036)",4719,458,6,1497,1376,183,316,161,722
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",19,,,3,5,1,,4,6
"Profes., científicos e intelectuales (038)",712,,,,19,33,124,30,506
