"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CALCA (000)",21690,3049,50,8534,6971,688,1072,423,903
"Agric., ganadería, caza y silvicultura (001)",12243,2459,38,6273,3093,126,113,74,67
"Pesca (002)",7,7,,,,,,,
"Explotación de minas y canteras (003)",38,3,,12,17,2,2,1,1
"Industrias manufactureras (004)",1318,124,1,381,606,68,49,45,44
"Suministro de electricidad, gas y agua (005)",16,,,1,8,3,,,4
"Construcción (006)",1114,31,,371,583,39,48,18,24
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2241,120,2,578,1051,157,147,86,100
"Venta, mant.y rep. veh.autom.y motoc. (008)",133,3,,8,62,17,31,8,4
"Comercio al por mayor (009)",62,1,,14,28,4,8,2,5
"Comercio al por menor (010)",2046,116,2,556,961,136,108,76,91
"Hoteles y restaurantes (011)",794,80,1,255,341,45,36,19,17
"Trans., almac. y comunicaciones (012)",927,29,1,213,503,58,68,27,28
"Intermediación financiera (013)",6,,,,,,1,,5
"Activid.inmobil., empres. y de alquiler (014)",301,4,1,9,54,40,49,35,109
"Admin.pub. y defensa; p. segur.soc.afil (015)",400,3,,40,169,27,51,25,85
"Enseñanza (016)",880,,,1,84,61,402,38,294
"Servicios sociales y de salud (017)",171,,,7,27,15,44,10,68
"Otras activ. serv.comun.soc y personales (018)",264,21,,50,110,16,26,18,23
"Hogares privados con servicio doméstico (019)",292,36,3,123,116,7,2,2,3
"Actividad economica no especificada (021)",678,132,3,220,209,24,34,25,31
"Hombres (022)",15041,1690,32,6300,5146,454,601,301,517
"Agric., ganadería, caza y silvicultura (023)",9714,1539,25,5166,2655,109,97,66,57
"Pesca (024)",7,7,,,,,,,
"Explotación de minas y canteras (025)",38,3,,12,17,2,2,1,1
"Industrias manufactureras (026)",766,16,1,171,434,53,32,33,26
"Suministro de electricidad, gas y agua (027)",15,,,1,8,3,,,3
"Construcción (028)",1075,28,,356,566,38,47,17,23
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",840,16,,153,432,71,70,49,49
"Venta, mant.y rep. veh.autom.y motoc. (030)",129,3,,8,58,17,31,8,4
"Comercio al por mayor (031)",36,,,8,16,3,4,1,4
"Comercio al por menor (032)",675,13,,137,358,51,35,40,41
"Hoteles y restaurantes (033)",159,4,1,20,88,19,15,7,5
"Trans., almac. y comunicaciones (034)",856,28,1,210,474,50,51,23,19
"Intermediación financiera (035)",4,,,,,,1,,3
"Activid.inmobil., empres. y de alquiler (036)",220,3,1,7,47,29,32,28,73
"Admin.pub. y defensa; p. segur.soc.afil (037)",340,1,,34,156,22,36,22,69
"Enseñanza (038)",393,,,1,34,27,179,19,133
"Servicios sociales y de salud (039)",56,,,2,9,7,10,4,24
"Otras activ. serv.comun.soc y personales (040)",159,8,,26,68,12,16,14,15
"Hogares privados con servicio doméstico (041)",59,5,1,27,23,2,,,1
"Actividad economica no especificada (043)",340,32,2,114,135,10,13,18,16
"Mujeres (044)",6649,1359,18,2234,1825,234,471,122,386
"Agric., ganadería, caza y silvicultura (045)",2529,920,13,1107,438,17,16,8,10
