"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6115,1454,1595,2434,174,343,115
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",21,17,,,4,,
"Profes., científicos e intelectuales (002)",400,329,,62,8,1,
"Técnicos de nivel medio y trab. asimilados (003)",197,134,,43,15,5,
"Jefes y empleados de oficina (004)",260,259,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",768,219,8,466,19,56,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1043,1,52,869,103,18,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",256,,59,187,6,4,
"Obreros construc.,conf.,papel, fab., instr. (008)",749,68,216,446,14,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2233,358,1232,280,3,245,115
"Otra (010)",37,37,,,,,
"Ocupación no especificada (011)",151,32,28,81,2,8,
"Hombres (012)",4648,862,1441,1912,149,276,8
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",14,10,,,4,,
"Profes., científicos e intelectuales (014)",192,150,,34,7,1,
"Técnicos de nivel medio y trab. asimilados (015)",122,75,,35,9,3,
"Jefes y empleados de oficina (016)",137,137,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",379,137,8,209,8,17,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1009,,51,840,101,17,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",215,,42,167,4,2,
"Obreros construc.,conf.,papel, fab., instr. (020)",715,68,213,416,13,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1747,234,1102,176,1,226,8
"Otra (022)",36,36,,,,,
"Ocupación no especificada (023)",82,15,25,35,2,5,
"Mujeres (024)",1467,592,154,522,25,67,107
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,7,,,,,
"Profes., científicos e intelectuales (026)",208,179,,28,1,,
"Técnicos de nivel medio y trab. asimilados (027)",75,59,,8,6,2,
"Jefes y empleados de oficina (028)",123,122,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",389,82,,257,11,39,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",34,1,1,29,2,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",41,,17,20,2,2,
"Obreros construc.,conf.,papel, fab., instr. (032)",34,,3,30,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",486,124,130,104,2,19,107
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",69,17,3,46,,3,
,,,,,,,
"URBANA (036)",4857,1226,1216,1939,125,259,92
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",18,14,,,4,,
"Profes., científicos e intelectuales (038)",327,268,,53,5,1,
"Técnicos de nivel medio y trab. asimilados (039)",176,119,,39,14,4,
"Jefes y empleados de oficina (040)",217,216,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",709,196,8,433,19,53,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",714,,52,585,60,17,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",233,,55,170,6,2,
"Obreros construc.,conf.,papel, fab., instr. (044)",627,54,164,393,12,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1700,296,920,218,3,171,92
"Otra (046)",36,36,,,,,
"Ocupación no especificada (047)",100,27,17,48,2,6,
"Hombres (048)",3586,718,1069,1484,102,208,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",11,7,,,4,,
"Profes., científicos e intelectuales (050)",158,123,,30,4,1,
"Técnicos de nivel medio y trab. asimilados (051)",109,68,,31,8,2,
"Jefes y empleados de oficina (052)",115,115,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",341,120,8,189,8,16,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",703,,51,576,60,16,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",192,,38,150,4,,
"Obreros construc.,conf.,papel, fab., instr. (056)",595,54,162,364,11,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",1272,184,796,120,1,166,5
"Otra (058)",35,35,,,,,
"Ocupación no especificada (059)",55,12,14,24,2,3,
"Mujeres (060)",1271,508,147,455,23,51,87
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",7,7,,,,,
"Profes., científicos e intelectuales (062)",169,145,,23,1,,
"Técnicos de nivel medio y trab. asimilados (063)",67,51,,8,6,2,
"Jefes y empleados de oficina (064)",102,101,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",368,76,,244,11,37,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",11,,1,9,,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",41,,17,20,2,2,
"Obreros construc.,conf.,papel, fab., instr. (068)",32,,2,29,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",428,112,124,98,2,5,87
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",45,15,3,24,,3,
,,,,,,,
"RURAL (072)",1258,228,379,495,49,84,23
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",3,3,,,,,
"Profes., científicos e intelectuales (074)",73,61,,9,3,,
"Técnicos de nivel medio y trab. asimilados (075)",21,15,,4,1,1,
"Jefes y empleados de oficina (076)",43,43,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",59,23,,33,,3,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",329,1,,284,43,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",23,,4,17,,2,
"Obreros construc.,conf.,papel, fab., instr. (080)",122,14,52,53,2,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",533,62,312,62,,74,23
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",51,5,11,33,,2,
"Hombres (084)",1062,144,372,428,47,68,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",3,3,,,,,
"Profes., científicos e intelectuales (086)",34,27,,4,3,,
"Técnicos de nivel medio y trab. asimilados (087)",13,7,,4,1,1,
"Jefes y empleados de oficina (088)",22,22,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",38,17,,20,,1,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",306,,,264,41,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",23,,4,17,,2,
"Obreros construc.,conf.,papel, fab., instr. (092)",120,14,51,52,2,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",475,50,306,56,,60,3
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",27,3,11,11,,2,
"Mujeres (096)",196,84,7,67,2,16,20
"Profes., científicos e intelectuales (098)",39,34,,5,,,
"Técnicos de nivel medio y trab. asimilados (099)",8,8,,,,,
"Jefes y empleados de oficina (100)",21,21,,,,,
