"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PATAZ (000)",22552,15501,1337,1121,4593
"Sin nivel (001)",3006,2838,85,39,44
"Educación inicial (002)",28,26,1,1,
"Primaria (003)",9754,8295,384,245,830
"Secundaria (004)",5012,2822,341,255,1594
"Superior no univ. incompleta (005)",879,392,69,72,346
"Superior no univ. completa (006)",2115,658,273,260,924
"Superior univ. incompleta (007)",384,150,44,52,138
"Superior univ. completa (008)",1374,320,140,197,717
"De 06 a 14 años (010)",339,314,21,2,2
"Sin nivel (011)",64,64,,,
"Educación inicial (012)",5,4,1,,
"Primaria (013)",202,188,13,,1
"Secundaria (014)",68,58,7,2,1
"De 15 a 29 años (020)",8085,5152,534,417,1982
"Sin nivel (021)",443,407,14,17,5
"Educación inicial (022)",14,13,,1,
"Primaria (023)",3093,2544,140,88,321
"Secundaria (024)",2746,1624,198,124,800
"Superior no univ. incompleta (025)",402,176,33,26,167
"Superior no univ. completa (026)",844,243,92,100,409
"Superior univ. incompleta (027)",146,62,20,11,53
"Superior univ. completa (028)",397,83,37,50,227
"De 30 a 44 años (030)",8140,5065,502,518,2055
"Sin nivel (031)",819,759,25,9,26
"Educación inicial (032)",9,9,,,
"Primaria (033)",3508,2839,145,112,412
"Secundaria (034)",1630,787,93,94,656
"Superior no univ. incompleta (035)",383,162,28,42,151
"Superior no univ. completa (036)",964,292,130,125,417
"Superior univ. incompleta (037)",157,57,15,32,53
"Superior univ. completa (038)",670,160,66,104,340
"De 45 a 64 años (040)",4534,3577,250,174,533
"Sin nivel (041)",1034,980,30,12,12
"Primaria (043)",2228,2023,76,39,90
"Secundaria (044)",529,321,41,34,133
"Superior no univ. incompleta (045)",90,51,7,4,28
"Superior no univ. completa (046)",284,105,50,35,94
"Superior univ. incompleta (047)",74,27,9,9,29
"Superior univ. completa (048)",295,70,37,41,147
"De 65 y más años (050)",1454,1393,30,10,21
"Sin nivel (051)",646,628,16,1,1
"Primaria (053)",723,701,10,6,6
"Secundaria (054)",39,32,2,1,4
"Superior no univ. incompleta (055)",4,3,1,,
"Superior no univ. completa (056)",23,18,1,,4
"Superior univ. incompleta (057)",7,4,,,3
"Superior univ. completa (058)",12,7,,2,3
,,,,,
