"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN IGNACIO (000)",43839,4331,41,24328,11185,834,1409,436,1275
"Agric., ganadería, caza y silvicultura (001)",34615,3919,36,21768,8287,274,150,95,86
"Pesca (002)",7,,,4,2,,,,1
"Explotación de minas y canteras (003)",19,1,,5,5,1,,1,6
"Industrias manufactureras (004)",583,29,,226,244,32,30,12,10
"Suministro de electricidad, gas y agua (005)",60,,,8,32,10,4,1,5
"Construcción (006)",671,19,1,212,321,36,43,12,27
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1962,57,1,690,793,134,168,51,68
"Venta, mant.y rep. veh.autom.y motoc. (008)",134,1,,18,50,18,31,4,12
"Comercio al por mayor (009)",128,2,,37,50,9,15,7,8
"Comercio al por menor (010)",1700,54,1,635,693,107,122,40,48
"Hoteles y restaurantes (011)",487,26,1,217,193,22,13,9,6
"Trans., almac. y comunicaciones (012)",789,2,1,160,465,65,44,36,16
"Intermediación financiera (013)",9,,,,1,2,2,1,3
"Activid.inmobil., empres. y de alquiler (014)",236,1,,11,45,24,77,14,64
"Admin.pub. y defensa; p. segur.soc.afil (015)",316,1,,25,77,37,99,18,59
"Enseñanza (016)",1739,2,,2,124,112,595,130,774
"Servicios sociales y de salud (017)",267,3,,6,14,19,108,9,108
"Otras activ. serv.comun.soc y personales (018)",288,25,,85,100,25,23,18,12
"Hogares privados con servicio doméstico (019)",449,44,,235,149,12,2,5,2
"Actividad economica no especificada (021)",1342,202,1,674,333,29,51,24,28
"Hombres (022)",35163,3019,32,20174,9460,576,874,280,748
"Agric., ganadería, caza y silvicultura (023)",30054,2919,28,18967,7587,251,141,86,75
"Pesca (024)",6,,,4,2,,,,
"Explotación de minas y canteras (025)",14,1,,4,5,1,,1,2
"Industrias manufactureras (026)",422,15,,173,186,19,18,4,7
"Suministro de electricidad, gas y agua (027)",58,,,8,31,9,4,1,5
"Construcción (028)",660,18,1,210,318,36,40,12,25
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1228,25,1,414,517,79,108,31,53
"Venta, mant.y rep. veh.autom.y motoc. (030)",123,1,,14,44,17,31,4,12
"Comercio al por mayor (031)",92,,,27,38,7,8,7,5
"Comercio al por menor (032)",1013,24,1,373,435,55,69,20,36
"Hoteles y restaurantes (033)",101,2,1,31,46,10,4,4,3
"Trans., almac. y comunicaciones (034)",758,2,1,159,449,60,39,34,14
"Intermediación financiera (035)",6,,,,1,1,1,,3
"Activid.inmobil., empres. y de alquiler (036)",131,1,,8,27,11,40,8,36
"Admin.pub. y defensa; p. segur.soc.afil (037)",273,1,,24,64,28,90,15,51
"Enseñanza (038)",823,1,,,28,32,301,55,406
"Servicios sociales y de salud (039)",126,3,,3,5,13,54,4,44
"Otras activ. serv.comun.soc y personales (040)",159,8,,43,61,14,12,13,8
"Hogares privados con servicio doméstico (041)",31,1,,18,10,1,,,1
"Actividad economica no especificada (043)",313,22,,108,123,11,22,12,15
"Mujeres (044)",8676,1312,9,4154,1725,258,535,156,527
